DATAFLOW,AUDST,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,LR_CA_TNA,0,2013-03-31,PT,54.6
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,LR_QA_CL,0,2013-03-31,PT,63.4
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,LR_TP_CA,0,2013-03-31,PT,27.4
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,PPAR_DIV_NW,0,2013-03-31,PT,2.1
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,PPAR_EBD_SAL,0,2013-03-31,PT,10.1
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,PPAR_GP_SAL,0,2013-03-31,PT,8.1
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,PPAR_GP_TNA,0,2013-03-31,PT,6.9
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,PPAR_OD_TO_OPC,0,2013-03-31,PT,5.2
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,PPAR_PAT_SAL,0,2013-03-31,PT,4.3
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,PPAR_PAT_TNW,0,2013-03-31,PT,8.5
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,PPAR_PR_PAT,0,2013-03-31,PT,83.4
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,PPAR_TP_PBT,0,2013-03-31,PT,27.0
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,AUTR_EXP_SAL,0,2013-03-31,PT,11.2
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,AUTR_GVA_GFA,0,2013-03-31,PT,50.5
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,AUTR_INV_SAL,0,2013-03-31,PT,18.8
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,AUTR_SAL_GFA,0,2013-03-31,PT,204.6
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,AUTR_SAL_TNA,0,2013-03-31,PT,97.9
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,AUTR_TR_SAL,0,2013-03-31,PT,17.0
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,CSR_DEB_EQT,0,2013-03-31,PT,39.1
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,CSR_NFA_TNA,0,2013-03-31,PT,31.8
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,CSR_NW_TNA,0,2013-03-31,PT,43.1
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,CSR_STBB_INV,0,2013-03-31,PT,42.8
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,CSR_TB_EQT,0,2013-03-31,PT,63.9
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ER_CRM_TE,0,2013-03-31,PT,54.6
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ER_ICR,0,2013-03-31,PT,2.9
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ER_IP_TE,0,2013-03-31,PT,2.7
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ER_RTE_TE,0,2013-03-31,PT,13.1
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,LR_CA_CL,0,2013-03-31,PT,1.4
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,LR_CA_TNA,0,2013-03-31,PT,53.0
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,LR_QA_CL,0,2013-03-31,PT,61.4
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,LR_TP_CA,0,2013-03-31,PT,28.8
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,PPAR_DIV_NW,0,2013-03-31,PT,1.3
