DATAFLOW,AUDST,COMP_COUNT,FREQ,IND_CLASF_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,AUTR_SD_TO_SL,0,2012-03-31,PT,18.6
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,CSR_DEB_EQT,0,2012-03-31,PT,101.6
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,CSR_DTE_ADJ,0,2012-03-31,PT,104.3
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,CSR_NFA_TNA,0,2012-03-31,PT,32.6
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,CSR_NW_TNA,0,2012-03-31,PT,29.1
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,CSR_STBB_INV,0,2012-03-31,PT,33.4
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,CSR_TOL_TNW,0,2012-03-31,PT,244.2
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,LR_CA_CL,0,2012-03-31,PT,1.1
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,LR_CA_TNA,0,2012-03-31,PT,44.9
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,LR_QA_CL,0,2012-03-31,PT,33.9
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,LR_SC_TO_CA,0,2012-03-31,PT,16.9
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,LR_SC_TO_NWC,0,2012-03-31,PT,201.4
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,PPAR_DIV_NW,0,2012-03-31,PT,2.6
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,PPAR_EBD_SAL,0,2012-03-31,PT,26.8
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,PPAR_GP_SAL,0,2012-03-31,PT,21.5
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,PPAR_GP_TNA,0,2012-03-31,PT,7.4
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,PPAR_OD_TO_OPC,0,2012-03-31,PT,8.4
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,PPAR_PAT_TNW,0,2012-03-31,PT,11.4
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,PPAR_PR_PAT,0,2012-03-31,PT,78.7
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,PPAR_TP_PBT,0,2012-03-31,PT,26.3
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,SUFR_ESF_TSF,0,2012-03-31,PT,82.3
