DATAFLOW,AUDST,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_SRC_FNDS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,TD_OCA_IA_ON_LN,0,2012-03-31,INR,-20000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,TD_OCA_LTC,0,2012-03-31,INR,-682000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,TD_OCA_OTH,0,2012-03-31,INR,6288000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,TD_OCA_SUN_CRE,0,2012-03-31,INR,51101000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,TRD_DUE_OTH_CURR_AST,0,2012-03-31,INR,81231000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,TTL_INT_EXT_SRC,0,2012-03-31,INR,313625000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,CL_OCL_CM_OF_LTB,0,2013-03-31,INR,5743000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ESL_NCL_LTB_LTM_OF_FLO,0,2013-03-31,INR,-1053000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_CAP_RECPT,0,2013-03-31,INR,413000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_CL_OCL,0,2013-03-31,INR,33159000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_CL_OCL_OTH,0,2013-03-31,INR,27416000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_CL_STBR,0,2013-03-31,INR,58622000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_CL_STBR_DEP,0,2013-03-31,INR,-287000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_CL_STBR_LROD,0,2013-03-31,INR,56384000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_CL_STBR_LROD_OTH,0,2013-03-31,INR,-3007000000
