DATAFLOW,AUDST,FREQ,GRWT_RT_RATIOS_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_EBITDA,CURR_YR,2014,2013,0,2014-03-31,PT,15.8
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_EBITDA,PREV_YR,2014,2013,0,2014-03-31,PT,16.0
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_GFA,CURR_YR,2014,2013,0,2014-03-31,PT,11.7
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_GFA,PREV_YR,2014,2013,0,2014-03-31,PT,21.0
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_GRS_SAV,CURR_YR,2014,2013,0,2014-03-31,PT,10.4
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_GRS_SAV,PREV_YR,2014,2013,0,2014-03-31,PT,9.0
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_GVA,CURR_YR,2014,2013,0,2014-03-31,PT,14.4
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_GVA,PREV_YR,2014,2013,0,2014-03-31,PT,16.3
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_INT_EXP,CURR_YR,2014,2013,0,2014-03-31,PT,14.7
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_INT_EXP,PREV_YR,2014,2013,0,2014-03-31,PT,18.0
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_INVN,CURR_YR,2014,2013,0,2014-03-31,PT,10.4
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_INVN,PREV_YR,2014,2013,0,2014-03-31,PT,16.5
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_LNG_BORRW,CURR_YR,2014,2013,0,2014-03-31,PT,16.7
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_LNG_BORRW,PREV_YR,2014,2013,0,2014-03-31,PT,21.6
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_MNF_EXP,CURR_YR,2014,2013,0,2014-03-31,PT,9.0
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_MNF_EXP,PREV_YR,2014,2013,0,2014-03-31,PT,12.3
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_NC_LIB,CURR_YR,2014,2013,0,2014-03-31,PT,14.9
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_NC_LIB,PREV_YR,2014,2013,0,2014-03-31,PT,20.6
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_NET_WRT,CURR_YR,2014,2013,0,2014-03-31,PT,10.0
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_NET_WRT,PREV_YR,2014,2013,0,2014-03-31,PT,9.8
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_NFA,CURR_YR,2014,2013,0,2014-03-31,PT,12.0
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_NFA,PREV_YR,2014,2013,0,2014-03-31,PT,26.4
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_NON_CUR_ASST,CURR_YR,2014,2013,0,2014-03-31,PT,11.0
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_NON_CUR_ASST,PREV_YR,2014,2013,0,2014-03-31,PT,14.3
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_NVA,CURR_YR,2014,2013,0,2014-03-31,PT,14.4
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_NVA,PREV_YR,2014,2013,0,2014-03-31,PT,16.3
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_OP_EXP,CURR_YR,2014,2013,0,2014-03-31,PT,10.7
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_OP_EXP,PREV_YR,2014,2013,0,2014-03-31,PT,13.1
