DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SL_CAT_LAND_USE_INP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1997,1996,CONSM_PESTC,0,1997-03-31,TN,5611000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1997,1996,GROSS_IRR_AREA,0,1997-03-31,HA,76030000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1997,1996,GROSS_SOWN_AREA,0,1997-03-31,HA,189500000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1997,1996,NET_IRR_AREA,0,1997-03-31,HA,55110000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1997,1996,NET_SOWN_AREA,0,1997-03-31,HA,142930000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1998,1997,AREA_UNDER_HIGH_YIELD_VARIETIES,0,1998-03-31,HA,76000000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1998,1997,CONSM_FERTZ,0,1998-03-31,TN,16188000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1998,1997,CONSM_PESTC,0,1998-03-31,TN,5224000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1998,1997,GROSS_IRR_AREA,0,1998-03-31,HA,75670000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1998,1997,GROSS_SOWN_AREA,0,1998-03-31,HA,189990000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1998,1997,NET_IRR_AREA,0,1998-03-31,HA,55210000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1998,1997,NET_SOWN_AREA,0,1998-03-31,HA,141950000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1999,1998,AREA_UNDER_HIGH_YIELD_VARIETIES,0,1999-03-31,HA,78350000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1999,1998,CONSM_FERTZ,0,1999-03-31,TN,16798000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1999,1998,CONSM_PESTC,0,1999-03-31,TN,4916000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1999,1998,GROSS_IRR_AREA,0,1999-03-31,HA,78670000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1999,1998,GROSS_SOWN_AREA,0,1999-03-31,HA,191650000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1999,1998,NET_IRR_AREA,0,1999-03-31,HA,57440000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1999,1998,NET_SOWN_AREA,0,1999-03-31,HA,142750000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2000,1999,CONSM_FERTZ,0,2000-03-31,TN,18070000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2000,1999,CONSM_PESTC,0,2000-03-31,TN,4620000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2000,1999,GROSS_IRR_AREA,0,2000-03-31,HA,79220000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2000,1999,GROSS_SOWN_AREA,0,2000-03-31,HA,188400000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2000,1999,NET_IRR_AREA,0,2000-03-31,HA,57530000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2000,1999,NET_SOWN_AREA,0,2000-03-31,HA,141060000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2001,2000,CONSM_FERTZ,0,2001-03-31,TN,16702000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2001,2000,CONSM_PESTC,0,2001-03-31,TN,4358000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2001,2000,GROSS_IRR_AREA,0,2001-03-31,HA,76190000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2001,2000,GROSS_SOWN_AREA,0,2001-03-31,HA,185340000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2001,2000,NET_IRR_AREA,0,2001-03-31,HA,55200000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2001,2000,NET_SOWN_AREA,0,2001-03-31,HA,141340000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2002,2001,CONSM_FERTZ,0,2002-03-31,TN,17360000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2002,2001,CONSM_PESTC,0,2002-03-31,TN,4702000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2002,2001,GROSS_IRR_AREA,0,2002-03-31,HA,78370000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2002,2001,GROSS_SOWN_AREA,0,2002-03-31,HA,188010000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2002,2001,NET_IRR_AREA,0,2002-03-31,HA,56940000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2002,2001,NET_SOWN_AREA,0,2002-03-31,HA,140730000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2003,2002,CONSM_FERTZ,0,2003-03-31,TN,16094000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2003,2002,CONSM_PESTC,0,2003-03-31,TN,4830000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2003,2002,GROSS_IRR_AREA,0,2003-03-31,HA,73060000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2003,2002,GROSS_SOWN_AREA,0,2003-03-31,HA,173890000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2003,2002,NET_IRR_AREA,0,2003-03-31,HA,53900000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2003,2002,NET_SOWN_AREA,0,2003-03-31,HA,131940000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2004,2003,CONSM_FERTZ,0,2004-03-31,TN,16799000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2004,2003,CONSM_PESTC,0,2004-03-31,TN,4100000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2004,2003,GROSS_IRR_AREA,0,2004-03-31,HA,78040000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2004,2003,GROSS_SOWN_AREA,0,2004-03-31,HA,189660000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2004,2003,NET_IRR_AREA,0,2004-03-31,HA,57060000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2004,2003,NET_SOWN_AREA,0,2004-03-31,HA,140710000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2005,2004,CONSM_FERTZ,0,2005-03-31,TN,18398000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2005,2004,CONSM_PESTC,0,2005-03-31,TN,4067000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2005,2004,GROSS_IRR_AREA,0,2005-03-31,HA,81080000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2005,2004,GROSS_SOWN_AREA,0,2005-03-31,HA,191100000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2005,2004,NET_IRR_AREA,0,2005-03-31,HA,59230000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2005,2004,NET_SOWN_AREA,0,2005-03-31,HA,140640000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2006,2005,CONSM_FERTZ,0,2006-03-31,TN,20340000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2006,2005,CONSM_PESTC,0,2006-03-31,TN,3977000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2006,2005,GROSS_IRR_AREA,0,2006-03-31,HA,84280000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2006,2005,GROSS_SOWN_AREA,0,2006-03-31,HA,192740000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2006,2005,NET_IRR_AREA,0,2006-03-31,HA,60840000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2006,2005,NET_SOWN_AREA,0,2006-03-31,HA,141160000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2007,2006,CONSM_FERTZ,0,2007-03-31,TN,21651000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2007,2006,CONSM_PESTC,0,2007-03-31,TN,4340000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2007,2006,GROSS_IRR_AREA,0,2007-03-31,HA,86750000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2007,2006,GROSS_SOWN_AREA,0,2007-03-31,HA,192380000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2007,2006,NET_IRR_AREA,0,2007-03-31,HA,62740000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2007,2006,NET_SOWN_AREA,0,2007-03-31,HA,139820000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2008,2007,CONSM_FERTZ,0,2008-03-31,TN,22570000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2008,2007,CONSM_PESTC,0,2008-03-31,TN,4160000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2008,2007,GROSS_IRR_AREA,0,2008-03-31,HA,88060000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2008,2007,GROSS_SOWN_AREA,0,2008-03-31,HA,195220000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2008,2007,NET_IRR_AREA,0,2008-03-31,HA,63190000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2008,2007,NET_SOWN_AREA,0,2008-03-31,HA,141020000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2009,2008,CONSM_FERTZ,0,2009-03-31,TN,24909000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2009,2008,CONSM_PESTC,0,2009-03-31,TN,4386000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2009,2008,GROSS_IRR_AREA,0,2009-03-31,HA,88900000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2009,2008,GROSS_SOWN_AREA,0,2009-03-31,HA,195330000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2009,2008,NET_IRR_AREA,0,2009-03-31,HA,63640000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2009,2008,NET_SOWN_AREA,0,2009-03-31,HA,141900000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2010,2009,CONSM_FERTZ,0,2010-03-31,TN,26486000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2010,2009,CONSM_PESTC,0,2010-03-31,TN,4182000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2010,2009,GROSS_IRR_AREA,0,2010-03-31,HA,85087000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2010,2009,GROSS_SOWN_AREA,0,2010-03-31,HA,189188000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2010,2009,NET_IRR_AREA,0,2010-03-31,HA,61945000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2010,2009,NET_SOWN_AREA,0,2010-03-31,HA,139173000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2011,2010,CONSM_FERTZ,0,2011-03-31,TN,28120000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2011,2010,CONSM_PESTC,0,2011-03-31,TN,5550000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2011,2010,GROSS_IRR_AREA,0,2011-03-31,HA,89320000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2011,2010,GROSS_SOWN_AREA,0,2011-03-31,HA,198130000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2011,2010,NET_IRR_AREA,0,2011-03-31,HA,63870000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2011,2010,NET_SOWN_AREA,0,2011-03-31,HA,141370000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2012,2011,CONSM_FERTZ,0,2012-03-31,TN,27790000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2012,2011,CONSM_PESTC,0,2012-03-31,TN,5298000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2012,2011,GROSS_IRR_AREA,0,2012-03-31,HA,91930000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2012,2011,GROSS_SOWN_AREA,0,2012-03-31,HA,195550000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2012,2011,NET_IRR_AREA,0,2012-03-31,HA,66010000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2012,2011,NET_SOWN_AREA,0,2012-03-31,HA,140790000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2013,2012,CONSM_FERTZ,0,2013-03-31,TN,25540000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2013,2012,CONSM_PESTC,0,2013-03-31,TN,4562000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2013,2012,GROSS_IRR_AREA,0,2013-03-31,HA,92780000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2013,2012,GROSS_SOWN_AREA,0,2013-03-31,HA,194460000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2013,2012,NET_IRR_AREA,0,2013-03-31,HA,66590000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2013,2012,NET_SOWN_AREA,0,2013-03-31,HA,139750000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2014,2013,CONSM_FERTZ,0,2014-03-31,TN,24480000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2014,2013,CONSM_PESTC,0,2014-03-31,TN,6028000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2014,2013,GROSS_IRR_AREA,0,2014-03-31,HA,96270000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2014,2013,GROSS_SOWN_AREA,0,2014-03-31,HA,201300000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2014,2013,NET_IRR_AREA,0,2014-03-31,HA,68420000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2014,2013,NET_SOWN_AREA,0,2014-03-31,HA,141240000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2015,2014,CONSM_FERTZ,0,2015-03-31,TN,25580000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2015,2014,CONSM_PESTC,0,2015-03-31,TN,5627000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2015,2014,GROSS_IRR_AREA,0,2015-03-31,HA,97850000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2015,2014,GROSS_SOWN_AREA,0,2015-03-31,HA,198280000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2015,2014,NET_IRR_AREA,0,2015-03-31,HA,68580000
