DATAFLOW,AUDST,CLS_OF_CRPS,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AREA_UNDER_CULT_RN(1.0),N_A,OILSDS,AFY,2022,2021,0,2022-03-31,HA,28945000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RJNM,AFY,2022,2021,0,2022-03-31,HA,667000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,WH,AFY,2022,2021,0,2022-03-31,HA,30459000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,PUL,AFY,2022,2021,0,2022-03-31,HA,30731000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,MJR_COM_CRPS,AFY,2022,2021,0,2022-03-31,HA,48655000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,OTH,AFY,2022,2021,0,2022-03-31,HA,3102000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,TEA,AFY,2022,2021,0,2022-03-31,HA,640000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,COTTON,AFY,2022,2021,0,2022-03-31,HA,12372000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RI,AFY,2022,2021,0,2022-03-31,HA,46279000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CFF,AFY,2022,2021,0,2022-03-31,HA,470000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RJNM,AFY,2021,2020,0,2021-03-31,HA,662000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,MJR_COM_CRPS,AFY,2021,2020,0,2021-03-31,HA,49103000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,COTTON,AFY,2021,2020,0,2021-03-31,HA,13286000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CERLS,AFY,2021,2020,0,2021-03-31,HA,101012000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,FDGRNS,AFY,2021,2020,0,2021-03-31,HA,129795000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SOY,AFY,2021,2020,0,2021-03-31,HA,12918000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,TEA,AFY,2021,2020,0,2021-03-31,HA,640000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SGRCN,AFY,2021,2020,0,2021-03-31,HA,4851000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CC,AFY,2021,2020,0,2021-03-31,HA,24118000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,TOBB,AFY,2021,2020,0,2021-03-31,HA,360000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CFF,AFY,2021,2020,0,2021-03-31,HA,470000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,OTH,AFY,2021,2020,0,2021-03-31,HA,3201000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,GRDNT,AFY,2021,2020,0,2021-03-31,HA,6015000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RNM,AFY,2021,2020,0,2021-03-31,HA,6700000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,WH,AFY,2021,2020,0,2021-03-31,HA,31125000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,OILSDS,AFY,2021,2020,0,2021-03-31,HA,28834000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,PUL,AFY,2021,2020,0,2021-03-31,HA,28783000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RI,AFY,2021,2020,0,2021-03-31,HA,45769000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,WH,AFY,2020,2019,0,2020-03-31,HA,31400000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,GRDNT,AFY,2020,2019,0,2020-03-31,HA,4830000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,COTTON,AFY,2020,2019,0,2020-03-31,HA,13480000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RI,AFY,2020,2019,0,2020-03-31,HA,43700000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CFF,AFY,2020,2019,0,2020-03-31,HA,460000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,TOBB,AFY,2020,2019,0,2020-03-31,HA,400000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,OILSDS,AFY,2020,2019,0,2020-03-31,HA,27140000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,TEA,AFY,2020,2019,0,2020-03-31,HA,640000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CERLS,AFY,2020,2019,0,2020-03-31,HA,99000000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SOY,AFY,2020,2019,0,2020-03-31,HA,12190000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RNM,AFY,2020,2019,0,2020-03-31,HA,6860000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RJNM,AFY,2020,2019,0,2020-03-31,HA,670000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,MJR_COM_CRPS,AFY,2020,2019,0,2020-03-31,HA,47390000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,PUL,AFY,2020,2019,0,2020-03-31,HA,28000000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CC,AFY,2020,2019,0,2020-03-31,HA,24024000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SGRCN,AFY,2020,2019,0,2020-03-31,HA,4600000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,OTH,AFY,2020,2019,0,2020-03-31,HA,3260000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,FDGRNS,AFY,2020,2019,0,2020-03-31,HA,127000000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,PUL,AFY,2019,2018,0,2019-03-31,HA,29156000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,TOBB,AFY,2019,2018,0,2019-03-31,HA,410000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SGRCN,AFY,2019,2018,0,2019-03-31,HA,5060000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CFF,AFY,2019,2018,0,2019-03-31,HA,460000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RI,AFY,2019,2018,0,2019-03-31,HA,44156000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CC,AFY,2019,2018,0,2019-03-31,HA,22147000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,GRDNT,AFY,2019,2018,0,2019-03-31,HA,4730000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,OILSDS,AFY,2019,2018,0,2019-03-31,HA,24790000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,MJR_COM_CRPS,AFY,2019,2018,0,2019-03-31,HA,44680000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,TEA,AFY,2019,2018,0,2019-03-31,HA,640000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CERLS,AFY,2019,2018,0,2019-03-31,HA,95622000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,COTTON,AFY,2019,2018,0,2019-03-31,HA,12610000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SOY,AFY,2019,2018,0,2019-03-31,HA,11130000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RNM,AFY,2019,2018,0,2019-03-31,HA,6120000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,FDGRNS,AFY,2019,2018,0,2019-03-31,HA,124778000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,OTH,AFY,2019,2018,0,2019-03-31,HA,2810000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RJNM,AFY,2019,2018,0,2019-03-31,HA,710000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,WH,AFY,2019,2018,0,2019-03-31,HA,29319000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,OILSDS,AFY,2018,2017,0,2018-03-31,HA,24510000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,FDGRNS,AFY,2018,2017,0,2018-03-31,HA,127500000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,PUL,AFY,2018,2017,0,2018-03-31,HA,29800000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SGRCN,AFY,2018,2017,0,2018-03-31,HA,4740000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CFF,AFY,2018,2017,0,2018-03-31,HA,450000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CERLS,AFY,2018,2017,0,2018-03-31,HA,97800000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,MJR_COM_CRPS,AFY,2018,2017,0,2018-03-31,HA,44020000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RJNM,AFY,2018,2017,0,2018-03-31,HA,740000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SOY,AFY,2018,2017,0,2018-03-31,HA,10330000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RI,AFY,2018,2017,0,2018-03-31,HA,43790000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RNM,AFY,2018,2017,0,2018-03-31,HA,5980000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,COTTON,AFY,2018,2017,0,2018-03-31,HA,12590000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,OTH,AFY,2018,2017,0,2018-03-31,HA,3310000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,WH,AFY,2018,2017,0,2018-03-31,HA,29700000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,GRDNT,AFY,2018,2017,0,2018-03-31,HA,4890000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CC,AFY,2018,2017,0,2018-03-31,HA,24300000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,TEA,AFY,2018,2017,0,2018-03-31,HA,580000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,TOBB,AFY,2018,2017,0,2018-03-31,HA,410000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SGRCN,AFY,2017,2016,0,2017-03-31,HA,4440000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,GRDNT,AFY,2017,2016,0,2017-03-31,HA,5340000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,TEA,AFY,2017,2016,0,2017-03-31,HA,580000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CERLS,AFY,2017,2016,0,2017-03-31,HA,99790000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,PUL,AFY,2017,2016,0,2017-03-31,HA,29400000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RNM,AFY,2017,2016,0,2017-03-31,HA,6070000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,WH,AFY,2017,2016,0,2017-03-31,HA,30790000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,OTH,AFY,2017,2016,0,2017-03-31,HA,3590000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,TOBB,AFY,2017,2016,0,2017-03-31,HA,400000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,OILSDS,AFY,2017,2016,0,2017-03-31,HA,26180000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RJNM,AFY,2017,2016,0,2017-03-31,HA,760000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,MJR_COM_CRPS,AFY,2017,2016,0,2017-03-31,HA,43640000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CC,AFY,2017,2016,0,2017-03-31,HA,25010000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SOY,AFY,2017,2016,0,2017-03-31,HA,11180000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,COTTON,AFY,2017,2016,0,2017-03-31,HA,10830000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CFF,AFY,2017,2016,0,2017-03-31,HA,450000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,FDGRNS,AFY,2017,2016,0,2017-03-31,HA,129230000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RI,AFY,2017,2016,0,2017-03-31,HA,43990000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SOY,AFY,2016,2015,0,2016-03-31,HA,11610000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,MJR_COM_CRPS,AFY,2016,2015,0,2016-03-31,HA,45540000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,COTTON,AFY,2016,2015,0,2016-03-31,HA,12290000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RI,AFY,2016,2015,0,2016-03-31,HA,43490000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,TEA,AFY,2016,2015,0,2016-03-31,HA,570000.0
