DATAFLOW,AUDST,BASE_PER,BASE_WEIGHT,CLASS_PROD_RN,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.62,NFG_CFF,AFY,2015,2014,2015-03-31,IX,119.1
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,1.19,NFG_CNUT,AFY,2015,2014,2015-03-31,IX,135.1
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,4.41,NFG_COTTON,AFY,2015,2014,2015-03-31,IX,155.8
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.62,NFG_GUARS,AFY,2015,2014,2015-03-31,IX,244.7
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.66,NFG_JUTE,AFY,2015,2014,2015-03-31,IX,104.4
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,13.25,NFG_OILSEEDS,AFY,2015,2014,2015-03-31,IX,99.7
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,4.11,NFG_OS_GRDNT,AFY,2015,2014,2015-03-31,IX,100.8
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,3.6,NFG_OS_RNM,AFY,2015,2014,2015-03-31,IX,88.1
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.47,NFG_OS_SESM,AFY,2015,2014,2015-03-31,IX,123.2
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,1.87,NFG_RBBR,AFY,2015,2014,2015-03-31,IX,78.0
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,9.89,NFG_SGRCN,AFY,2015,2014,2015-03-31,IX,110.4
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.28,NFG_TEA,AFY,2015,2014,2015-03-31,IX,123.2
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.41,NFG_TOBB,AFY,2015,2014,2015-03-31,IX,182.0
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,49.34,NON_FDGRAINS,AFY,2015,2014,2015-03-31,IX,132.3
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,100.0,ALL_CRPS,AFY,2016,2015,2016-03-31,IX,120.8
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,50.66,FDGRAINS,AFY,2016,2015,2016-03-31,IX,115.7
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,41.73,FG_CEREALS,AFY,2016,2015,2016-03-31,IX,115.5
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,6.86,FG_CE_CC,AFY,2016,2015,2016-03-31,IX,104.6
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,16.89,FG_CE_RI,AFY,2016,2015,2016-03-31,IX,111.1
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,17.99,FG_CE_WH,AFY,2016,2015,2016-03-31,IX,123.7
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,8.92,FG_PL_PULSES,AFY,2016,2015,2016-03-31,IX,116.7
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.62,NFG_CFF,AFY,2016,2015,2016-03-31,IX,126.7
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,1.19,NFG_CNUT,AFY,2016,2015,2016-03-31,IX,146.5
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,4.41,NFG_COTTON,AFY,2016,2015,2016-03-31,IX,134.3
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.62,NFG_GUARS,AFY,2016,2015,2016-03-31,IX,211.0
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.66,NFG_JUTE,AFY,2016,2015,2016-03-31,IX,97.8
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,13.25,NFG_OILSEEDS,AFY,2016,2015,2016-03-31,IX,92.5
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,4.11,NFG_OS_GRDNT,AFY,2016,2015,2016-03-31,IX,91.7
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,3.6,NFG_OS_RNM,AFY,2016,2015,2016-03-31,IX,95.3
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.47,NFG_OS_SESM,AFY,2016,2015,2016-03-31,IX,126.5
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,1.87,NFG_RBBR,AFY,2016,2015,2016-03-31,IX,68.0
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,9.89,NFG_SGRCN,AFY,2016,2015,2016-03-31,IX,106.1
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.28,NFG_TEA,AFY,2016,2015,2016-03-31,IX,126.9
