DATAFLOW,AUDST,CLS_OF_CRPS,FREQ,REPYEAREND,REPYEARSTART,STATE_CODE,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2015,2014,N_A,0,2015-03-31,TN,40447100
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2015,2014,N_A,0,2015-03-31,TN,362210820
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2015,2014,N_A,0,2015-03-31,TN,431126160
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2015,2014,N_A,0,2015-03-31,TN,30915000
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2015,2014,N_A,0,2015-03-31,TN,11125050
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2014,2013,N_A,0,2014-03-31,TN,18761800
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2014,2013,N_A,0,2014-03-31,TN,425616050
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2014,2013,N_A,0,2014-03-31,TN,95764900
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2014,2013,N_A,0,2014-03-31,TN,100765800
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2014,2013,N_A,0,2014-03-31,TN,31885260
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2014,2013,N_A,0,2014-03-31,TN,40386100
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2014,2013,N_A,0,2014-03-31,TN,351777500
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2014,2013,N_A,0,2014-03-31,TN,11689170
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2014,2013,N_A,0,2014-03-31,TN,30264120
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2014,2013,N_A,0,2014-03-31,TN,255678800
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2013,2012,N_A,0,2013-03-31,TN,28785190
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2013,2012,N_A,0,2013-03-31,TN,30208850
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2013,2012,N_A,0,2013-03-31,TN,10929100
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2013,2012,N_A,0,2013-03-31,TN,410765440
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2013,2012,N_A,0,2013-03-31,TN,17845300
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2013,2012,N_A,0,2013-03-31,TN,248693700
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2013,2012,N_A,0,2013-03-31,TN,36951200
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2013,2012,N_A,0,2013-03-31,TN,340842300
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2013,2012,N_A,0,2013-03-31,TN,93432000
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2013,2012,N_A,0,2013-03-31,TN,100465600
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2012,2011,N_A,0,2012-03-31,TN,360693300
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2012,2011,N_A,0,2012-03-31,TN,100044800
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2012,2011,N_A,0,2012-03-31,TN,29252050
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2012,2011,N_A,0,2012-03-31,TN,251582700
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2012,2011,N_A,0,2012-03-31,TN,11398620
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2012,2011,N_A,0,2012-03-31,TN,16785800
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2012,2011,N_A,0,2012-03-31,TN,34360000
