DATAFLOW,AUDST,DIS_OF_COM,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,1995,1994,0,1995-03-31,TN,8850000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,1995,1994,0,1995-03-31,TN,18080000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,1995,1994,0,1995-03-31,TN,26800000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,1995,1994,0,1995-03-31,TN,11870000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,1995,1994,0,1995-03-31,TN,10590000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,1995,1994,0,1995-03-31,TN,8720000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,1996,1995,0,1996-03-31,TN,24350000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,1996,1995,0,1996-03-31,TN,22380000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,1996,1995,0,1996-03-31,TN,10050000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,1996,1995,0,1996-03-31,TN,11630000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,1996,1995,0,1996-03-31,TN,13060000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,1996,1995,0,1996-03-31,TN,20820000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,1996,1995,0,1996-03-31,TN,12330000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,1996,1995,0,1996-03-31,TN,12720000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,1996,1995,0,1996-03-31,TN,7760000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,1997,1996,0,1997-03-31,TN,25630000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,1997,1996,0,1997-03-31,TN,21120000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,1997,1996,0,1997-03-31,TN,12960000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,1997,1996,0,1997-03-31,TN,12310000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,1997,1996,0,1997-03-31,TN,13170000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,1997,1996,0,1997-03-31,TN,16410000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,1997,1996,0,1997-03-31,TN,8160000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,1997,1996,0,1997-03-31,TN,13320000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,1997,1996,0,1997-03-31,TN,3240000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,1998,1997,0,1998-03-31,TN,18960000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,1998,1997,0,1998-03-31,TN,24850000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,1998,1997,0,1998-03-31,TN,15550000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,1998,1997,0,1998-03-31,TN,11200000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,1998,1997,0,1998-03-31,TN,13050000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,1998,1997,0,1998-03-31,TN,18120000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,1998,1997,0,1998-03-31,TN,9300000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,1998,1997,0,1998-03-31,TN,7760000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,1998,1997,0,1998-03-31,TN,5080000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,1999,1998,0,1999-03-31,TN,20730000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,1999,1998,0,1999-03-31,TN,25250000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,1999,1998,0,1999-03-31,TN,12600000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,1999,1998,0,1999-03-31,TN,11830000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,1999,1998,0,1999-03-31,TN,12160000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,1999,1998,0,1999-03-31,TN,21820000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,1999,1998,0,1999-03-31,TN,12650000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,1999,1998,0,1999-03-31,TN,8900000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,1999,1998,0,1999-03-31,TN,9660000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,2000,1999,0,2000-03-31,TN,23050000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,2000,1999,0,2000-03-31,TN,32370000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,2000,1999,0,2000-03-31,TN,18230000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,2000,1999,0,2000-03-31,TN,12420000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,2000,1999,0,2000-03-31,TN,15720000
