DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:TURNO_NSE_RN(1.0),N_A,M,2016,2015,0,2015-12-31,INR,3349538100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2016,2015,0,2015-11-30,INR,2774023000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2016,2015,0,2015-10-31,INR,3322761000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2016,2015,0,2015-09-30,INR,3130405300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2016,2015,0,2015-08-31,INR,3448489200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2016,2015,0,2015-07-31,INR,3834839500000
RBI:TURNO_NSE_RN(1.0),N_A,M,2016,2015,0,2015-06-30,INR,3332892000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2016,2015,0,2015-05-31,INR,3619351600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2016,2015,0,2015-04-30,INR,3793491100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2015,2014,0,2015-03-31,INR,3940856300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2015,2014,0,2015-02-28,INR,3927184600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2015,2014,0,2015-01-31,INR,3838721700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2015,2014,0,2014-12-31,INR,3544728600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2015,2014,0,2014-11-30,INR,3296377100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2015,2014,0,2014-10-31,INR,2711909400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2015,2014,0,2014-09-30,INR,3832610600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2015,2014,0,2014-08-31,INR,2947580500000
RBI:TURNO_NSE_RN(1.0),N_A,M,2015,2014,0,2014-07-31,INR,3914277700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2015,2014,0,2014-06-30,INR,4216878100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2015,2014,0,2014-05-31,INR,4360221800000
RBI:TURNO_NSE_RN(1.0),N_A,M,2015,2014,0,2014-04-30,INR,2727032400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2014,2013,0,2014-03-31,INR,2767405600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2014,2013,0,2014-02-28,INR,1887508000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2014,2013,0,2014-01-31,INR,2556297800000
RBI:TURNO_NSE_RN(1.0),N_A,M,2014,2013,0,2013-12-31,INR,2308173200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2014,2013,0,2013-11-30,INR,2177824800000
RBI:TURNO_NSE_RN(1.0),N_A,M,2014,2013,0,2013-10-31,INR,2379079800000
RBI:TURNO_NSE_RN(1.0),N_A,M,2014,2013,0,2013-09-30,INR,2435764600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2014,2013,0,2013-08-31,INR,2507583200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2014,2013,0,2013-07-31,INR,2433903100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2014,2013,0,2013-06-30,INR,2079435900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2014,2013,0,2013-05-31,INR,2443915500000
RBI:TURNO_NSE_RN(1.0),N_A,M,2014,2013,0,2013-04-30,INR,2107984800000
RBI:TURNO_NSE_RN(1.0),N_A,M,2013,2012,0,2013-03-31,INR,2125980200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2013,2012,0,2013-02-28,INR,2266417200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2013,2012,0,2013-01-31,INR,2954151700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2013,2012,0,2012-12-31,INR,2403248300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2013,2012,0,2012-11-30,INR,2209327400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2013,2012,0,2012-10-31,INR,2397948600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2013,2012,0,2012-09-30,INR,2401890500000
RBI:TURNO_NSE_RN(1.0),N_A,M,2013,2012,0,2012-08-31,INR,2048738200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2013,2012,0,2012-07-31,INR,2103254300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2013,2012,0,2012-06-30,INR,2021036600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2013,2012,0,2012-05-31,INR,2167549000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2013,2012,0,2012-04-30,INR,1983244000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2012,2011,0,2012-03-31,INR,2724821400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2012,2011,0,2012-02-29,INR,3278081600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2012,2011,0,2012-01-31,INR,2368721600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2012,2011,0,2011-12-31,INR,1888864600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2012,2011,0,2011-11-30,INR,2063439600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2012,2011,0,2011-10-31,INR,1932927400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2012,2011,0,2011-09-30,INR,2352701600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2012,2011,0,2011-08-31,INR,2352533700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2012,2011,0,2011-07-31,INR,2300025400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2012,2011,0,2011-06-30,INR,2224571300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2012,2011,0,2011-05-31,INR,2338759900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2012,2011,0,2011-04-30,INR,2283483900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2011,2010,0,2011-03-31,INR,2557118900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2011,2010,0,2011-02-28,INR,2665037500000
RBI:TURNO_NSE_RN(1.0),N_A,M,2011,2010,0,2011-01-31,INR,2673318100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2011,2010,0,2010-12-31,INR,2956850100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2011,2010,0,2010-11-30,INR,3639929600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2011,2010,0,2010-10-31,INR,3604716300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2011,2010,0,2010-09-30,INR,3298687000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2011,2010,0,2010-08-31,INR,3119936900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2011,2010,0,2010-07-31,INR,2785508000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2011,2010,0,2010-06-30,INR,2861091900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2011,2010,0,2010-05-31,INR,2846248600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2011,2010,0,2010-04-30,INR,2765655300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2010,2009,0,2010-03-31,INR,2862455400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2010,2009,0,2010-02-28,INR,2451434400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2010,2009,0,2010-01-31,INR,3384425700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2010,2009,0,2009-12-31,INR,2929004100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2010,2009,0,2009-11-30,INR,3244767900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2010,2009,0,2009-10-31,INR,3629688500000
RBI:TURNO_NSE_RN(1.0),N_A,M,2010,2009,0,2009-09-30,INR,3650631100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2010,2009,0,2009-08-31,INR,3649688300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2010,2009,0,2009-07-31,INR,4261429100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2010,2009,0,2009-06-30,INR,4824135900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2010,2009,0,2009-05-31,INR,3825609700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2010,2009,0,2009-04-30,INR,2666965000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2009,2008,0,2009-03-31,INR,2027985000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2009,2008,0,2009-02-28,INR,1498574800000
RBI:TURNO_NSE_RN(1.0),N_A,M,2009,2008,0,2009-01-31,INR,1911835200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2009,2008,0,2008-12-31,INR,2129559800000
RBI:TURNO_NSE_RN(1.0),N_A,M,2009,2008,0,2008-11-30,INR,1731228400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2009,2008,0,2008-10-31,INR,2161984400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2009,2008,0,2008-09-30,INR,2622612600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2009,2008,0,2008-08-31,INR,2342507400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2009,2008,0,2008-07-31,INR,2958161700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2009,2008,0,2008-06-30,INR,2644282400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2009,2008,0,2008-05-31,INR,2779229000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2009,2008,0,2008-04-30,INR,2712269600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2008,2007,0,2008-03-31,INR,2530124900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2008,2007,0,2008-02-29,INR,2801764400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2008,2007,0,2008-01-31,INR,4471378400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2008,2007,0,2007-12-31,INR,3663854500000
RBI:TURNO_NSE_RN(1.0),N_A,M,2008,2007,0,2007-11-30,INR,4144195000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2008,2007,0,2007-10-31,INR,4555893900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2008,2007,0,2007-09-30,INR,2660497300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2008,2007,0,2007-08-31,INR,2312405600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2008,2007,0,2007-07-31,INR,2672268800000
RBI:TURNO_NSE_RN(1.0),N_A,M,2008,2007,0,2007-06-30,INR,1936481600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2008,2007,0,2007-05-31,INR,2075851600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2008,2007,0,2007-04-30,INR,1685665500000
RBI:TURNO_NSE_RN(1.0),N_A,M,2007,2006,0,2007-03-31,INR,1679536900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2007,2006,0,2007-02-28,INR,1801702400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2007,2006,0,2007-01-31,INR,1751469600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2007,2006,0,2006-12-31,INR,1701053700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2007,2006,0,2006-11-30,INR,1898634500000
RBI:TURNO_NSE_RN(1.0),N_A,M,2007,2006,0,2006-10-31,INR,1383822300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2007,2006,0,2006-09-30,INR,1443388100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2007,2006,0,2006-08-31,INR,1307960600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2007,2006,0,2006-07-31,INR,1186983000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2007,2006,0,2006-06-30,INR,1510500500000
RBI:TURNO_NSE_RN(1.0),N_A,M,2007,2006,0,2006-05-31,INR,2014090100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2007,2006,0,2006-04-30,INR,1773724200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2006,2005,0,2006-03-31,INR,2093951500000
RBI:TURNO_NSE_RN(1.0),N_A,M,2006,2005,0,2006-02-28,INR,1353733600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2006,2005,0,2006-01-31,INR,1494419700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2006,2005,0,2005-12-31,INR,1499081700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2006,2005,0,2005-11-30,INR,1035327800000
RBI:TURNO_NSE_RN(1.0),N_A,M,2006,2005,0,2005-10-31,INR,1208099000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2006,2005,0,2005-09-30,INR,1453932400000
