DATAFLOW,AUDST,BASE_PER,COMD_ITEM,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_PSTI,M,2002,2001,2001-11-30,IX,365.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_FDGP,M,2002,2001,2001-12-31,IX,306.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG,M,2002,2001,2001-12-31,IX,312.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_CBF,M,2002,2001,2001-12-31,IX,328.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_FL,M,2002,2001,2001-12-31,IX,311.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_MS,M,2002,2001,2001-12-31,IX,322.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_PSTI,M,2002,2001,2001-12-31,IX,366.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_FDGP,M,2002,2001,2002-01-31,IX,300.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG,M,2002,2001,2002-01-31,IX,308.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_CBF,M,2002,2001,2002-01-31,IX,329.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_FL,M,2002,2001,2002-01-31,IX,312.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_MS,M,2002,2001,2002-01-31,IX,323.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_PSTI,M,2002,2001,2002-01-31,IX,368.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_FDGP,M,2002,2001,2002-02-28,IX,300.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG,M,2002,2001,2002-02-28,IX,308.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_CBF,M,2002,2001,2002-02-28,IX,329.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_FL,M,2002,2001,2002-02-28,IX,312.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_MS,M,2002,2001,2002-02-28,IX,323.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_PSTI,M,2002,2001,2002-02-28,IX,368.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_FDGP,M,2002,2001,2002-03-31,IX,300.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG,M,2002,2001,2002-03-31,IX,309.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_CBF,M,2002,2001,2002-03-31,IX,329.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_FL,M,2002,2001,2002-03-31,IX,313.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_MS,M,2002,2001,2002-03-31,IX,324.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_PSTI,M,2002,2001,2002-03-31,IX,368.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_FDGP,M,2003,2002,2002-04-30,IX,301.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG,M,2003,2002,2002-04-30,IX,309.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_CBF,M,2003,2002,2002-04-30,IX,330.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_FL,M,2003,2002,2002-04-30,IX,317.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_MS,M,2003,2002,2002-04-30,IX,325.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_PSTI,M,2003,2002,2002-04-30,IX,371.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_FDGP,M,2003,2002,2002-05-31,IX,302.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG,M,2003,2002,2002-05-31,IX,311.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_CBF,M,2003,2002,2002-05-31,IX,331.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_FL,M,2003,2002,2002-05-31,IX,319.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_MS,M,2003,2002,2002-05-31,IX,325.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_PSTI,M,2003,2002,2002-05-31,IX,372.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_FDGP,M,2003,2002,2002-06-30,IX,306.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG,M,2003,2002,2002-06-30,IX,314.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_CBF,M,2003,2002,2002-06-30,IX,333.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_FL,M,2003,2002,2002-06-30,IX,322.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_MS,M,2003,2002,2002-06-30,IX,327.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG_PSTI,M,2003,2002,2002-06-30,IX,373.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_FDGP,M,2003,2002,2002-07-31,IX,309.0
RBI:CPI_AG_RN(1.0),N_A,BY_1986-87,CO_GIAG,M,2003,2002,2002-07-31,IX,316.0
