DATAFLOW,AUDST,BASE_PER,CENTER_RN,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,JAIPUR,QFY,2011,2010,2010-09-30,IX,149.7
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KANPUR,QFY,2011,2010,2010-09-30,IX,129.4
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KOLKATA,QFY,2011,2010,2010-09-30,IX,156.2
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,LUCKNOW,QFY,2011,2010,2010-09-30,IX,128.5
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,MUMBAI,QFY,2011,2010,2010-09-30,IX,157.2
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,AHMEDABAD,QFY,2011,2010,2010-09-30,IX,102.542630483707
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,AL_INDIA,QFY,2011,2010,2010-09-30,IX,99.811032815987
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,BANGALORE,QFY,2011,2010,2010-09-30,IX,97.902562311559
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,CHENNAI,QFY,2011,2010,2010-09-30,IX,109.501643212766
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,DELHI,QFY,2011,2010,2010-09-30,IX,95.560697035579
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,JAIPUR,QFY,2011,2010,2010-09-30,IX,99.047963142297
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KANPUR,QFY,2011,2010,2010-09-30,IX,99.446162889106
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KOCHI,QFY,2011,2010,2010-09-30,IX,92.376464351186
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KOLKATA,QFY,2011,2010,2010-09-30,IX,103.191572645676
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,LUCKNOW,QFY,2011,2010,2010-09-30,IX,98.671878461075
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,MUMBAI,QFY,2011,2010,2010-09-30,IX,99.717031597059
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,AHMEDABAD,QFY,2011,2010,2010-12-31,IX,128.8
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,BANGALORE,QFY,2011,2010,2010-12-31,IX,104.7
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,CHENNAI,QFY,2011,2010,2010-12-31,IX,118.4
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,DELHI,QFY,2011,2010,2010-12-31,IX,111.4
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,JAIPUR,QFY,2011,2010,2010-12-31,IX,157.3
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KANPUR,QFY,2011,2010,2010-12-31,IX,133.5
