DATAFLOW,AUDST,FREQ,MEASURE_RN,PICE_REF_CITY_RN,PREC_METL_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1998,1997,0,1998-03-31,RUP_PER_10_GMS,3775.919167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1998,1997,0,1998-03-31,CTNS_PER_TROY_OZ,519.996667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1998,1997,0,1998-03-31,RUP_PER_KG,6153.959167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,1999,1998,0,1999-03-31,RUP_PER_10_GMS,4268.166667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,1999,1998,0,1999-03-31,RUP_PER_KG,7855.333333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1999,1998,0,1999-03-31,DOL_PER_TROY_OZ,292.319167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,1999,1998,0,1999-03-31,RUP_PER_10_GMS,3952.25
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1999,1998,0,1999-03-31,CTNS_PER_TROY_OZ,529.79225
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,1999,1998,0,1999-03-31,RUP_PER_KG,7143.916667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,2000,1999,0,2000-03-31,RUP_PER_10_GMS,4393.555833
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,2000,1999,0,2000-03-31,RUP_PER_KG,8066.9425
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2000,1999,0,2000-03-31,DOL_PER_TROY_OZ,279.646667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2000,1999,0,2000-03-31,RUP_PER_10_GMS,3896.661667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2000,1999,0,2000-03-31,CTNS_PER_TROY_OZ,522.683333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2000,1999,0,2000-03-31,RUP_PER_KG,7286.511667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,2001,2000,0,2001-03-31,RUP_PER_10_GMS,4473.598333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,2001,2000,0,2001-03-31,RUP_PER_KG,7868.39
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2001,2000,0,2001-03-31,DOL_PER_TROY_OZ,272.120833
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2001,2000,0,2001-03-31,RUP_PER_10_GMS,4007.786667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2001,2000,0,2001-03-31,CTNS_PER_TROY_OZ,483.591667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2001,2000,0,2001-03-31,RUP_PER_KG,7110.183333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,2002,2001,0,2002-03-31,RUP_PER_10_GMS,4579.119167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,2002,2001,0,2002-03-31,RUP_PER_KG,7447.1925
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2002,2001,0,2002-03-31,DOL_PER_TROY_OZ,277.735
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2002,2001,0,2002-03-31,RUP_PER_10_GMS,4260.234167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2002,2001,0,2002-03-31,CTNS_PER_TROY_OZ,437.341667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2002,2001,0,2002-03-31,RUP_PER_KG,6708.705
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,2003,2002,0,2003-03-31,RUP_PER_10_GMS,5332.3625
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,2003,2002,0,2003-03-31,RUP_PER_KG,7990.528333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2003,2002,0,2003-03-31,DOL_PER_TROY_OZ,325.4875
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2003,2002,0,2003-03-31,RUP_PER_10_GMS,5062.110833
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2003,2002,0,2003-03-31,CTNS_PER_TROY_OZ,467.233333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2003,2002,0,2003-03-31,RUP_PER_KG,7268.461667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,2004,2003,0,2004-03-31,RUP_PER_10_GMS,5718.945833
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,2004,2003,0,2004-03-31,RUP_PER_KG,8721.895833
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2004,2003,0,2004-03-31,DOL_PER_TROY_OZ,377.645
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2004,2003,0,2004-03-31,RUP_PER_10_GMS,5573.534167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2004,2003,0,2004-03-31,CTNS_PER_TROY_OZ,541.55
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2004,2003,0,2004-03-31,RUP_PER_KG,7982.494167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,2005,2004,0,2005-03-31,RUP_PER_10_GMS,6145.384167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,2005,2004,0,2005-03-31,RUP_PER_KG,10680.819167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2005,2004,0,2005-03-31,DOL_PER_TROY_OZ,413.948333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2005,2004,0,2005-03-31,RUP_PER_10_GMS,5976.14
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2005,2004,0,2005-03-31,CTNS_PER_TROY_OZ,676.166667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2005,2004,0,2005-03-31,RUP_PER_KG,9766.579167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,2006,2005,0,2006-03-31,RUP_PER_10_GMS,6900.56
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,2006,2005,0,2006-03-31,RUP_PER_KG,11828.813333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2006,2005,0,2006-03-31,DOL_PER_TROY_OZ,476.5825
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2006,2005,0,2006-03-31,RUP_PER_10_GMS,6790.255
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2006,2005,0,2006-03-31,CTNS_PER_TROY_OZ,801.173333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2006,2005,0,2006-03-31,RUP_PER_KG,11417.365833
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,2007,2006,0,2007-03-31,RUP_PER_10_GMS,9240.324167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,2007,2006,0,2007-03-31,RUP_PER_KG,19056.571667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2007,2006,0,2007-03-31,DOL_PER_TROY_OZ,628.408333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2007,2006,0,2007-03-31,RUP_PER_10_GMS,9137.79
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2007,2006,0,2007-03-31,CTNS_PER_TROY_OZ,1247.741667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2007,2006,0,2007-03-31,RUP_PER_KG,18133.956667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,2008,2007,0,2008-03-31,RUP_PER_10_GMS,9995.616667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,2008,2007,0,2008-03-31,RUP_PER_KG,19427.45
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2008,2007,0,2008-03-31,DOL_PER_TROY_OZ,765.784167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2008,2007,0,2008-03-31,RUP_PER_10_GMS,9897.118333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2008,2007,0,2008-03-31,CTNS_PER_TROY_OZ,1448.958333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2008,2007,0,2008-03-31,RUP_PER_KG,18738.231667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,2009,2008,0,2009-03-31,RUP_PER_10_GMS,12889.7425
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,2009,2008,0,2009-03-31,RUP_PER_KG,21247.571667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2009,2008,0,2009-03-31,DOL_PER_TROY_OZ,867.189167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2009,2008,0,2009-03-31,RUP_PER_10_GMS,12816.806667
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2009,2008,0,2009-03-31,CTNS_PER_TROY_OZ,1374.975833
