DATAFLOW,AUDST,BASE_PER,COVERAGE_GEO_RN,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,TYPE_CPI_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANL_VAR,1996,1995,AL,1996-03-31,PT,10.7
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANNUAL_AVE,1996,1995,AL,1996-03-31,PT,234.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1997,1996,IW,1997-03-31,PT,9.4
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1997,1996,IW_FG,1997-03-31,PT,9.3
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1997,1996,IW,1997-03-31,PT,342.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1997,1996,IW_FGB,1997-03-31,PT,369.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANL_VAR,1997,1996,AL,1997-03-31,PT,9.1
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANNUAL_AVE,1997,1996,AL,1997-03-31,PT,256.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1998,1997,IW,1998-03-31,PT,6.8
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1998,1997,IW_FG,1998-03-31,PT,5.17453
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1998,1997,IW,1998-03-31,PT,366.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1998,1997,IW_FGB,1998-03-31,PT,388.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANL_VAR,1998,1997,AL,1998-03-31,PT,3.4
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANNUAL_AVE,1998,1997,AL,1998-03-31,PT,264.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1999,1998,IW,1999-03-31,PT,13.107375
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1999,1998,IW_FG,1999-03-31,PT,14.64536
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1999,1998,IW,1999-03-31,PT,414.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1999,1998,IW_FGB,1999-03-31,PT,445.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANL_VAR,1999,1998,AL,1999-03-31,PT,11.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANNUAL_AVE,1999,1998,AL,1999-03-31,PT,293.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,2000,1999,IW,2000-03-31,PT,3.39082
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,2000,1999,IW_FG,2000-03-31,PT,0.26236
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,2000,1999,IW,2000-03-31,PT,428.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,2000,1999,IW_FGB,2000-03-31,PT,446.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANL_VAR,2000,1999,AL,2000-03-31,PT,4.4
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANNUAL_AVE,2000,1999,AL,2000-03-31,PT,306.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,2001,2000,IW,2001-03-31,PT,3.76916
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,2001,2000,IW_FG,2001-03-31,PT,1.58476
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,2001,2000,IW,2001-03-31,PT,444.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,2001,2000,IW_FGB,2001-03-31,PT,453.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANL_VAR,2001,2000,AL,2001-03-31,PT,-0.3
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANNUAL_AVE,2001,2000,AL,2001-03-31,PT,305.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,2002,2001,IW,2002-03-31,PT,4.28964
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,2002,2001,IW_FG,2002-03-31,PT,2.83488
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,2002,2001,IW,2002-03-31,PT,463.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,2002,2001,IW_FGB,2002-03-31,PT,466.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANL_VAR,2002,2001,AL,2002-03-31,PT,1.1
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANNUAL_AVE,2002,2001,AL,2002-03-31,PT,309.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,2003,2002,IW,2003-03-31,PT,4.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,2003,2002,IW_FG,2003-03-31,PT,2.5
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,2003,2002,IW,2003-03-31,PT,482.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,2003,2002,IW_FGB,2003-03-31,PT,477.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANL_VAR,2003,2002,AL,2003-03-31,PT,3.2
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANNUAL_AVE,2003,2002,AL,2003-03-31,PT,319.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,2004,2003,IW,2004-03-31,PT,3.9
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,2004,2003,IW_FG,2004-03-31,PT,3.73679
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,2004,2003,IW,2004-03-31,PT,500.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,2004,2003,IW_FGB,2004-03-31,PT,495.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANL_VAR,2004,2003,AL,2004-03-31,PT,3.9
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANNUAL_AVE,2004,2003,AL,2004-03-31,PT,331.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,2005,2004,IW,2005-03-31,PT,3.8
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,2005,2004,IW_FG,2005-03-31,PT,2.21111
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,2005,2004,IW,2005-03-31,PT,520.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,2005,2004,IW_FGB,2005-03-31,PT,506.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANL_VAR,2005,2004,AL,2005-03-31,PT,2.6
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANNUAL_AVE,2005,2004,AL,2005-03-31,PT,340.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,2006,2005,IW,2006-03-31,PT,4.03846
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,2006,2005,IW_FG,2006-03-31,PT,3.95257
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANL_VAR,2006,2005,AL,2006-03-31,PT,3.9
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANNUAL_AVE,2006,2005,AL,2006-03-31,PT,353.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANL_VAR,2006,2005,IW,2006-03-31,PT,4.4
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANL_VAR,2006,2005,IW_FG,2006-03-31,PT,4.1
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANNUAL_AVE,2006,2005,IW,2006-03-31,PT,117.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANNUAL_AVE,2006,2005,IW_FGB,2006-03-31,PT,115.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANL_VAR,2007,2006,AL,2007-03-31,PT,7.8
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANNUAL_AVE,2007,2006,AL,2007-03-31,PT,380.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANL_VAR,2007,2006,IW,2007-03-31,PT,6.7
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANL_VAR,2007,2006,IW_FG,2007-03-31,PT,9.2
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANNUAL_AVE,2007,2006,IW,2007-03-31,PT,125.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANNUAL_AVE,2007,2006,IW_FGB,2007-03-31,PT,126.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANL_VAR,2008,2007,AL,2008-03-31,PT,7.5
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANNUAL_AVE,2008,2007,AL,2008-03-31,PT,409.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANL_VAR,2008,2007,IW,2008-03-31,PT,6.2
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANL_VAR,2008,2007,IW_FG,2008-03-31,PT,8.4
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANNUAL_AVE,2008,2007,IW,2008-03-31,PT,133.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANNUAL_AVE,2008,2007,IW_FGB,2008-03-31,PT,136.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANL_VAR,2009,2008,AL,2009-03-31,PT,10.2
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANNUAL_AVE,2009,2008,AL,2009-03-31,PT,450.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANL_VAR,2009,2008,IW,2009-03-31,PT,9.1
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANL_VAR,2009,2008,IW_FG,2009-03-31,PT,12.3
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANNUAL_AVE,2009,2008,IW,2009-03-31,PT,145.0
