DATAFLOW,AUDST,BASE_PER,FREQ,REPYEAREND,REPYEARSTART,STATE_CODE,TYPE_LABOU_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,KER,AL,2016-02-29,IX,879.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,KER,RL,2016-02-29,IX,898.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,MAH,AL,2016-02-29,IX,905.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,MAH,RL,2016-02-29,IX,902.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,MANI,AL,2016-02-29,IX,808.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,MANI,RL,2016-02-29,IX,811.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,MEG,AL,2016-02-29,IX,821.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,MEG,RL,2016-02-29,IX,823.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,MP,AL,2016-02-29,IX,763.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,MP,RL,2016-02-29,IX,786.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,OD,AL,2016-02-29,IX,743.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,OD,RL,2016-02-29,IX,744.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,PUN,AL,2016-02-29,IX,886.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,PUN,RL,2016-02-29,IX,887.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,RAJA,AL,2016-02-29,IX,905.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,RAJA,RL,2016-02-29,IX,889.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,TN,AL,2016-02-29,IX,911.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,TN,RL,2016-02-29,IX,902.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,TRI,AL,2016-02-29,IX,763.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,TRI,RL,2016-02-29,IX,761.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,UP,AL,2016-02-29,IX,813.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,UP,RL,2016-02-29,IX,811.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,WB,AL,2016-02-29,IX,760.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,WB,RL,2016-02-29,IX,773.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,ALL_INDIA,AL,2016-03-31,IX,843.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,ALL_INDIA,RL,2016-03-31,IX,848.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,ANP,AL,2016-03-31,IX,925.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,ANP,RL,2016-03-31,IX,922.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,ASM,AL,2016-03-31,IX,785.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,ASM,RL,2016-03-31,IX,795.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,BIH,AL,2016-03-31,IX,718.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,BIH,RL,2016-03-31,IX,723.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,GUJ,AL,2016-03-31,IX,871.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,GUJ,RL,2016-03-31,IX,872.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,HAR,AL,2016-03-31,IX,929.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,HAR,RL,2016-03-31,IX,928.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,HP,AL,2016-03-31,IX,682.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,HP,RL,2016-03-31,IX,721.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,JNK,AL,2016-03-31,IX,795.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,JNK,RL,2016-03-31,IX,790.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,KAR,AL,2016-03-31,IX,949.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,KAR,RL,2016-03-31,IX,946.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,KER,AL,2016-03-31,IX,876.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,KER,RL,2016-03-31,IX,896.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,MAH,AL,2016-03-31,IX,908.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,MAH,RL,2016-03-31,IX,903.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,MANI,AL,2016-03-31,IX,807.0
