DATAFLOW,AUDST,BASE_PER,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,TYPE_CPI_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_GI,2003-01-31,PT,3.426124197002
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2003,2002,UNME_GI,2003-01-31,PT,3.307888040712
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2003,2002,AL_AIGI,2003-01-31,PT,3.896103896104
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_FGRP,2003-02-28,PT,3.260869565217
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_GI,2003-02-28,PT,3.862660944206
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2003,2002,UNME_GI,2003-02-28,PT,4.081632653061
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2003,2002,AL_AIGI,2003-02-28,PT,4.545454545455
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_FGRP,2003-03-31,PT,3.679653679654
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_GI,2003-03-31,PT,4.059829059829
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2003,2002,UNME_GI,2003-03-31,PT,3.79746835443
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2003,2002,AL_AIGI,2003-03-31,PT,4.854368932039
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_FGRP,2003-04-30,PT,5.399568034557
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_GI,2003-04-30,PT,5.117270788913
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2004,2003,UNME_GI,2003-04-30,PT,4.292929292929
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2004,2003,AL_AIGI,2003-04-30,PT,5.501618122977
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_FGRP,2003-05-31,PT,4.925053533191
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_GI,2003-05-31,PT,4.661016949153
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2004,2003,UNME_GI,2003-05-31,PT,4.27135678392
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2004,2003,AL_AIGI,2003-05-31,PT,5.144694533762
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_FGRP,2003-06-30,PT,4.439746300211
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_GI,2003-06-30,PT,4.411764705882
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2004,2003,UNME_GI,2003-06-30,PT,3.731343283582
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2004,2003,AL_AIGI,2003-06-30,PT,5.095541401274
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_FGRP,2003-07-31,PT,4.175365344468
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_GI,2003-07-31,PT,4.158004158004
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2004,2003,UNME_GI,2003-07-31,PT,3.694581280788
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2004,2003,AL_AIGI,2003-07-31,PT,4.746835443038
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_FGRP,2003-08-31,PT,2.489626556017
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_GI,2003-08-31,PT,3.099173553719
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2004,2003,UNME_GI,2003-08-31,PT,3.194103194103
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2004,2003,AL_AIGI,2003-08-31,PT,3.761755485893
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_FGRP,2003-09-30,PT,1.859504132231
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_GI,2003-09-30,PT,2.886597938144
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2004,2003,UNME_GI,2003-09-30,PT,2.941176470588
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2004,2003,AL_AIGI,2003-09-30,PT,3.426791277259
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_FGRP,2003-10-31,PT,2.880658436214
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_GI,2003-10-31,PT,3.285420944559
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2004,2003,UNME_GI,2003-10-31,PT,3.676470588235
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2004,2003,AL_AIGI,2003-10-31,PT,3.416149068323
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_FGRP,2003-11-30,PT,2.874743326489
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_GI,2003-11-30,PT,3.067484662577
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2004,2003,UNME_GI,2003-11-30,PT,3.43137254902
