DATAFLOW,AUDST,FREQ,MEASURE_RN,PICE_REF_CITY_RN,PREC_METL_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2017,2016,0,2017-03-01,RUP_PER_KG,42100.23
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2017-03-01,DOL_PER_TROY_OZ,1231.08
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2017-03-01,RUP_PER_10_GMS,26072.12
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2017-03-01,CTNS_PER_TROY_OZ,1763.1
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2017-03-01,RUP_PER_KG,37342.1707661
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2018,2017,0,2017-04-01,RUP_PER_10_GMS,29010.28
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2018,2017,0,2017-04-01,RUP_PER_KG,42141.67
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2017-04-01,DOL_PER_TROY_OZ,1266.39
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2017-04-01,RUP_PER_10_GMS,26259.7
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2017-04-01,CTNS_PER_TROY_OZ,1803.3
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2017-04-01,RUP_PER_KG,37399.559587
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2018,2017,0,2017-05-01,RUP_PER_10_GMS,28471.36
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2018,2017,0,2017-05-01,RUP_PER_KG,39366.14
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2017-05-01,DOL_PER_TROY_OZ,1245.13
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2017-05-01,RUP_PER_10_GMS,25807.97
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2017-05-01,CTNS_PER_TROY_OZ,1674.5
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2017-05-01,RUP_PER_KG,34684.029726
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2018,2017,0,2017-06-01,RUP_PER_10_GMS,28823.1
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2018,2017,0,2017-06-01,RUP_PER_KG,39491.67
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2017-06-01,DOL_PER_TROY_OZ,1260.77
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2017-06-01,RUP_PER_10_GMS,26125.03
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2017-06-01,CTNS_PER_TROY_OZ,1689.431818
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2017-06-01,RUP_PER_KG,35003.173204
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2018,2017,0,2017-07-01,RUP_PER_10_GMS,28170.48
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2018,2017,0,2017-07-01,RUP_PER_KG,37404.29
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2017-07-01,DOL_PER_TROY_OZ,1235.66
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2017-07-01,RUP_PER_10_GMS,25616.79
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2017-07-01,CTNS_PER_TROY_OZ,1616.742857
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2017-07-01,RUP_PER_KG,33503.838108
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2018,2017,0,2017-08-01,RUP_PER_10_GMS,28893.24
