DATAFLOW,AUDST,BASE_PER,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,WPI_COM_CLS_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1992,1991,WPI01,1992-03-31,IX,13.7
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1992,1991,WPI0101,1992-03-31,IX,18.1
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1992,1991,WPI010101,1992-03-31,IX,20.2
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1992,1991,WPI010102,1992-03-31,IX,18.0
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1992,1991,WPI0102,1992-03-31,IX,13.2
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1992,1991,WPI0103,1992-03-31,IX,11.3
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1992,1991,WPI01,1992-03-31,IX,207.8
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1992,1991,WPI0101,1992-03-31,IX,218.4
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1992,1991,WPI010101,1992-03-31,IX,241.2
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1992,1991,WPI010102,1992-03-31,IX,229.2
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1992,1991,WPI0102,1992-03-31,IX,199.0
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1992,1991,WPI0103,1992-03-31,IX,203.4
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1993,1992,WPI01,1993-03-31,IX,10.0
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1993,1992,WPI0101,1993-03-31,IX,7.4
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1993,1992,WPI010101,1993-03-31,IX,12.4
