DATAFLOW,AUDST,CURRENCY,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2026,2025,0,2025-11-10,INR,116.6558
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2026,2025,0,2025-11-10,INR,57.59
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2026,2025,0,2025-11-10,INR,88.6761
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2026,2025,0,2025-11-11,INR,102.5435
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2026,2025,0,2025-11-11,INR,116.8044
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2026,2025,0,2025-11-11,INR,57.53
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2026,2025,0,2025-11-11,INR,88.6983
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2026,2025,0,2025-11-12,INR,102.6431
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2026,2025,0,2025-11-12,INR,116.4544
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2026,2025,0,2025-11-12,INR,57.31
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2026,2025,0,2025-11-12,INR,88.6362
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2026,2025,0,2025-11-13,INR,102.7633
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2026,2025,0,2025-11-13,INR,116.3924
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2026,2025,0,2025-11-13,INR,57.26
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2026,2025,0,2025-11-13,INR,88.716
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2026,2025,0,2025-11-14,INR,103.3188
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2026,2025,0,2025-11-14,INR,116.7194
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2026,2025,0,2025-11-14,INR,57.44
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2026,2025,0,2025-11-14,INR,88.742
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2026,2025,0,2025-11-17,INR,102.7925
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2026,2025,0,2025-11-17,INR,116.445
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2026,2025,0,2025-11-17,INR,57.26
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2026,2025,0,2025-11-17,INR,88.63
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2026,2025,0,2025-11-18,INR,102.7828
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2026,2025,0,2025-11-18,INR,116.5844
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2026,2025,0,2025-11-18,INR,57.15
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2026,2025,0,2025-11-18,INR,88.6344
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2026,2025,0,2025-11-19,INR,102.5091
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2026,2025,0,2025-11-19,INR,116.3152
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2026,2025,0,2025-11-19,INR,56.92
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2026,2025,0,2025-11-19,INR,88.4558
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2026,2025,0,2025-11-20,INR,102.1874
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2026,2025,0,2025-11-20,INR,115.8376
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2026,2025,0,2025-11-20,INR,56.29
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2026,2025,0,2025-11-20,INR,88.6915
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2026,2025,0,2025-11-21,INR,102.3209
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2026,2025,0,2025-11-21,INR,116.0791
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2026,2025,0,2025-11-21,INR,56.42
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2026,2025,0,2025-11-21,INR,88.6402
