DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYPE_RATE_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_OPN_RT,0,2011-01-11,INR,45.385
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_LW_RT,0,2011-01-11,INR,45.435
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,RBI_REF_RT,0,2011-01-11,INR,45.32
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_HG_RT,0,2011-01-11,INR,45.165
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_LW_RT,0,2011-01-10,INR,45.515
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,RBI_REF_RT,0,2011-01-10,INR,45.44
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_OPN_RT,0,2011-01-10,INR,45.305
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_HG_RT,0,2011-01-10,INR,45.275
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_CLS_RT,0,2011-01-10,INR,45.455
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_CLS_RT,0,2011-01-07,INR,45.385
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_LW_RT,0,2011-01-07,INR,45.485
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_HG_RT,0,2011-01-07,INR,45.325
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_OPN_RT,0,2011-01-07,INR,45.405
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,RBI_REF_RT,0,2011-01-07,INR,45.37
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,RBI_REF_RT,0,2011-01-06,INR,45.31
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_CLS_RT,0,2011-01-06,INR,45.255
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_HG_RT,0,2011-01-06,INR,45.195
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_OPN_RT,0,2011-01-06,INR,45.405
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_LW_RT,0,2011-01-06,INR,45.435
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_HG_RT,0,2011-01-05,INR,45.135
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,RBI_REF_RT,0,2011-01-05,INR,45.2
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_LW_RT,0,2011-01-05,INR,45.335
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_CLS_RT,0,2011-01-05,INR,45.335
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_OPN_RT,0,2011-01-05,INR,45.185
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_LW_RT,0,2011-01-04,INR,44.995
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_OPN_RT,0,2011-01-04,INR,44.665
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_HG_RT,0,2011-01-04,INR,44.635
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_CLS_RT,0,2011-01-04,INR,44.995
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,RBI_REF_RT,0,2011-01-04,INR,44.84
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_LW_RT,0,2011-01-03,INR,44.785
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_HG_RT,0,2011-01-03,INR,44.655
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_OPN_RT,0,2011-01-03,INR,44.745
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,RBI_REF_RT,0,2011-01-03,INR,44.67
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_CLS_RT,0,2011-01-03,INR,44.705
