DATAFLOW,AUDST,CURRENCY,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2024,2023,0,2024-02-29,INR,104.7995
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2024,2023,0,2024-01-31,INR,83.121
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2024,2023,0,2024-01-31,INR,105.6041
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2024,2023,0,2024-01-31,INR,90.7675
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2024,2023,0,2024-01-31,INR,0.5706
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2024,2023,0,2023-12-31,INR,105.4188
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2024,2023,0,2023-12-31,INR,83.2787
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2024,2023,0,2023-12-31,INR,90.8405
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2024,2023,0,2023-12-31,INR,0.5781
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2024,2023,0,2023-11-30,INR,89.9942
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2024,2023,0,2023-11-30,INR,83.298
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2024,2023,0,2023-11-30,INR,0.5561
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2024,2023,0,2023-11-30,INR,103.3649
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2024,2023,0,2023-10-31,INR,0.5565
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2024,2023,0,2023-10-31,INR,83.2353
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2024,2023,0,2023-10-31,INR,101.2307
