DATAFLOW,AUDST,CURRENCY,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2008,2007,0,2007-12-31,INR,56.6019
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2008,2007,0,2007-12-31,INR,35.1348
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2008,2007,0,2007-12-31,INR,63.2702
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2008,2007,0,2007-12-31,INR,41.3485
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2007,2006,0,2006-12-31,INR,38.9752
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2007,2006,0,2006-12-31,INR,45.307
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2007,2006,0,2006-12-31,INR,56.9279
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2007,2006,0,2006-12-31,INR,66.6775
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2007,2006,0,2006-12-31,INR,83.5115
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2006,2005,0,2005-12-31,INR,40.102
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2006,2005,0,2005-12-31,INR,80.253
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2006,2005,0,2005-12-31,INR,65.1404
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2006,2005,0,2005-12-31,INR,44.1
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2006,2005,0,2005-12-31,INR,54.8993
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2005,2004,0,2004-12-31,INR,82.9983
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2005,2004,0,2004-12-31,INR,45.3165
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2005,2004,0,2004-12-31,INR,67.1058
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2005,2004,0,2004-12-31,INR,56.3259
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2005,2004,0,2004-12-31,INR,41.8941
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2004,2003,0,2003-12-31,INR,76.0974
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2004,2003,0,2003-12-31,INR,46.5819
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2004,2003,0,2003-12-31,INR,65.2192
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2004,2003,0,2003-12-31,INR,40.2047
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2004,2003,0,2003-12-31,INR,52.6604
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2003,2002,0,2002-12-31,INR,72.9988
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2003,2002,0,2002-12-31,INR,38.873
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2003,2002,0,2002-12-31,INR,62.9532
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2003,2002,0,2002-12-31,INR,48.5993
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2003,2002,0,2002-12-31,INR,45.8873
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2002,2001,0,2001-12-31,INR,47.1857
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2002,2001,0,2001-12-31,INR,67.9834
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2002,2001,0,2001-12-31,INR,42.2869
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2002,2001,0,2001-12-31,INR,38.8674
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2002,2001,0,2001-12-31,INR,60.0782
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2001,2000,0,2000-12-31,INR,41.7257
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2001,2000,0,2000-12-31,INR,41.4939
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2001,2000,0,2000-12-31,INR,44.9401
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2001,2000,0,2000-12-31,INR,68.076
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2001,2000,0,2000-12-31,INR,59.2475
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2000,1999,0,1999-12-31,INR,45.9951
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2000,1999,0,1999-12-31,INR,37.9595
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2000,1999,0,1999-12-31,INR,58.8799
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2000,1999,0,1999-12-31,INR,43.0485
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2000,1999,0,1999-12-31,INR,69.6786
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,1999,1998,0,1998-12-31,INR,68.3511
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,1999,1998,0,1998-12-31,INR,23.5074
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,1999,1998,0,1998-12-31,INR,31.6646
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,1999,1998,0,1998-12-31,INR,56.0329
