DATAFLOW,AUDST,CURRENCY,FREQ,RANGE_RT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2022,2021,0,2021-11-30,INR,130.97
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2022,2021,0,2021-11-30,INR,149.0101
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2022,2021,0,2021-10-31,INR,132.70999999999998
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2022,2021,0,2021-10-31,INR,203.3544
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2022,2021,0,2021-10-31,INR,173.4115
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2022,2021,0,2021-10-31,INR,149.7005
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2022,2021,0,2021-09-30,INR,173.2215
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2022,2021,0,2021-09-30,INR,133.54000000000002
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2022,2021,0,2021-09-30,INR,147.214
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2022,2021,0,2021-09-30,INR,201.8406
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2022,2021,0,2021-08-31,INR,204.4041
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2022,2021,0,2021-08-31,INR,147.5812
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2022,2021,0,2021-08-31,INR,134.68
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2022,2021,0,2021-08-31,INR,174.8548
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2022,2021,0,2021-07-31,INR,135.28
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2022,2021,0,2021-07-31,INR,205.8345
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2022,2021,0,2021-07-31,INR,176.1399
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2022,2021,0,2021-07-31,INR,149.1418
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2022,2021,0,2021-06-30,INR,147.1451
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2022,2021,0,2021-06-30,INR,206.1729
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2022,2021,0,2021-06-30,INR,133.7
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2022,2021,0,2021-06-30,INR,177.50799999999998
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2022,2021,0,2021-05-31,INR,146.65789999999998
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2022,2021,0,2021-05-31,INR,177.5472
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2022,2021,0,2021-05-31,INR,206.25920000000002
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2022,2021,0,2021-05-31,INR,133.66
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2022,2021,0,2021-04-30,INR,148.48399999999998
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2022,2021,0,2021-04-30,INR,135.79000000000002
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2022,2021,0,2021-04-30,INR,176.80470000000003
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2022,2021,0,2021-04-30,INR,206.10899999999998
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2021,2020,0,2021-03-31,INR,173.9004
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2021,2020,0,2021-03-31,INR,201.859
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2021,2020,0,2021-03-31,INR,145.7975
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2021,2020,0,2021-03-31,INR,135.04000000000002
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2021,2020,0,2021-02-28,INR,201.8321
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2021,2020,0,2021-02-28,INR,175.9946
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2021,2020,0,2021-02-28,INR,145.3331
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2021,2020,0,2021-02-28,INR,138.2
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2021,2020,0,2021-01-31,INR,178.3477
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2021,2020,0,2021-01-31,INR,199.24380000000002
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2021,2020,0,2021-01-31,INR,141.01
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2021,2020,0,2021-01-31,INR,146.2687
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2021,2020,0,2020-12-31,INR,141.89
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2021,2020,0,2020-12-31,INR,197.8476
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2021,2020,0,2020-12-31,INR,178.2099
