DATAFLOW,AUDST,CURRENCY,FREQ,RANGE_RT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2025-02-28,INR,180.57999999999998
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2025-02-28,INR,217.46280000000002
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2025-02-28,INR,174.2324
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2025-01-31,INR,212.8965
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2025-01-31,INR,110.22
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2025-01-31,INR,172.3504
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2025-01-31,INR,178.50869999999998
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2025-01-31,INR,224.667
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2024-12-31,INR,110.68
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2024-12-31,INR,214.662
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2024-12-31,INR,170.281
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2024-12-31,INR,222.531
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2024-12-31,INR,177.82569999999998
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2024-11-30,INR,222.68
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2024-11-30,INR,110.46000000000001
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2024-11-30,INR,179.9749
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2024-11-30,INR,215.18560000000002
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2024-11-30,INR,168.603
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2024-10-31,INR,167.9035
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2024-10-31,INR,220.787
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2024-10-31,INR,184.0156
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2024-10-31,INR,112.87
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2024-10-31,INR,224.836
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2024-09-30,INR,186.08300000000003
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2024-09-30,INR,167.4765
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2024-09-30,INR,117.23
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2024-09-30,INR,221.7738
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2024-09-30,INR,226.405
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2024-08-31,INR,167.6947
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2024-08-31,INR,184.23590000000002
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2024-08-31,INR,114.69
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2024-08-31,INR,224.273
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2024-08-31,INR,217.699
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2024-07-31,INR,106.44
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2024-07-31,INR,221.037
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2024-07-31,INR,214.2885
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2024-07-31,INR,167.1483
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2024-07-31,INR,181.0795
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2024-06-30,INR,212.3261
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2024-06-30,INR,166.6519
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2024-06-30,INR,105.58
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2024-06-30,INR,180.2685
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2024-06-30,INR,220.488
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2024-05-31,INR,107.37
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2024-05-31,INR,220.744
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2024-05-31,INR,166.60719999999998
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2024-05-31,INR,210.5292
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2024-05-31,INR,180.316
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2024-04-30,INR,208.4783
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2024-04-30,INR,166.7467
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2024-04-30,INR,179.052
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2024-04-30,INR,220.32
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2024-04-30,INR,108.28
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2024,2023,0,2024-03-31,INR,166.0509
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2024,2023,0,2024-03-31,INR,211.0088
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2024,2023,0,2024-03-31,INR,111.08
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2024,2023,0,2024-03-31,INR,180.4884
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2024,2023,0,2024-03-31,INR,220.56099999999998
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2024,2023,0,2024-02-29,INR,165.927
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2024,2023,0,2024-02-29,INR,111.61
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2024,2023,0,2024-02-29,INR,209.8879
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2024,2023,0,2024-02-29,INR,179.1875
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2024,2023,0,2024-02-29,INR,220.205
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2024,2023,0,2024-01-31,INR,181.80579999999998
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2024,2023,0,2024-01-31,INR,114.89
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2024,2023,0,2024-01-31,INR,222.081
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2024,2023,0,2024-01-31,INR,166.1812
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2024,2023,0,2024-01-31,INR,210.8391
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2024,2023,0,2023-12-31,INR,211.2055
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2024,2023,0,2023-12-31,INR,182.1875
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2024,2023,0,2023-12-31,INR,115.21000000000001
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2024,2023,0,2023-12-31,INR,166.41230000000002
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2024,2023,0,2023-12-31,INR,222.219
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2024,2023,0,2023-11-30,INR,111.58
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2024,2023,0,2023-11-30,INR,179.6836
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2024,2023,0,2023-11-30,INR,220.38400000000001
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2024,2023,0,2023-11-30,INR,166.5198
