DATAFLOW,AMOUNT_TYP_RN,AUDST,FREQ,REPYEAREND,REPYEARSTART,SMALL_SAVINGS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1995,1994,SSV3,0,1995-03-31,INR,10270000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1995,1994,TTL_OUTSTNDINGS,0,1995-03-31,INR,833370000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1995,1994,SSV1,0,1995-03-31,INR,157910000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1995,1994,SSV2,0,1995-03-31,INR,185260000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1995,1994,SSV3,0,1995-03-31,INR,3500000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1995,1994,TTL_RECEIPTS,0,1995-03-31,INR,346670000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1996,1995,SSV1,0,1996-03-31,INR,302480000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1996,1995,SSV2,0,1996-03-31,INR,624520000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1996,1995,SSV3,0,1996-03-31,INR,10280000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1996,1995,TTL_OUTSTNDINGS,0,1996-03-31,INR,937280000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1996,1995,SSV1,0,1996-03-31,INR,159200000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1996,1995,SSV2,0,1996-03-31,INR,168280000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1996,1995,TTL_RECEIPTS,0,1996-03-31,INR,327480000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1997,1996,SSV1,0,1997-03-31,INR,318000000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1997,1996,SSV2,0,1997-03-31,INR,728390000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1997,1996,SSV3,0,1997-03-31,INR,14720000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1997,1996,TTL_OUTSTNDINGS,0,1997-03-31,INR,1061110000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1997,1996,SSV1,0,1997-03-31,INR,164280000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1997,1996,SSV2,0,1997-03-31,INR,166800000000
