DATAFLOW,AUDST,FREQ,PUB_BORWING_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,2009,2008,0,2009-03-31,INR,2065010000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,2009,2008,0,2009-03-31,INR,169420000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,2009,2008,0,2009-03-31,INR,123510000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,2009,2008,0,2009-03-31,INR,202260000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,2009,2008,0,2009-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,2008,2007,0,2008-03-31,INR,1584740000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,2008,2007,0,2008-03-31,INR,-49550000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,2008,2007,0,2008-03-31,INR,147690000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,2008,2007,0,2008-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,2008,2007,0,2008-03-31,INR,120610000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,2008,2007,0,2008-03-31,INR,2041640000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,2008,2007,0,2008-03-31,INR,5393110000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,2008,2007,0,2008-03-31,INR,1358090000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,2008,2007,0,2008-03-31,INR,189890000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,2007,2006,0,2007-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,2007,2006,0,2007-03-31,INR,1260170000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,2007,2006,0,2007-03-31,INR,124420000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,2007,2006,0,2007-03-31,INR,1275830000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,2007,2006,0,2007-03-31,INR,4350750000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,2007,2006,0,2007-03-31,INR,382890000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,2007,2006,0,2007-03-31,INR,103610000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,2007,2006,0,2007-03-31,INR,671630000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,2007,2006,0,2007-03-31,INR,532200000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,2006,2005,0,2006-03-31,INR,687050000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,2006,2005,0,2006-03-31,INR,743760000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,2006,2005,0,2006-03-31,INR,492720000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,2006,2005,0,2006-03-31,INR,1405330000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,2006,2005,0,2006-03-31,INR,154550000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,2006,2005,0,2006-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,2006,2005,0,2006-03-31,INR,-100300000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,2006,2005,0,2006-03-31,INR,3581620000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,2006,2005,0,2006-03-31,INR,198510000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,2005,2004,0,2005-03-31,INR,892690000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,2005,2004,0,2005-03-31,INR,1162930000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,2005,2004,0,2005-03-31,INR,-532940000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,2005,2004,0,2005-03-31,INR,0.0
