DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_DEF_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_DEF_RN(1.0),N_A,AFY,1995,1994,DEF5,0,1995-03-31,INR,120500000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1995,1994,DEF6,0,1995-03-31,INR,310290000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1995,1994,DEF7,0,1995-03-31,INR,-130310000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1996,1995,CE5,0,1996-03-31,INR,1717700000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1996,1995,CGB3,0,1996-03-31,INR,198550000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1996,1995,CGR3,0,1996-03-31,INR,1115270000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1996,1995,DEF1,0,1996-03-31,INR,602430000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1996,1995,DEF2,0,1996-03-31,INR,424320000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1996,1995,DEF4,0,1996-03-31,INR,101980000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1996,1995,DEF5,0,1996-03-31,INR,108060000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1996,1995,DEF6,0,1996-03-31,INR,297310000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1996,1995,DEF7,0,1996-03-31,INR,-203140000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1997,1996,CE5,0,1997-03-31,INR,1934680000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1997,1996,CGB3,0,1997-03-31,INR,19340000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1997,1996,CGR3,0,1997-03-31,INR,1267340000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1997,1996,DEF1,0,1997-03-31,INR,667330000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1997,1996,DEF2,0,1997-03-31,INR,463940000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1997,1996,DEF4,0,1997-03-31,INR,72550000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1997,1996,DEF5,0,1997-03-31,INR,90220000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1997,1996,DEF6,0,1997-03-31,INR,326540000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1997,1996,DEF7,0,1997-03-31,INR,-268240000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1998,1997,CE5,0,1998-03-31,INR,2237350000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1998,1997,CGB3,0,1998-03-31,INR,129140000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1998,1997,CGR3,0,1998-03-31,INR,1347980000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1998,1997,DEF1,0,1998-03-31,INR,889370000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1998,1997,DEF2,0,1998-03-31,INR,630620000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1998,1997,DEF4,0,1998-03-31,INR,233000000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1998,1997,DEF5,0,1998-03-31,INR,227480000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1998,1997,DEF6,0,1998-03-31,INR,464490000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1998,1997,DEF7,0,1998-03-31,INR,-191880000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1999,1998,CE5,0,1999-03-31,INR,2687070000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1999,1998,CGB3,0,1999-03-31,INR,118000000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1999,1998,CGR3,0,1999-03-31,INR,1553590000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1999,1998,DEF1,0,1999-03-31,INR,1133490000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1999,1998,DEF2,0,1999-03-31,INR,799440000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1999,1998,DEF4,0,1999-03-31,INR,354660000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1999,1998,DEF5,0,1999-03-31,INR,321380000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1999,1998,DEF6,0,1999-03-31,INR,669760000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1999,1998,DEF7,0,1999-03-31,INR,-109060000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2000,1999,CE5,0,2000-03-31,INR,2879220000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2000,1999,CGB3,0,2000-03-31,INR,-55880000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2000,1999,CGR3,0,2000-03-31,INR,1832060000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2000,1999,DEF1,0,2000-03-31,INR,1047160000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2000,1999,DEF2,0,2000-03-31,INR,899100000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2000,1999,DEF4,0,2000-03-31,INR,144670000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2000,1999,DEF5,0,2000-03-31,INR,335560000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2000,1999,DEF6,0,2000-03-31,INR,675960000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2000,1999,DEF7,0,2000-03-31,INR,-226530000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2001,2000,CE5,0,2001-03-31,INR,3135460000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2001,2000,CGB3,0,2001-03-31,INR,67050000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2001,2000,CGR3,0,2001-03-31,INR,1947300000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2001,2000,DEF1,0,2001-03-31,INR,1188160000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2001,2000,DEF2,0,2001-03-31,INR,1078540000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2001,2000,DEF4,0,2001-03-31,INR,195020000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2001,2000,DEF5,0,2001-03-31,INR,413510000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2001,2000,DEF6,0,2001-03-31,INR,852340000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2001,2000,DEF7,0,2001-03-31,INR,-140800000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2002,2001,CE5,0,2002-03-31,INR,3459070000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2002,2001,CGB3,0,2002-03-31,INR,-51500000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2002,2001,CGR3,0,2002-03-31,INR,2049520000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2002,2001,DEF1,0,2002-03-31,INR,1409550000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2002,2001,DEF2,0,2002-03-31,INR,1230740000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2002,2001,DEF4,0,2002-03-31,INR,334950000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2002,2001,DEF5,0,2002-03-31,INR,511520000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2002,2001,DEF6,0,2002-03-31,INR,1001620000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2002,2001,DEF7,0,2002-03-31,INR,-72980000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2003,2002,CE5,0,2003-03-31,INR,3790570000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2003,2002,CGB3,0,2003-03-31,INR,-283990000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2003,2002,CGR3,0,2003-03-31,INR,2339850000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2003,2002,DEF1,0,2003-03-31,INR,1450720000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2003,2002,DEF2,0,2003-03-31,INR,1338290000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2003,2002,DEF4,0,2003-03-31,INR,272680000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2003,2002,DEF5,0,2003-03-31,INR,536470000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2003,2002,DEF6,0,2003-03-31,INR,1078790000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2003,2002,DEF7,0,2003-03-31,INR,-99250000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2004,2003,CE5,0,2004-03-31,INR,4040380000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2004,2003,CGB3,0,2004-03-31,INR,-760650000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2004,2003,CGR3,0,2004-03-31,INR,2807650000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2004,2003,DEF1,0,2004-03-31,INR,1232730000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2004,2003,DEF2,0,2004-03-31,INR,1155580000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2004,2003,DEF4,0,2004-03-31,INR,-8150000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2004,2003,DEF5,0,2004-03-31,INR,300080000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2004,2003,DEF6,0,2004-03-31,INR,982610000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2004,2003,DEF7,0,2004-03-31,INR,-258270000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2005,2004,CE5,0,2005-03-31,INR,4362090000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2005,2004,CGB3,0,2005-03-31,INR,-601770000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2005,2004,CGR3,0,2005-03-31,INR,3104150000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2005,2004,DEF1,0,2005-03-31,INR,1257940000000
RBI:CG_DEF_RN(1.0),N_A,AFY,2005,2004,DEF2,0,2005-03-31,INR,1262520000000
