DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_DEFM_RN(1.0),N_A,M,2015,2014,0,2015-02-28,INR,343950000000
RBI:CG_DEFM_RN(1.0),N_A,M,2015,2014,0,2015-01-31,INR,357580000000
RBI:CG_DEFM_RN(1.0),N_A,M,2015,2014,0,2014-12-31,INR,72470000000
RBI:CG_DEFM_RN(1.0),N_A,M,2015,2014,0,2014-11-30,INR,493830000000
RBI:CG_DEFM_RN(1.0),N_A,M,2015,2014,0,2014-10-31,INR,369250000000
RBI:CG_DEFM_RN(1.0),N_A,M,2015,2014,0,2014-09-30,INR,408970000000
RBI:CG_DEFM_RN(1.0),N_A,M,2015,2014,0,2014-08-31,INR,730050000000
RBI:CG_DEFM_RN(1.0),N_A,M,2015,2014,0,2014-07-31,INR,270650000000
RBI:CG_DEFM_RN(1.0),N_A,M,2015,2014,0,2014-06-30,INR,570220000000
RBI:CG_DEFM_RN(1.0),N_A,M,2015,2014,0,2014-05-31,INR,1273830000000
RBI:CG_DEFM_RN(1.0),N_A,M,2015,2014,0,2014-04-30,INR,1134540000000
RBI:CG_DEFM_RN(1.0),N_A,M,2014,2013,0,2014-03-31,INR,-911500000000
RBI:CG_DEFM_RN(1.0),N_A,M,2014,2013,0,2014-02-28,INR,664570000000
RBI:CG_DEFM_RN(1.0),N_A,M,2014,2013,0,2014-01-31,INR,164520000000
RBI:CG_DEFM_RN(1.0),N_A,M,2014,2013,0,2013-12-31,INR,68330000000
RBI:CG_DEFM_RN(1.0),N_A,M,2014,2013,0,2013-11-30,INR,516710000000
RBI:CG_DEFM_RN(1.0),N_A,M,2014,2013,0,2013-10-31,INR,457980000000
RBI:CG_DEFM_RN(1.0),N_A,M,2014,2013,0,2013-09-30,INR,74370000000
RBI:CG_DEFM_RN(1.0),N_A,M,2014,2013,0,2013-08-31,INR,640420000000
RBI:CG_DEFM_RN(1.0),N_A,M,2014,2013,0,2013-07-31,INR,777860000000
RBI:CG_DEFM_RN(1.0),N_A,M,2014,2013,0,2013-06-30,INR,821320000000
RBI:CG_DEFM_RN(1.0),N_A,M,2014,2013,0,2013-05-31,INR,870790000000
RBI:CG_DEFM_RN(1.0),N_A,M,2014,2013,0,2013-04-30,INR,936120000000
