DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_LIAB_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CGL_RN(1.0),N_A,AFY,2016,2015,TTL_LIABLITIES,0,2016-03-31,INR,70982980000000
RBI:CGL_RN(1.0),N_A,AFY,2016,2015,TL1103,0,2016-03-31,INR,2318401700000
RBI:CGL_RN(1.0),N_A,AFY,2016,2015,TL1,0,2016-03-31,INR,66917090000000
RBI:CGL_RN(1.0),N_A,AFY,2016,2015,TL1101,0,2016-03-31,INR,42987839900000
RBI:CGL_RN(1.0),N_A,AFY,2016,2015,TL2,0,2016-03-31,INR,4065890000000
RBI:CGL_RN(1.0),N_A,AFY,2016,2015,TL1102,0,2016-03-31,INR,1328547100000
RBI:CGL_RN(1.0),N_A,AFY,2016,2015,TL1104,0,2016-03-31,INR,6413565700000.01
RBI:CGL_RN(1.0),N_A,AFY,2016,2015,TL11,0,2016-03-31,INR,53048354400000.01
RBI:CGL_RN(1.0),N_A,AFY,2015,2014,TTL_LIABLITIES,0,2015-03-31,INR,64113910000000
RBI:CGL_RN(1.0),N_A,AFY,2015,2014,TL1103,0,2015-03-31,INR,2204895500000
RBI:CGL_RN(1.0),N_A,AFY,2015,2014,TL1101,0,2015-03-31,INR,38917340400000
RBI:CGL_RN(1.0),N_A,AFY,2015,2014,TL1104,0,2015-03-31,INR,4971059700000
RBI:CGL_RN(1.0),N_A,AFY,2015,2014,TL2,0,2015-03-31,INR,3663840000000
RBI:CGL_RN(1.0),N_A,AFY,2015,2014,TL14,0,2015-03-31,INR,1888569800000
RBI:CGL_RN(1.0),N_A,AFY,2015,2014,TL11,0,2015-03-31,INR,47382910300000
RBI:CGL_RN(1.0),N_A,AFY,2015,2014,TL12,0,2015-03-31,INR,8022295500000
RBI:CGL_RN(1.0),N_A,AFY,2015,2014,TL1,0,2015-03-31,INR,60450070000000
RBI:CGL_RN(1.0),N_A,AFY,2015,2014,TL1102,0,2015-03-31,INR,1289614700000
RBI:CGL_RN(1.0),N_A,AFY,2015,2014,TL13,0,2015-03-31,INR,3156295900000.0005
RBI:CGL_RN(1.0),N_A,AFY,2014,2013,TL13,0,2014-03-31,INR,3154207600000
RBI:CGL_RN(1.0),N_A,AFY,2014,2013,TL12,0,2014-03-31,INR,7726089399999.999
RBI:CGL_RN(1.0),N_A,AFY,2014,2013,TL1104,0,2014-03-31,INR,4599912500000
RBI:CGL_RN(1.0),N_A,AFY,2014,2013,TL1,0,2014-03-31,INR,54848480000000
RBI:CGL_RN(1.0),N_A,AFY,2014,2013,TL1103,0,2014-03-31,INR,2133736900000
RBI:CGL_RN(1.0),N_A,AFY,2014,2013,TL11,0,2014-03-31,INR,42407669200000
RBI:CGL_RN(1.0),N_A,AFY,2014,2013,TL1102,0,2014-03-31,INR,1257606100000
RBI:CGL_RN(1.0),N_A,AFY,2014,2013,TL14,0,2014-03-31,INR,1560511200000
RBI:CGL_RN(1.0),N_A,AFY,2014,2013,TTL_LIABLITIES,0,2014-03-31,INR,58593310000000
RBI:CGL_RN(1.0),N_A,AFY,2014,2013,TL1101,0,2014-03-31,INR,34416413700000
RBI:CGL_RN(1.0),N_A,AFY,2014,2013,TL2,0,2014-03-31,INR,3744830000000
RBI:CGL_RN(1.0),N_A,AFY,2013,2012,TL1,0,2013-03-31,INR,48933030000000
RBI:CGL_RN(1.0),N_A,AFY,2013,2012,TL1104,0,2013-03-31,INR,4804524500000
RBI:CGL_RN(1.0),N_A,AFY,2013,2012,TTL_LIABLITIES,0,2013-03-31,INR,52253070000000
RBI:CGL_RN(1.0),N_A,AFY,2013,2012,TL11,0,2013-03-31,INR,37645660000000
RBI:CGL_RN(1.0),N_A,AFY,2013,2012,TL1102,0,2013-03-31,INR,1051420300000
RBI:CGL_RN(1.0),N_A,AFY,2013,2012,TL13,0,2013-03-31,INR,2574239500000
RBI:CGL_RN(1.0),N_A,AFY,2013,2012,TL2,0,2013-03-31,INR,3320040000000
RBI:CGL_RN(1.0),N_A,AFY,2013,2012,TL1103,0,2013-03-31,INR,1946629700000
RBI:CGL_RN(1.0),N_A,AFY,2013,2012,TL14,0,2013-03-31,INR,1399039700000
RBI:CGL_RN(1.0),N_A,AFY,2013,2012,TL1101,0,2013-03-31,INR,29843085500000
RBI:CGL_RN(1.0),N_A,AFY,2013,2012,TL12,0,2013-03-31,INR,7314089900000
RBI:CGL_RN(1.0),N_A,AFY,2012,2011,TL14,0,2012-03-31,INR,1338765300000
RBI:CGL_RN(1.0),N_A,AFY,2012,2011,TL1102,0,2012-03-31,INR,1246557000000
RBI:CGL_RN(1.0),N_A,AFY,2012,2011,TL2,0,2012-03-31,INR,3228900000000
RBI:CGL_RN(1.0),N_A,AFY,2012,2011,TL1,0,2012-03-31,INR,43471640000000
RBI:CGL_RN(1.0),N_A,AFY,2012,2011,TL1104,0,2012-03-31,INR,4466351000000
RBI:CGL_RN(1.0),N_A,AFY,2012,2011,TL1103,0,2012-03-31,INR,1423787000000
RBI:CGL_RN(1.0),N_A,AFY,2012,2011,TL11,0,2012-03-31,INR,32306220000000
RBI:CGL_RN(1.0),N_A,AFY,2012,2011,TL13,0,2012-03-31,INR,2779035700000
RBI:CGL_RN(1.0),N_A,AFY,2012,2011,TL1101,0,2012-03-31,INR,25169525000000
RBI:CGL_RN(1.0),N_A,AFY,2012,2011,TL12,0,2012-03-31,INR,7047620200000
