DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SECTOR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2009,2008,SEC2,0,2009-03-31,INR,660790000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2009,2008,SEC5,0,2009-03-31,INR,302600000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2009,2008,SEC7,0,2009-03-31,INR,0.0
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2009,2008,SEC3,0,2009-03-31,INR,411640000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2009,2008,SEC9,0,2009-03-31,INR,2522650000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2009,2008,SEC8,0,2009-03-31,INR,0.0
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2009,2008,SEC1,0,2009-03-31,INR,271170000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2009,2008,TTL,0,2009-03-31,INR,6281610000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2008,2007,SEC1,0,2008-03-31,INR,200830000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2008,2007,TTL,0,2008-03-31,INR,4750120000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2008,2007,SEC8,0,2008-03-31,INR,0.0
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2008,2007,SEC5,0,2008-03-31,INR,195010000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2008,2007,SEC6,0,2008-03-31,INR,837430000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2008,2007,SEC9,0,2008-03-31,INR,1878170000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2008,2007,SEC3,0,2008-03-31,INR,382750000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2008,2007,SEC4,0,2008-03-31,INR,846770000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2008,2007,SEC7,0,2008-03-31,INR,0.0
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2008,2007,SEC2,0,2008-03-31,INR,409160000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2007,2006,SEC9,0,2007-03-31,INR,1334650000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2007,2006,SEC7,0,2007-03-31,INR,0.0
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2007,2006,TTL,0,2007-03-31,INR,3099120000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2007,2006,SEC2,0,2007-03-31,INR,357570000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2007,2006,SEC4,0,2007-03-31,INR,294500000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2007,2006,SEC6,0,2007-03-31,INR,525200000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2007,2006,SEC1,0,2007-03-31,INR,165730000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2007,2006,SEC5,0,2007-03-31,INR,103440000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2007,2006,SEC8,0,2007-03-31,INR,0.0
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2007,2006,SEC3,0,2007-03-31,INR,318030000000
