DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_CGRECPT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,CGR25,0,2023-03-31,INR,261611500000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,CGR11012,0,2023-03-31,INR,5230022000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,CGR21,0,2023-03-31,INR,11082595300000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,CGR1201,0,2022-03-31,INR,218740000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,CGR27,0,2022-03-31,INR,361470000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,CGR26,0,2022-03-31,INR,136270000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,CGR11,0,2022-03-31,INR,18047930000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,CGR1101,0,2022-03-31,INR,8653857700000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,CGR1,0,2022-03-31,INR,21699050000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,OTH,0,2022-03-31,INR,4168864300000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,CGR22,0,2022-03-31,INR,5512690000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,CGR25,0,2022-03-31,INR,247370000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,OTHR,0,2022-03-31,INR,2811590000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,CGR1102,0,2022-03-31,INR,9394072300000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,CGR12,0,2022-03-31,INR,3651120000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,CGR11012,0,2022-03-31,INR,4381427600000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,CGR21,0,2022-03-31,INR,7040970000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,OTHE,0,2022-03-31,INR,3432380000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,CGR11022,0,2022-03-31,INR,1442763200000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,CGR2,0,2022-03-31,INR,16213530000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,CGR23,0,2022-03-31,INR,103170000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,TTL_RECEIPTS,0,2022-03-31,INR,37912575800000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,CGR11021,0,2022-03-31,INR,3782444800000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2022,2021,CGR11011,0,2022-03-31,INR,4272276000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,OTHR,0,2021-03-31,INR,2201452400000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,CGR1,0,2021-03-31,INR,16339200800000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,CGR26,0,2021-03-31,INR,378970000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,CGR1201,0,2021-03-31,INR,171134100000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,CGR12,0,2021-03-31,INR,2076330000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,CGR2,0,2021-03-31,INR,18831048700000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,CGR22,0,2021-03-31,INR,4837325300000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,CGR21,0,2021-03-31,INR,10329074200000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,OTHE,0,2021-03-31,INR,1905195900000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,CGR1101,0,2021-03-31,INR,5832102100000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,OTH,0,2021-03-31,INR,3863241800000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,CGR11022,0,2021-03-31,INR,910704300000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,CGR25,0,2021-03-31,INR,197290000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,CGR11021,0,2021-03-31,INR,3656822600000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,CGR11012,0,2021-03-31,INR,2835074200000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,CGR1102,0,2021-03-31,INR,8430768700000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,CGR11,0,2021-03-31,INR,14262870800000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,CGR27,0,2021-03-31,INR,701800800000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,CGR11011,0,2021-03-31,INR,2996891700000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,TTL_RECEIPTS,0,2021-03-31,INR,35170249500000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2021,2020,CGR23,0,2021-03-31,INR,185136000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,CGR2,0,2020-03-31,INR,9973005300000
