DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_CGEXP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_EXP_RN(1.0),N_A,AFY,2010,2009,CE2104,0,2010-03-31,INR,4666960000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2010,2009,CE220201,0,2010-03-31,INR,511120000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2010,2009,CE22,0,2010-03-31,INR,1126780000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2010,2009,CE2201,0,2010-03-31,INR,156470000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2010,2009,CE220202,0,2010-03-31,INR,459190000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2010,2009,CE21,0,2010-03-31,INR,9118090000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2010,2009,CE2103,0,2010-03-31,INR,1413510000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2010,2009,CE2102,0,2010-03-31,INR,2130930000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2010,2009,CE2,0,2010-03-31,INR,10244870000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2009,2008,CE2202,0,2009-03-31,INR,760510000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2009,2008,CE2101,0,2009-03-31,INR,733050000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2009,2008,CE2,0,2009-03-31,INR,8839560000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2009,2008,CE2104,0,2009-03-31,INR,3985810000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2009,2008,CE2103,0,2009-03-31,INR,1297080000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2009,2008,CE21,0,2009-03-31,INR,7937980000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2009,2008,CE220201,0,2009-03-31,INR,409180000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2009,2008,CE22,0,2009-03-31,INR,901580000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2009,2008,CE2201,0,2009-03-31,INR,141070000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2009,2008,CE2102,0,2009-03-31,INR,1922040000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2009,2008,CE220202,0,2009-03-31,INR,351330000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2008,2007,CE2102,0,2008-03-31,INR,1710300000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2008,2007,CE2202,0,2008-03-31,INR,1069400000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2008,2007,CE2201,0,2008-03-31,INR,112980000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2008,2007,CE2104,0,2008-03-31,INR,2982580000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2008,2007,CE21,0,2008-03-31,INR,5944330000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2008,2007,CE2101,0,2008-03-31,INR,542190000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2008,2007,CE22,0,2008-03-31,INR,1182380000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2008,2007,CE2,0,2008-03-31,INR,7126710000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2008,2007,CE2103,0,2008-03-31,INR,709260000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2008,2007,CE220202,0,2008-03-31,INR,694780000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2008,2007,CE220201,0,2008-03-31,INR,374620000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2007,2006,CE2101,0,2007-03-31,INR,516820000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2007,2006,CE2,0,2007-03-31,INR,5833870000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2007,2006,CE2102,0,2007-03-31,INR,1502720000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2007,2006,CE22,0,2007-03-31,INR,687780000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2007,2006,CE220202,0,2007-03-31,INR,264260000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2007,2006,CE2104,0,2007-03-31,INR,2555300000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2007,2006,CE2202,0,2007-03-31,INR,602540000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2007,2006,CE220201,0,2007-03-31,INR,338280000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2007,2006,CE21,0,2007-03-31,INR,5146090000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2007,2006,CE2201,0,2007-03-31,INR,85240000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2007,2006,CE2103,0,2007-03-31,INR,571250000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2006,2005,CE22,0,2006-03-31,INR,663620000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2006,2005,CE220202,0,2006-03-31,INR,226870000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2006,2005,CE2104,0,2006-03-31,INR,2110130000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2006,2005,CE2102,0,2006-03-31,INR,1326300000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2006,2005,CE220201,0,2006-03-31,INR,323380000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2006,2005,CE2,0,2006-03-31,INR,5057380000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2006,2005,CE2101,0,2006-03-31,INR,482110000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2006,2005,CE2103,0,2006-03-31,INR,475220000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2006,2005,CE21,0,2006-03-31,INR,4393760000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2006,2005,CE2202,0,2006-03-31,INR,550250000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2006,2005,CE2201,0,2006-03-31,INR,113370000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2005,2004,CE2201,0,2005-03-31,INR,289100000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2005,2004,CE2,0,2005-03-31,INR,4655770000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2005,2004,CE2101,0,2005-03-31,INR,438620000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2005,2004,CE220202,0,2005-03-31,INR,203440000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2005,2004,CE2104,0,2005-03-31,INR,1675760000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2005,2004,CE21,0,2005-03-31,INR,3843290000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2005,2004,CE22,0,2005-03-31,INR,812480000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2005,2004,CE2103,0,2005-03-31,INR,459570000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2005,2004,CE2102,0,2005-03-31,INR,1269340000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2005,2004,CE2202,0,2005-03-31,INR,523380000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2005,2004,CE220201,0,2005-03-31,INR,319940000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2004,2003,CE2201,0,2004-03-31,INR,287680000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2004,2003,CE2102,0,2004-03-31,INR,1240880000000
