DATAFLOW,AUDST,CGB_GFD_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,1996,1995,0,1996-03-31,INR,98070000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,1996,1995,0,1996-03-31,INR,3180000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,1996,1995,0,1996-03-31,INR,602430000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,1996,1995,0,1996-03-31,INR,161170000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,1995,1994,0,1995-03-31,INR,541210000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,1995,1994,0,1995-03-31,INR,577030000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,1995,1994,0,1995-03-31,INR,203260000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,1995,1994,0,1995-03-31,INR,328340000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,1995,1994,0,1995-03-31,INR,35820000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,1995,1994,0,1995-03-31,INR,9610000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,1994,1993,0,1994-03-31,INR,152950000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,1994,1993,0,1994-03-31,INR,50740000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,1994,1993,0,1994-03-31,INR,602570000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,1994,1993,0,1994-03-31,INR,551830000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,1994,1993,0,1994-03-31,INR,109600000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,1994,1993,0,1994-03-31,INR,289280000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,1993,1992,0,1993-03-31,INR,123120000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,1993,1992,0,1993-03-31,INR,348540000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,1993,1992,0,1993-03-31,INR,36760000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,1993,1992,0,1993-03-31,INR,188660000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,1993,1992,0,1993-03-31,INR,401730000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,1993,1992,0,1993-03-31,INR,53190000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,1992,1991,0,1992-03-31,INR,75100000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,1992,1991,0,1992-03-31,INR,165390000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,1992,1991,0,1992-03-31,INR,363250000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,1992,1991,0,1992-03-31,INR,309040000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,1992,1991,0,1992-03-31,INR,68550000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,1992,1991,0,1992-03-31,INR,54210000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,1991,1990,0,1991-03-31,INR,221030000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,1991,1990,0,1991-03-31,INR,80010000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,1991,1990,0,1991-03-31,INR,446320000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,1991,1990,0,1991-03-31,INR,31810000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,1991,1990,0,1991-03-31,INR,414510000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,1991,1990,0,1991-03-31,INR,113470000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,1990,1989,0,1990-03-31,INR,150410000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,1990,1989,0,1990-03-31,INR,330370000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,1990,1989,0,1990-03-31,INR,105920000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,1990,1989,0,1990-03-31,INR,25950000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,1990,1989,0,1990-03-31,INR,356320000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,1990,1989,0,1990-03-31,INR,74040000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,1989,1988,0,1989-03-31,INR,84180000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,1989,1988,0,1989-03-31,INR,309230000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,1989,1988,0,1989-03-31,INR,24600000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,1989,1988,0,1989-03-31,INR,284630000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,1989,1988,0,1989-03-31,INR,56420000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,1989,1988,0,1989-03-31,INR,144030000000
