DATAFLOW,AUDST,FREQ,INDICRS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN101,1995,1994,0,1995-03-31,RO,6.45
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN102,1995,1994,0,1995-03-31,RO,2.26
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN11,1995,1994,0,1995-03-31,RO,6.57
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12,1995,1994,0,1995-03-31,RO,15.37
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN1201,1995,1994,0,1995-03-31,RO,11.68
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12011,1995,1994,0,1995-03-31,RO,4.21
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12012,1995,1994,0,1995-03-31,RO,1.13
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN1202,1995,1994,0,1995-03-31,RO,3.69
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12021,1995,1994,0,1995-03-31,RO,1.42
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN13,1995,1994,0,1995-03-31,RO,2.22
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN01,1996,1995,0,1996-03-31,RO,4.91
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN02,1996,1995,0,1996-03-31,RO,3.46
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN03,1996,1995,0,1996-03-31,RO,0.83
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN04,1996,1995,0,1996-03-31,RO,0.88
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN05,1996,1995,0,1996-03-31,RO,2.42
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN06,1996,1995,0,1996-03-31,RO,-1.66
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN07,1996,1995,0,1996-03-31,RO,0.8
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN08,1996,1995,0,1996-03-31,RO,1.62
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN09,1996,1995,0,1996-03-31,RO,9.07
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN091,1996,1995,0,1996-03-31,RO,2.74
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN092,1996,1995,0,1996-03-31,RO,6.33
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN10,1996,1995,0,1996-03-31,RO,8.98
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN101,1996,1995,0,1996-03-31,RO,6.68
