DATAFLOW,AUDST,COMP_COUNT,FREQ,GRWT_RT_RATIOS_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,SALE_SZ_CLS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,344,AFY,GRP_INV_NET_PHY_AST,PREV_YR,2012,2011,FIV_HUN_TO_1000_CR,0,2012-03-31,PT,11.1
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,871,AFY,GRP_INV_NET_PHY_AST,PREV_YR,2012,2011,HUN_TO_500_CR,0,2012-03-31,PT,7.3
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,668,AFY,GRP_INV_NET_PHY_AST,PREV_YR,2012,2011,LESS_THN_25_CR,0,2012-03-31,PT,2.4
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,470,AFY,GRP_INV_NET_PHY_AST,PREV_YR,2012,2011,THOU_CR_N_ABV,0,2012-03-31,PT,17.5
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,298,AFY,GRP_MNF_EXP,CURR_YR,2012,2011,25_CR_TO_50_CR,0,2012-03-31,PT,-6.2
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,390,AFY,GRP_MNF_EXP,CURR_YR,2012,2011,50_CR_TO_100_CR,0,2012-03-31,PT,-6.0
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,344,AFY,GRP_MNF_EXP,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,0,2012-03-31,PT,14.2
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,871,AFY,GRP_MNF_EXP,CURR_YR,2012,2011,HUN_TO_500_CR,0,2012-03-31,PT,11.1
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,668,AFY,GRP_MNF_EXP,CURR_YR,2012,2011,LESS_THN_25_CR,0,2012-03-31,PT,-31.4
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,470,AFY,GRP_MNF_EXP,CURR_YR,2012,2011,THOU_CR_N_ABV,0,2012-03-31,PT,21.7
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,298,AFY,GRP_MNF_EXP,PREV_YR,2012,2011,25_CR_TO_50_CR,0,2012-03-31,PT,9.9
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,390,AFY,GRP_MNF_EXP,PREV_YR,2012,2011,50_CR_TO_100_CR,0,2012-03-31,PT,16.6
