DATAFLOW,AUDST,COMP_COUNT,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,SALE_SZ_CLS_RN,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,LR_SC_TO_CA,0,2012-03-31,PT,13.4
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,LR_SC_TO_NWC,0,2012-03-31,PT,26.8
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,PPAR_DIV_NW,0,2012-03-31,PT,1.0
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,PPAR_EBD_SAL,0,2012-03-31,PT,5.9
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,PPAR_GP_SAL,0,2012-03-31,PT,5.8
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,PPAR_GP_TNA,0,2012-03-31,PT,2.3
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,PPAR_OD_TO_OPC,0,2012-03-31,PT,2.7
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,PPAR_PAT_TNW,0,2012-03-31,PT,0.5
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,PPAR_PR_PAT,0,2012-03-31,PT,83.9
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,PPAR_TP_PBT,0,2012-03-31,PT,23.5
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,SUFR_ESF_TSF,0,2012-03-31,PT,85.7
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,SUFR_GCF_TUF,0,2012-03-31,PT,25.2
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,SUFR_GFAF_TUF,0,2012-03-31,PT,20.5
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,SUFR_GS_GCF,0,2012-03-31,PT,78.4
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,SUFR_IBB_TES,0,2012-03-31,PT,0.9
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,AUTR_EXP_SAL,0,2012-03-31,PT,14.4
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,AUTR_GVA_GFA,0,2012-03-31,PT,34.5
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,AUTR_INV_SAL,0,2012-03-31,PT,24.4
