DATAFLOW,AUDST,COMP_COUNT,FREQ,GRWT_RT_RATIOS_RN,PUC_SZ_GRP_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,65,AFY,GRP_EBIT,LESS_THN_1CR,CURR_YR,2012,2011,0,2012-03-31,PT,-3.9
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,65,AFY,GRP_EBIT,LESS_THN_1CR,PREV_YR,2012,2011,0,2012-03-31,PT,23.3
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_EBITDA,100CR_N_ABOVE,CURR_YR,2012,2011,0,2012-03-31,PT,-6.4
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_EBITDA,100CR_N_ABOVE,PREV_YR,2012,2011,0,2012-03-31,PT,16.3
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_EBITDA,10CR_TO_25CR,CURR_YR,2012,2011,0,2012-03-31,PT,-0.3
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_EBITDA,10CR_TO_25CR,PREV_YR,2012,2011,0,2012-03-31,PT,10.0
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,120,AFY,GRP_EBITDA,1CR_TO_2CR,CURR_YR,2012,2011,0,2012-03-31,PT,-22.2
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,120,AFY,GRP_EBITDA,1CR_TO_2CR,PREV_YR,2012,2011,0,2012-03-31,PT,62.5
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,393,AFY,GRP_EBITDA,25CR_TO_50CR,CURR_YR,2012,2011,0,2012-03-31,PT,-1.8
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,393,AFY,GRP_EBITDA,25CR_TO_50CR,PREV_YR,2012,2011,0,2012-03-31,PT,5.3
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,486,AFY,GRP_EBITDA,2CR_TO_5CR,CURR_YR,2012,2011,0,2012-03-31,PT,7.7
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,486,AFY,GRP_EBITDA,2CR_TO_5CR,PREV_YR,2012,2011,0,2012-03-31,PT,10.6
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,238,AFY,GRP_EBITDA,50CR_TO_100CR,CURR_YR,2012,2011,0,2012-03-31,PT,-20.8
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,238,AFY,GRP_EBITDA,50CR_TO_100CR,PREV_YR,2012,2011,0,2012-03-31,PT,26.0
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,599,AFY,GRP_EBITDA,5CR_TO_10CR,CURR_YR,2012,2011,0,2012-03-31,PT,-10.9
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,599,AFY,GRP_EBITDA,5CR_TO_10CR,PREV_YR,2012,2011,0,2012-03-31,PT,16.8
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,65,AFY,GRP_EBITDA,LESS_THN_1CR,PREV_YR,2012,2011,0,2012-03-31,PT,-332.4
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_GFA,100CR_N_ABOVE,CURR_YR,2012,2011,0,2012-03-31,PT,8.9
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_GFA,100CR_N_ABOVE,PREV_YR,2012,2011,0,2012-03-31,PT,15.0
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_GFA,10CR_TO_25CR,CURR_YR,2012,2011,0,2012-03-31,PT,13.9
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_GFA,10CR_TO_25CR,PREV_YR,2012,2011,0,2012-03-31,PT,10.1
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,120,AFY,GRP_GFA,1CR_TO_2CR,CURR_YR,2012,2011,0,2012-03-31,PT,21.4
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,120,AFY,GRP_GFA,1CR_TO_2CR,PREV_YR,2012,2011,0,2012-03-31,PT,18.1
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,393,AFY,GRP_GFA,25CR_TO_50CR,CURR_YR,2012,2011,0,2012-03-31,PT,12.2
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,393,AFY,GRP_GFA,25CR_TO_50CR,PREV_YR,2012,2011,0,2012-03-31,PT,11.8
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,486,AFY,GRP_GFA,2CR_TO_5CR,CURR_YR,2012,2011,0,2012-03-31,PT,11.9
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,486,AFY,GRP_GFA,2CR_TO_5CR,PREV_YR,2012,2011,0,2012-03-31,PT,12.7
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,238,AFY,GRP_GFA,50CR_TO_100CR,CURR_YR,2012,2011,0,2012-03-31,PT,15.8
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,238,AFY,GRP_GFA,50CR_TO_100CR,PREV_YR,2012,2011,0,2012-03-31,PT,11.6
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,599,AFY,GRP_GFA,5CR_TO_10CR,CURR_YR,2012,2011,0,2012-03-31,PT,10.5
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,599,AFY,GRP_GFA,5CR_TO_10CR,PREV_YR,2012,2011,0,2012-03-31,PT,10.0
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,65,AFY,GRP_GFA,LESS_THN_1CR,CURR_YR,2012,2011,0,2012-03-31,PT,11.5
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,65,AFY,GRP_GFA,LESS_THN_1CR,PREV_YR,2012,2011,0,2012-03-31,PT,10.9
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_GRS_SAV,100CR_N_ABOVE,CURR_YR,2012,2011,0,2012-03-31,PT,-4.5
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_GRS_SAV,100CR_N_ABOVE,PREV_YR,2012,2011,0,2012-03-31,PT,15.0
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_GRS_SAV,10CR_TO_25CR,CURR_YR,2012,2011,0,2012-03-31,PT,-5.6
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_GRS_SAV,10CR_TO_25CR,PREV_YR,2012,2011,0,2012-03-31,PT,9.8
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,120,AFY,GRP_GRS_SAV,1CR_TO_2CR,CURR_YR,2012,2011,0,2012-03-31,PT,-51.8
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,120,AFY,GRP_GRS_SAV,1CR_TO_2CR,PREV_YR,2012,2011,0,2012-03-31,PT,35.7
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,393,AFY,GRP_GRS_SAV,25CR_TO_50CR,CURR_YR,2012,2011,0,2012-03-31,PT,0.9
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,393,AFY,GRP_GRS_SAV,25CR_TO_50CR,PREV_YR,2012,2011,0,2012-03-31,PT,1.9
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,486,AFY,GRP_GRS_SAV,2CR_TO_5CR,CURR_YR,2012,2011,0,2012-03-31,PT,-15.5
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,486,AFY,GRP_GRS_SAV,2CR_TO_5CR,PREV_YR,2012,2011,0,2012-03-31,PT,20.6
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,238,AFY,GRP_GRS_SAV,50CR_TO_100CR,CURR_YR,2012,2011,0,2012-03-31,PT,-11.0
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,238,AFY,GRP_GRS_SAV,50CR_TO_100CR,PREV_YR,2012,2011,0,2012-03-31,PT,2.8
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,599,AFY,GRP_GRS_SAV,5CR_TO_10CR,CURR_YR,2012,2011,0,2012-03-31,PT,-1.3
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,599,AFY,GRP_GRS_SAV,5CR_TO_10CR,PREV_YR,2012,2011,0,2012-03-31,PT,18.9
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,65,AFY,GRP_GRS_SAV,LESS_THN_1CR,CURR_YR,2012,2011,0,2012-03-31,PT,-13.2
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,65,AFY,GRP_GRS_SAV,LESS_THN_1CR,PREV_YR,2012,2011,0,2012-03-31,PT,17.7
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_GVA,100CR_N_ABOVE,CURR_YR,2012,2011,0,2012-03-31,PT,7.8
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_GVA,100CR_N_ABOVE,PREV_YR,2012,2011,0,2012-03-31,PT,16.1
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_GVA,10CR_TO_25CR,CURR_YR,2012,2011,0,2012-03-31,PT,5.4
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_GVA,10CR_TO_25CR,PREV_YR,2012,2011,0,2012-03-31,PT,13.6
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,120,AFY,GRP_GVA,1CR_TO_2CR,CURR_YR,2012,2011,0,2012-03-31,PT,-2.8
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,120,AFY,GRP_GVA,1CR_TO_2CR,PREV_YR,2012,2011,0,2012-03-31,PT,47.4
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,393,AFY,GRP_GVA,25CR_TO_50CR,CURR_YR,2012,2011,0,2012-03-31,PT,5.2
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,393,AFY,GRP_GVA,25CR_TO_50CR,PREV_YR,2012,2011,0,2012-03-31,PT,13.1
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,486,AFY,GRP_GVA,2CR_TO_5CR,CURR_YR,2012,2011,0,2012-03-31,PT,1.0
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,486,AFY,GRP_GVA,2CR_TO_5CR,PREV_YR,2012,2011,0,2012-03-31,PT,18.3
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,238,AFY,GRP_GVA,50CR_TO_100CR,CURR_YR,2012,2011,0,2012-03-31,PT,2.8
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,238,AFY,GRP_GVA,50CR_TO_100CR,PREV_YR,2012,2011,0,2012-03-31,PT,16.4
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,599,AFY,GRP_GVA,5CR_TO_10CR,CURR_YR,2012,2011,0,2012-03-31,PT,3.1
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,599,AFY,GRP_GVA,5CR_TO_10CR,PREV_YR,2012,2011,0,2012-03-31,PT,11.4
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,65,AFY,GRP_GVA,LESS_THN_1CR,CURR_YR,2012,2011,0,2012-03-31,PT,-28.3
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,65,AFY,GRP_GVA,LESS_THN_1CR,PREV_YR,2012,2011,0,2012-03-31,PT,-0.5
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_INT_EXP,100CR_N_ABOVE,CURR_YR,2012,2011,0,2012-03-31,PT,23.1
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_INT_EXP,100CR_N_ABOVE,PREV_YR,2012,2011,0,2012-03-31,PT,26.4
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_INT_EXP,10CR_TO_25CR,CURR_YR,2012,2011,0,2012-03-31,PT,31.5
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_INT_EXP,10CR_TO_25CR,PREV_YR,2012,2011,0,2012-03-31,PT,11.2
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,120,AFY,GRP_INT_EXP,1CR_TO_2CR,CURR_YR,2012,2011,0,2012-03-31,PT,40.7
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,120,AFY,GRP_INT_EXP,1CR_TO_2CR,PREV_YR,2012,2011,0,2012-03-31,PT,2.8
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,393,AFY,GRP_INT_EXP,25CR_TO_50CR,CURR_YR,2012,2011,0,2012-03-31,PT,33.6
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,393,AFY,GRP_INT_EXP,25CR_TO_50CR,PREV_YR,2012,2011,0,2012-03-31,PT,24.9
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,486,AFY,GRP_INT_EXP,2CR_TO_5CR,CURR_YR,2012,2011,0,2012-03-31,PT,33.0
