DATAFLOW,ASET_ITEMS_RN,AUDST,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_ASSET_A_RN(1.0),AI02,N_A,AFY,2016,2015,0,2016-03-31,INR,15703300000000
RBI:RBI_ASSET_A_RN(1.0),AI072,N_A,AFY,2016,2015,0,2016-03-31,INR,4750000000
RBI:RBI_ASSET_A_RN(1.0),A2,N_A,AFY,2016,2015,0,2016-03-31,INR,16415714300000
RBI:RBI_ASSET_A_RN(1.0),AI071,N_A,AFY,2016,2015,0,2016-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI07,N_A,AFY,2016,2015,0,2016-03-31,INR,3446620000000
RBI:RBI_ASSET_A_RN(1.0),AI076,N_A,AFY,2016,2015,0,2016-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI05,N_A,AFY,2016,2015,0,2016-03-31,INR,130000000
RBI:RBI_ASSET_A_RN(1.0),AI08,N_A,AFY,2016,2015,0,2016-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI1101,N_A,AFY,2016,2015,0,2016-03-31,INR,635100000000
RBI:RBI_ASSET_A_RN(1.0),AI081,N_A,AFY,2015,2014,0,2015-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI04,N_A,AFY,2015,2014,0,2015-03-31,INR,10464300000
RBI:RBI_ASSET_A_RN(1.0),AI076,N_A,AFY,2015,2014,0,2015-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),A2,N_A,AFY,2015,2014,0,2015-03-31,INR,14288939300000
RBI:RBI_ASSET_A_RN(1.0),AI05,N_A,AFY,2015,2014,0,2015-03-31,INR,105700000
RBI:RBI_ASSET_A_RN(1.0),AI10,N_A,AFY,2015,2014,0,2015-03-31,INR,5258899399999.999
RBI:RBI_ASSET_A_RN(1.0),AI082,N_A,AFY,2015,2014,0,2015-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI078,N_A,AFY,2015,2014,0,2015-03-31,INR,135467300000
RBI:RBI_ASSET_A_RN(1.0),AI02,N_A,AFY,2015,2014,0,2015-03-31,INR,13651910000000
RBI:RBI_ASSET_A_RN(1.0),AI01,N_A,AFY,2015,2014,0,2015-03-31,INR,624403900000
RBI:RBI_ASSET_A_RN(1.0),AI06,N_A,AFY,2015,2014,0,2015-03-31,INR,6429509300000.001
RBI:RBI_ASSET_A_RN(1.0),AI072,N_A,AFY,2015,2014,0,2015-03-31,INR,49000000000
RBI:RBI_ASSET_A_RN(1.0),AI07,N_A,AFY,2015,2014,0,2015-03-31,INR,2381107300000
RBI:RBI_ASSET_A_RN(1.0),A1,N_A,AFY,2015,2014,0,2015-03-31,INR,14770461700000
