DATAFLOW,AUDST,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,SOR_CSUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1202,0,2001-06-29,INR,880000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1203,0,2001-06-29,INR,291280000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1204,0,2001-06-29,INR,1111410000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR2,0,2001-06-29,INR,-309770000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR21,0,2001-06-29,INR,575320000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR22,0,2001-06-29,INR,869320000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR23,0,2001-06-29,INR,15770000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR3,0,2001-06-29,INR,776100000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR31,0,2001-06-29,INR,743260000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR32,0,2001-06-29,INR,69000000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR33,0,2001-06-29,INR,36160000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR4,0,2001-06-29,INR,679160000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR5,0,2001-06-29,INR,706540000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR51,0,2001-06-29,INR,918360000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR52,0,2001-06-29,INR,129880000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1,0,2001-07-27,INR,10389050000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR11,0,2001-07-27,INR,3774810000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR12,0,2001-07-27,INR,6614240000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1201,0,2001-07-27,INR,5241040000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR12011,0,2001-07-27,INR,4730770000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR12012,0,2001-07-27,INR,510270000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1202,0,2001-07-27,INR,570000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1203,0,2001-07-27,INR,292610000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1204,0,2001-07-27,INR,1080020000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR2,0,2001-07-27,INR,-327100000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR21,0,2001-07-27,INR,559210000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR22,0,2001-07-27,INR,874330000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR23,0,2001-07-27,INR,11970000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR3,0,2001-07-27,INR,712020000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR31,0,2001-07-27,INR,712200000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR32,0,2001-07-27,INR,64220000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR33,0,2001-07-27,INR,64410000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR4,0,2001-07-27,INR,684910000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR5,0,2001-07-27,INR,712270000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR51,0,2001-07-27,INR,919530000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR52,0,2001-07-27,INR,124890000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1,0,2001-08-24,INR,10447890000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR11,0,2001-08-24,INR,3772290000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR12,0,2001-08-24,INR,6675590000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1201,0,2001-08-24,INR,5276080000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR12011,0,2001-08-24,INR,4769710000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR12012,0,2001-08-24,INR,506370000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1202,0,2001-08-24,INR,5170000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1203,0,2001-08-24,INR,291250000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1204,0,2001-08-24,INR,1103090000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR2,0,2001-08-24,INR,-322690000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR21,0,2001-08-24,INR,567830000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR22,0,2001-08-24,INR,879840000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR23,0,2001-08-24,INR,10680000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR3,0,2001-08-24,INR,753070000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR31,0,2001-08-24,INR,722970000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR32,0,2001-08-24,INR,64580000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR33,0,2001-08-24,INR,34480000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR4,0,2001-08-24,INR,701380000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR5,0,2001-08-24,INR,727350000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR51,0,2001-08-24,INR,926340000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR52,0,2001-08-24,INR,57100000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1,0,2001-09-21,INR,10563250000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR11,0,2001-09-21,INR,3853360000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR12,0,2001-09-21,INR,6709890000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1201,0,2001-09-21,INR,5299860000000
