DATAFLOW,AUDST,COM_CSUR_RN,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2002,2001,0,2001-10-19,INR,3696950000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2002,2001,0,2001-10-19,INR,7660000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2002,2001,0,2001-10-19,INR,4518500000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2002,2001,0,2001-10-19,INR,4518500000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2002,2001,0,2001-10-19,INR,21640000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2002,2001,0,2001-11-30,INR,9730610000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2002,2001,0,2001-11-30,INR,1436070000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2002,2001,0,2001-11-30,INR,8294540000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2002,2001,0,2001-11-30,INR,3732540000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2002,2001,0,2001-11-30,INR,8720000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2002,2001,0,2001-11-30,INR,4562000000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2002,2001,0,2001-11-30,INR,4562000000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2002,2001,0,2001-11-30,INR,18810000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2002,2001,0,2001-12-28,INR,9803880000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2002,2001,0,2001-12-28,INR,1486360000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2002,2001,0,2001-12-28,INR,8317520000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2002,2001,0,2001-12-28,INR,3742880000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2002,2001,0,2001-12-28,INR,8310000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2002,2001,0,2001-12-28,INR,4574640000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2002,2001,0,2001-12-28,INR,4574640000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2002,2001,0,2001-12-28,INR,44990000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2002,2001,0,2002-01-25,INR,9862430000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2002,2001,0,2002-01-25,INR,1414510000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2002,2001,0,2002-01-25,INR,8447920000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2002,2001,0,2002-01-25,INR,3801570000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2002,2001,0,2002-01-25,INR,10060000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2002,2001,0,2002-01-25,INR,4646350000000
