DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SOR_RBI_SUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11014,0,2025-03-31,INR,3288300000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11,0,2025-03-31,INR,15081054200000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI4,0,2025-03-31,INR,18751135300000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1302,0,2025-03-31,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11011,0,2025-02-28,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11015,0,2025-02-28,INR,2282429800000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI121,0,2025-02-28,INR,1660480000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1301,0,2025-02-28,INR,90957099999.99998
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1,0,2025-02-28,INR,13880311500000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI13,0,2025-02-28,INR,285933100000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI3,0,2025-02-28,INR,53966304770000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI31,0,2025-02-28,INR,6466675000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI12,0,2025-02-28,INR,1660480000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI32,0,2025-02-28,INR,47499604900000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI110131,0,2025-02-28,INR,13992507800000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI5,0,2025-02-28,INR,1583935108000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI2,0,2025-02-28,INR,360169706000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11012,0,2025-02-28,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1302,0,2025-02-28,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1102,0,2025-02-28,INR,220690600000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI4,0,2025-02-28,INR,19500565500000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11,0,2025-02-28,INR,11933898400000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1101,0,2025-02-28,INR,11713207800000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11014,0,2025-02-28,INR,3129800000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11013,0,2025-02-28,INR,13992507800000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI32,0,2025-01-31,INR,46716401300000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1102,0,2025-01-31,INR,204523300000.00003
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11013,0,2025-01-31,INR,12884140900000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1,0,2025-01-31,INR,13319782800000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1301,0,2025-01-31,INR,95564800000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI13,0,2025-01-31,INR,227600800000.00003
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1101,0,2025-01-31,INR,10274408700000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI2,0,2025-01-31,INR,356828943100.00006
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI5,0,2025-01-31,INR,1165316249000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI110131,0,2025-01-31,INR,12884140900000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11012,0,2025-01-31,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1302,0,2025-01-31,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI3,0,2025-01-31,INR,52720226930000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11011,0,2025-01-31,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI12,0,2025-01-31,INR,2613250000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI31,0,2025-01-31,INR,6003787300000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11015,0,2025-01-31,INR,2613807200000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI4,0,2025-01-31,INR,18704652800000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11,0,2025-01-31,INR,10478932000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI121,0,2025-01-31,INR,2613250000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11014,0,2025-01-31,INR,4075000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI13,0,2024-12-31,INR,105190100000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI12,0,2024-12-31,INR,1827920000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI4,0,2024-12-31,INR,18035830400000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11012,0,2024-12-31,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI3,0,2024-12-31,INR,53243823330000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1302,0,2024-12-31,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11015,0,2024-12-31,INR,2751010000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1101,0,2024-12-31,INR,9790921800000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI32,0,2024-12-31,INR,47575407900000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI2,0,2024-12-31,INR,356828943100
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI5,0,2024-12-31,INR,875937410000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI31,0,2024-12-31,INR,5668432200000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1,0,2024-12-31,INR,11942015200000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1102,0,2024-12-31,INR,217983300000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11,0,2024-12-31,INR,10008905100000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11011,0,2024-12-31,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI110131,0,2024-12-31,INR,12539155400000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI121,0,2024-12-31,INR,1827920000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1301,0,2024-12-31,INR,84594100000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11014,0,2024-12-31,INR,2776400000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11013,0,2024-12-31,INR,12539155400000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI2,0,2024-11-30,INR,354193358400
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI13,0,2024-11-30,INR,104628400000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI12,0,2024-11-30,INR,-580110000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI110131,0,2024-11-30,INR,12706564400000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1102,0,2024-11-30,INR,164226400000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI3,0,2024-11-30,INR,54091588300000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11013,0,2024-11-30,INR,12706564400000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11012,0,2024-11-30,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1301,0,2024-11-30,INR,84282400000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1101,0,2024-11-30,INR,12259228600000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1302,0,2024-11-30,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI5,0,2024-11-30,INR,886999519800
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11,0,2024-11-30,INR,12423455000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI31,0,2024-11-30,INR,5659491200000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1,0,2024-11-30,INR,11947973400000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI4,0,2024-11-30,INR,18127465100000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11011,0,2024-11-30,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI32,0,2024-11-30,INR,48432166000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11015,0,2024-11-30,INR,450639800000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI121,0,2024-11-30,INR,-580110000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11014,0,2024-11-30,INR,3304000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI32,0,2024-10-31,INR,50634412400000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI12,0,2024-10-31,INR,-2158060000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI13,0,2024-10-31,INR,91754700000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11012,0,2024-10-31,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI3,0,2024-10-31,INR,56304696400000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11015,0,2024-10-31,INR,2037100000000
