DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SOUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-08-01,INR,16724894400000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-07-25,INR,380574652700
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-07-25,INR,22358680300000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-07-25,INR,123833600000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-07-25,INR,-2980630000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-07-25,INR,15021500200000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-07-25,INR,58696795030000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-07-18,INR,21931685530000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-07-18,INR,16039647300000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-07-18,INR,-3156660000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-07-18,INR,58232395910000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-07-18,INR,82345500000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-07-18,INR,376516821000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-07-11,INR,58087061390000.01
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-07-11,INR,15863268600000.002
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-07-11,INR,79647600000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-07-11,INR,-3375010000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-07-11,INR,21767836610000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-07-11,INR,376516821000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-07-04,INR,21710548410000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-07-04,INR,82970000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-07-04,INR,58060622090000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-07-04,INR,16731477900000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-07-04,INR,376516821000
