DATAFLOW,AUDST,COMP_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2024-11-29,INR,1029926179000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2024-11-29,INR,47379290440000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2024-11-29,INR,35469694260000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2024-11-29,INR,10879670000000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2024-11-22,INR,10685539800000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2024-11-22,INR,988625889900
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2024-11-22,INR,47246206040000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2024-11-22,INR,35572040350000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2024-11-15,INR,35618629050000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2024-11-15,INR,977706578700
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2024-11-15,INR,10724607200000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2024-11-15,INR,47320942820000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2024-11-08,INR,35668263250000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2024-11-08,INR,10494769500000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2024-11-08,INR,990127789900
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2024-11-08,INR,47153160540000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2024-11-01,INR,997009278700
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2024-11-01,INR,47184145220000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2024-11-01,INR,35624461750000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2024-11-01,INR,10562674200000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2024-10-25,INR,35347803550000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2024-10-25,INR,47387908120000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2024-10-25,INR,11072117900000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2024-10-25,INR,967986678700
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2024-10-18,INR,35183944700000.004
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2024-10-18,INR,10478006300000
