DATAFLOW,AUDST,COMP_RN,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2018,2017,0,2017-04-30,INR,126838766977000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2018,2017,0,2017-04-30,INR,26109255114000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2018,2017,0,2017-04-30,INR,13621927730000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2018,2017,0,2017-04-30,INR,176636155000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2018,2017,0,2017-04-30,INR,12310691229000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2018,2017,0,2017-04-30,INR,699210469000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2018,2017,0,2017-04-30,INR,100729511863000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2018,2017,0,2017-05-31,INR,126717224584000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2018,2017,0,2017-05-31,INR,26219961066000.004
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2018,2017,0,2017-05-31,INR,14133115512000.002
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2018,2017,0,2017-05-31,INR,177746812000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2018,2017,0,2017-05-31,INR,11909098742000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2018,2017,0,2017-05-31,INR,746887295000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2018,2017,0,2017-05-31,INR,100497263518000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2018,2017,0,2017-06-30,INR,127584596122000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2018,2017,0,2017-06-30,INR,27010046447000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2018,2017,0,2017-06-30,INR,14526528168000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2018,2017,0,2017-06-30,INR,201757812000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2018,2017,0,2017-06-30,INR,12281760467000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2018,2017,0,2017-06-30,INR,801041841000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2018,2017,0,2017-06-30,INR,100574549675000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2018,2017,0,2017-07-31,INR,128081038926000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2018,2017,0,2017-07-31,INR,26888381098000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2018,2017,0,2017-07-31,INR,14694935642000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2018,2017,0,2017-07-31,INR,179617812000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2018,2017,0,2017-07-31,INR,12013827644000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2018,2017,0,2017-07-31,INR,784874367000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2018,2017,0,2017-07-31,INR,101192657828000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2018,2017,0,2017-08-31,INR,128826583473000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2018,2017,0,2017-08-31,INR,27276953327000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2018,2017,0,2017-08-31,INR,14896456831000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2018,2017,0,2017-08-31,INR,204838024000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2018,2017,0,2017-08-31,INR,12175658472000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2018,2017,0,2017-08-31,INR,814939173000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2018,2017,0,2017-08-31,INR,101549630146000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2018,2017,0,2017-09-30,INR,131843299472000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2018,2017,0,2017-09-30,INR,28730336438000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2018,2017,0,2017-09-30,INR,14970323270000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2018,2017,0,2017-09-30,INR,256868024000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2018,2017,0,2017-09-30,INR,13503145144000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2018,2017,0,2017-09-30,INR,916997502000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2018,2017,0,2017-09-30,INR,103112963034000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2018,2017,0,2017-10-31,INR,131153163202000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2018,2017,0,2017-10-31,INR,28249105781000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2018,2017,0,2017-10-31,INR,15485586683000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2018,2017,0,2017-10-31,INR,224829024000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2018,2017,0,2017-10-31,INR,12538690074000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2018,2017,0,2017-10-31,INR,861724702000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2018,2017,0,2017-10-31,INR,102904057421000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2018,2017,0,2017-11-30,INR,131473093128000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2018,2017,0,2017-11-30,INR,28310735416000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2018,2017,0,2017-11-30,INR,15815524009000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2018,2017,0,2017-11-30,INR,229233024000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2018,2017,0,2017-11-30,INR,12265978383000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2018,2017,0,2017-11-30,INR,784658065000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2018,2017,0,2017-11-30,INR,103162357712000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2018,2017,0,2017-12-31,INR,132086814467000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2018,2017,0,2017-12-31,INR,28863249196999.996
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2018,2017,0,2017-12-31,INR,16164228603999.998
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2018,2017,0,2017-12-31,INR,228919480000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2018,2017,0,2017-12-31,INR,12470101113000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2018,2017,0,2017-12-31,INR,809409305000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2018,2017,0,2017-12-31,INR,103223565270000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2018,2017,0,2018-01-31,INR,133632336338000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2018,2017,0,2018-01-31,INR,29116846916000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2018,2017,0,2018-01-31,INR,16607415376000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2018,2017,0,2018-01-31,INR,259859480000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2018,2017,0,2018-01-31,INR,12249572060000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2018,2017,0,2018-01-31,INR,725426140000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2018,2017,0,2018-01-31,INR,104515489422000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2018,2017,0,2018-02-28,INR,134789921610000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2018,2017,0,2018-02-28,INR,29682109780000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2018,2017,0,2018-02-28,INR,17071936345000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2018,2017,0,2018-02-28,INR,200948480000.00003
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2018,2017,0,2018-02-28,INR,12409224955000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2018,2017,0,2018-02-28,INR,705468648000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2018,2017,0,2018-02-28,INR,105107811830000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2018,2017,0,2018-03-31,INR,139625865001470.28
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2018,2017,0,2018-03-31,INR,32673313049850.28
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2018,2017,0,2018-03-31,INR,17597123160523.6
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2018,2017,0,2018-03-31,INR,239066479546.68
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2018,2017,0,2018-03-31,INR,14837123409780
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2018,2017,0,2018-03-31,INR,696352966820
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2018,2017,0,2018-03-31,INR,106952551951620
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2019,2018,0,2018-04-30,INR,139816468157000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2019,2018,0,2018-04-30,INR,31778139929000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2019,2018,0,2018-04-30,INR,18248758476000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2019,2018,0,2018-04-30,INR,220106480000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2019,2018,0,2018-04-30,INR,13309274973000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2019,2018,0,2018-04-30,INR,787721848000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2019,2018,0,2018-04-30,INR,108038328228000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2019,2018,0,2018-05-31,INR,139844779864000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2019,2018,0,2018-05-31,INR,31638231879000.004
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2019,2018,0,2018-05-31,INR,18537934469000
