DATAFLOW,AUDST,COM_MSUR_RN,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120201,N_A,F,2011,2010,0,2011-03-31,INR,21580620000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012020101,N_A,F,2011,2010,0,2011-03-31,INR,4320380000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120202,N_A,F,2011,2010,0,2011-03-31,INR,26376320000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11013,N_A,F,2011,2010,0,2011-03-31,INR,36530000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11014,N_A,F,2011,2010,0,2011-03-31,INR,1313410000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1,N_A,F,2012,2011,0,2011-07-15,INR,68377950000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11,N_A,F,2012,2011,0,2011-07-15,INR,38778380000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101,N_A,F,2012,2011,0,2011-07-15,INR,15771110000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11011,N_A,F,2012,2011,0,2011-07-15,INR,9517540000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012,N_A,F,2012,2011,0,2011-07-15,INR,57368940000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101201,N_A,F,2012,2011,0,2011-07-15,INR,6241660000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101202,N_A,F,2012,2011,0,2011-07-15,INR,51127270000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120201,N_A,F,2012,2011,0,2011-07-15,INR,23007270000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012020101,N_A,F,2012,2011,0,2011-07-15,INR,4112790000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120202,N_A,F,2012,2011,0,2011-07-15,INR,28120000000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11013,N_A,F,2012,2011,0,2011-07-15,INR,11900000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11014,N_A,F,2012,2011,0,2011-07-15,INR,1479560000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1,N_A,F,2012,2011,0,2012-03-31,INR,75138470000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11,N_A,F,2012,2011,0,2012-03-31,INR,42438940000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101,N_A,F,2012,2011,0,2012-03-31,INR,17373940000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11011,N_A,F,2012,2011,0,2012-03-31,INR,10236700000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012,N_A,F,2012,2011,0,2012-03-31,INR,62809020000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101201,N_A,F,2012,2011,0,2012-03-31,INR,7109020000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101202,N_A,F,2012,2011,0,2012-03-31,INR,55700000000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120201,N_A,F,2012,2011,0,2012-03-31,INR,25065000000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012020101,N_A,F,2012,2011,0,2012-03-31,INR,4538990000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120202,N_A,F,2012,2011,0,2012-03-31,INR,30635000000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11013,N_A,F,2012,2011,0,2012-03-31,INR,28220000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11014,N_A,F,2012,2011,0,2012-03-31,INR,2064540000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1,N_A,F,2013,2012,0,2012-06-15,INR,77820110000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11,N_A,F,2013,2012,0,2012-06-15,INR,43818190000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101,N_A,F,2013,2012,0,2012-06-15,INR,17652890000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11011,N_A,F,2013,2012,0,2012-06-15,INR,10903880000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012,N_A,F,2013,2012,0,2012-06-15,INR,64879440000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101201,N_A,F,2013,2012,0,2012-06-15,INR,6734340000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101202,N_A,F,2013,2012,0,2012-06-15,INR,58145100000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120201,N_A,F,2013,2012,0,2012-06-15,INR,26165290000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012020101,N_A,F,2013,2012,0,2012-06-15,INR,4192820000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120202,N_A,F,2013,2012,0,2012-06-15,INR,31979800000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11013,N_A,F,2013,2012,0,2012-06-15,INR,14670000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11014,N_A,F,2013,2012,0,2012-06-15,INR,2022120000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1,N_A,F,2013,2012,0,2012-11-30,INR,81134880000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11,N_A,F,2013,2012,0,2012-11-30,INR,45474070000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101,N_A,F,2013,2012,0,2012-11-30,INR,17947910000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11011,N_A,F,2013,2012,0,2012-11-30,INR,10873040000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012,N_A,F,2013,2012,0,2012-11-30,INR,68220370000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101201,N_A,F,2013,2012,0,2012-11-30,INR,7051110000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101202,N_A,F,2013,2012,0,2012-11-30,INR,61169260000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120201,N_A,F,2013,2012,0,2012-11-30,INR,27526170000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012020101,N_A,F,2013,2012,0,2012-11-30,INR,3101220000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120202,N_A,F,2013,2012,0,2012-11-30,INR,33643090000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11013,N_A,F,2013,2012,0,2012-11-30,INR,23750000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11014,N_A,F,2013,2012,0,2012-11-30,INR,2017720000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1,N_A,F,2013,2012,0,2013-03-31,INR,85288680000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11,N_A,F,2013,2012,0,2013-03-31,INR,47818820000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101,N_A,F,2013,2012,0,2013-03-31,INR,18975260000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11011,N_A,F,2013,2012,0,2013-03-31,INR,11410610000000
