DATAFLOW,AUDST,COM_RBI_SUR_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2024,2023,0,2024-02-29,INR,838185074400
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2024,2023,0,2024-02-29,INR,45113191864400
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2024,2023,0,2024-01-31,INR,9338081700000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2024,2023,0,2024-01-31,INR,34192072450000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2024,2023,0,2024-01-31,INR,44938196624400
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2024,2023,0,2024-01-31,INR,804109574400
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2024,2023,0,2024-01-31,INR,9942014600000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2024,2023,0,2023-12-31,INR,10012806900000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2024,2023,0,2023-12-31,INR,9398465500000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2024,2023,0,2023-12-31,INR,810510074400
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2024,2023,0,2023-12-31,INR,33629952990000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2024,2023,0,2023-12-31,INR,44453269964400
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2024,2023,0,2023-11-30,INR,33557997080000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2024,2023,0,2023-11-30,INR,9108234300000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2024,2023,0,2023-11-30,INR,9730050400000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2024,2023,0,2023-11-30,INR,44031690120500
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2024,2023,0,2023-11-30,INR,743642640500
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2024,2023,0,2023-10-31,INR,43555098260700
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2024,2023,0,2023-10-31,INR,729399400700
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2024,2023,0,2023-10-31,INR,33040612060000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2024,2023,0,2023-10-31,INR,9785086800000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2024,2023,0,2023-10-31,INR,9178562900000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2024,2023,0,2023-09-30,INR,9593454700000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2024,2023,0,2023-09-30,INR,727409048700
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2024,2023,0,2023-09-30,INR,10213167100000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2024,2023,0,2023-09-30,INR,33018626130000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2024,2023,0,2023-09-30,INR,43959202278700
