DATAFLOW,AUDST,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,SOR_CSUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR23,0,2008-02-29,INR,454130000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR3,0,2008-02-29,INR,2712290000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR31,0,2008-02-29,INR,2542170000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR32,0,2008-02-29,INR,177850000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR33,0,2008-02-29,INR,7730000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR4,0,2008-02-29,INR,2698900000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR5,0,2008-02-29,INR,2047290000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR51,0,2008-02-29,INR,2499650000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR52,0,2008-02-29,INR,64730000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR1,0,2008-08-15,INR,36012770000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR11,0,2008-08-15,INR,9843300000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR12,0,2008-08-15,INR,26169470000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR1201,0,2008-08-15,INR,24388160000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR12011,0,2008-08-15,INR,23947630000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR12012,0,2008-08-15,INR,440530000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR1202,0,2008-08-15,INR,50890000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR1203,0,2008-08-15,INR,121660000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR1204,0,2008-08-15,INR,1608760000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR2,0,2008-08-15,INR,-660160000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR21,0,2008-08-15,INR,363190000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR22,0,2008-08-15,INR,583770000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR23,0,2008-08-15,INR,439580000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR3,0,2008-08-15,INR,3298710000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR31,0,2008-08-15,INR,3161830000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR32,0,2008-08-15,INR,190490000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR33,0,2008-08-15,INR,53610000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR4,0,2008-08-15,INR,3227090000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR5,0,2008-08-15,INR,1672250000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR51,0,2008-08-15,INR,2369350000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR52,0,2008-08-15,INR,147410000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR1,0,2009-07-31,INR,44434650000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR11,0,2009-07-31,INR,13268700000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR12,0,2009-07-31,INR,31165950000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR1201,0,2009-07-31,INR,28052240000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR12011,0,2009-07-31,INR,27563330000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR12012,0,2009-07-31,INR,488910000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR1202,0,2009-07-31,INR,59530000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR1203,0,2009-07-31,INR,88980000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR1204,0,2009-07-31,INR,2965200000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR2,0,2009-07-31,INR,-442880000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR21,0,2009-07-31,INR,541580000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR22,0,2009-07-31,INR,686090000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR23,0,2009-07-31,INR,298370000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR3,0,2009-07-31,INR,2331870000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR31,0,2009-07-31,INR,2096140000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR32,0,2009-07-31,INR,238690000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR33,0,2009-07-31,INR,2960000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR4,0,2009-07-31,INR,3774040000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR5,0,2009-07-31,INR,1503130000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR51,0,2009-07-31,INR,2887680000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR52,0,2009-07-31,INR,-43470000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR1,0,2010-01-15,INR,46570440000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR11,0,2010-01-15,INR,13746350000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR12,0,2010-01-15,INR,32824080000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR1201,0,2010-01-15,INR,30101780000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR12011,0,2010-01-15,INR,29676430000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR12012,0,2010-01-15,INR,425350000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR1202,0,2010-01-15,INR,36210000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR1203,0,2010-01-15,INR,67820000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR1204,0,2010-01-15,INR,2618270000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR2,0,2010-01-15,INR,-573950000000
