DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SOUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR2,0,2024-10-25,INR,10361121500000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR3,0,2024-10-25,INR,-468433500000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR5,0,2024-10-25,INR,107606500000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR6,0,2024-10-25,INR,56053075420000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR6,0,2024-09-27,INR,57432529130000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR7,0,2024-09-27,INR,348328900800
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR3,0,2024-09-27,INR,-740917400000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR5,0,2024-09-27,INR,105562600000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR1,0,2024-09-27,INR,9573452200000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR4,0,2024-09-27,INR,-846480000000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR2,0,2024-09-27,INR,9329754400000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR8,0,2024-09-27,INR,20004471250000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR5,0,2024-08-30,INR,106043700000.00002
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR6,0,2024-08-30,INR,55793131840000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR3,0,2024-08-30,INR,-1202766300000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR8,0,2024-08-30,INR,19107242880000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR1,0,2024-08-30,INR,10855763400000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR7,0,2024-08-30,INR,345943442000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR4,0,2024-08-30,INR,-1308810000000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR2,0,2024-08-30,INR,10722377100000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR6,0,2024-07-26,INR,54340467450000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR8,0,2024-07-26,INR,17186401050000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR5,0,2024-07-26,INR,109350000000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR2,0,2024-07-26,INR,10397129800000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR3,0,2024-07-26,INR,-1431590800000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR4,0,2024-07-26,INR,-1540940000000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR1,0,2024-07-26,INR,10609100100000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR7,0,2024-07-26,INR,343060110600
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR3,0,2024-06-28,INR,-202541600000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR7,0,2024-06-28,INR,340653703900
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR2,0,2024-06-28,INR,10188979500000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR6,0,2024-06-28,INR,52870133430000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR5,0,2024-06-28,INR,109218400000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR8,0,2024-06-28,INR,16318292620000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR1,0,2024-06-28,INR,10261416400000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR4,0,2024-06-28,INR,-311760000000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR7,0,2024-05-31,INR,338575800200
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR5,0,2024-05-31,INR,113716100000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR2,0,2024-05-31,INR,9553552800000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR1,0,2024-05-31,INR,9660359900000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR6,0,2024-05-31,INR,52893182050000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR8,0,2024-05-31,INR,16105151420000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR3,0,2024-05-31,INR,-20223900000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR4,0,2024-05-31,INR,-133940000000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR8,0,2024-04-26,INR,17417168800000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR2,0,2024-04-26,INR,11017945200000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR6,0,2024-04-26,INR,51667308710000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR3,0,2024-04-26,INR,1605582000000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR5,0,2024-04-26,INR,112662000000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR1,0,2024-04-26,INR,11150362900000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR4,0,2024-04-26,INR,1492920000000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR7,0,2024-04-26,INR,336320643100
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR1,0,2024-03-31,INR,11932127600000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR5,0,2024-03-31,INR,144061100000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR6,0,2024-03-31,INR,52410825580000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR2,0,2024-03-31,INR,11866552800000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR8,0,2024-03-31,INR,17901340170000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR4,0,2024-03-31,INR,-605530000000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR7,0,2024-03-31,INR,334316623000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR3,0,2024-03-31,INR,-461468900000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR5,0,2024-02-23,INR,111209899999.90001
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR4,0,2024-02-23,INR,2165020000000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR6,0,2024-02-23,INR,49850653870000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR3,0,2024-02-23,INR,2276229900000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR1,0,2024-02-23,INR,9649958100000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR7,0,2024-02-23,INR,331976894200
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR2,0,2024-02-23,INR,9502288500000
