DATAFLOW,AMOUNT_TYP_RN,AUDST,FREQ,LIMIT_RN,REPYEAREND,REPYEARSTART,ST_FACI_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF4,0,2024-11-29,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF3,0,2024-11-29,INR,84282400000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TTL_OUTSTANDING,0,2024-10-18,INR,114388700000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF4,0,2024-10-18,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF1,0,2024-10-18,INR,42160000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF3,0,2024-10-18,INR,72228700000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF1,0,2024-09-20,INR,217310000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TTL_OUTSTANDING,0,2024-09-20,INR,302782600000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF4,0,2024-09-20,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF3,0,2024-09-20,INR,85472600000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF3,0,2024-08-23,INR,85413600000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF4,0,2024-08-23,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF1,0,2024-08-23,INR,18180000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TTL_OUTSTANDING,0,2024-08-23,INR,103593600000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF1,0,2024-07-26,INR,20210000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF4,0,2024-07-26,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TTL_OUTSTANDING,0,2024-07-26,INR,110833200000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF3,0,2024-07-26,INR,90623200000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TTL_OUTSTANDING,0,2024-06-28,INR,559092400000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF3,0,2024-06-28,INR,90612400000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF4,0,2024-06-28,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF1,0,2024-06-28,INR,468480000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TTL_OUTSTANDING,0,2024-05-31,INR,239120100000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF1,0,2024-05-31,INR,146010000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF4,0,2024-05-31,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF3,0,2024-05-31,INR,93110100000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF4,0,2024-04-19,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF1,0,2024-04-19,INR,32380000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF3,0,2024-04-19,INR,87696600000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TTL_OUTSTANDING,0,2024-04-19,INR,120076600000
