DATAFLOW,AUDST,FREQ,LIAB_ITEMS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI37,2019,2018,0,2019-03-31,INR,299930000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI34,2019,2018,0,2019-03-31,INR,5129260000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI4,2019,2018,0,2019-03-31,INR,11691860000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LIA,2019,2018,0,2019-03-31,INR,19341080000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI33,2019,2018,0,2019-03-31,INR,420000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI2,2019,2018,0,2019-03-31,INR,90000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI38,2019,2018,0,2019-03-31,INR,2153710000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI1,2019,2018,0,2019-03-31,INR,21687880000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI36,2018,2017,0,2018-03-31,INR,19150000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI31,2018,2017,0,2018-03-31,INR,1010000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI34,2018,2017,0,2018-03-31,INR,4744180000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI38,2018,2017,0,2018-03-31,INR,1453590000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI3,2018,2017,0,2018-03-31,INR,6525970000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI35,2018,2017,0,2018-03-31,INR,35200000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI4,2018,2017,0,2018-03-31,INR,10530370000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LIA,2018,2017,0,2018-03-31,INR,17056340000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI1,2018,2017,0,2018-03-31,INR,19119510000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI37,2018,2017,0,2018-03-31,INR,272420000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI33,2018,2017,0,2018-03-31,INR,420000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI2,2018,2017,0,2018-03-31,INR,90000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,NT_ISSU_TTL,2018,2017,0,2018-03-31,INR,19119600000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI1,2017,2016,0,2017-03-31,INR,13101810000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI34,2017,2016,0,2017-03-31,INR,5087730000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI33,2017,2016,0,2017-03-31,INR,420000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI37,2017,2016,0,2017-03-31,INR,279490000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI3,2017,2016,0,2017-03-31,INR,10389430000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI38,2017,2016,0,2017-03-31,INR,4897740000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,NT_ISSU_TTL,2017,2016,0,2017-03-31,INR,13101930000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI4,2017,2016,0,2017-03-31,INR,8411180000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI31,2017,2016,0,2017-03-31,INR,50000000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI35,2017,2016,0,2017-03-31,INR,55130000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI36,2017,2016,0,2017-03-31,INR,18920000000
