DATAFLOW,AUDST,FREQ,RATIOS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,1994,1993,0,1994-03-31,RO,1.34
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,1994,1993,0,1994-03-31,RO,0.8
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,1994,1993,0,1994-03-31,RO,0.24
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,1994,1993,0,1994-03-31,RO,0.14
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,1994,1993,0,1994-03-31,RO,1.09
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,1994,1993,0,1994-03-31,RO,3.19
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,1994,1993,0,1994-03-31,RO,2.17
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,1994,1993,0,1994-03-31,RO,6.35
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,1994,1993,0,1994-03-31,RO,11.36
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,1995,1994,0,1995-03-31,RO,1.26
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,1995,1994,0,1995-03-31,RO,0.78
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,1995,1994,0,1995-03-31,RO,0.24
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,1995,1994,0,1995-03-31,RO,0.15
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,1995,1994,0,1995-03-31,RO,1.1
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,1995,1994,0,1995-03-31,RO,3.12
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,1995,1994,0,1995-03-31,RO,2.18
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,1995,1994,0,1995-03-31,RO,6.17
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,1995,1994,0,1995-03-31,RO,11.32
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,1996,1995,0,1996-03-31,RO,1.4
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,1996,1995,0,1996-03-31,RO,0.75
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,1996,1995,0,1996-03-31,RO,0.26
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,1996,1995,0,1996-03-31,RO,0.14
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,1996,1995,0,1996-03-31,RO,1.11
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,1996,1995,0,1996-03-31,RO,3.1
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,1996,1995,0,1996-03-31,RO,2.22
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,1996,1995,0,1996-03-31,RO,6.18
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,1996,1995,0,1996-03-31,RO,10.94
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,1997,1996,0,1997-03-31,RO,1.41
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,1997,1996,0,1997-03-31,RO,0.64
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,1997,1996,0,1997-03-31,RO,0.25
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,1997,1996,0,1997-03-31,RO,0.11
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,1997,1996,0,1997-03-31,RO,1.17
