DATAFLOW,AUDST,COMPONTS_F_RN,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2023,2022,0,2022-07-15,INR,156534887200000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2023,2022,0,2022-07-15,INR,571923300900
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2023,2022,0,2022-07-15,INR,20950807420000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2023,2022,0,2022-07-15,INR,31051342250000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2022,2021,0,2022-03-31,INR,584441050500
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2022,2021,0,2022-03-31,INR,204937291900000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2022,2021,0,2022-03-31,INR,22129917040000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2022,2021,0,2022-03-31,INR,30356888230000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2022,2021,0,2022-03-31,INR,151866045500000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2022,2021,0,2021-12-31,INR,28811151300000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2022,2021,0,2021-12-31,INR,22060524130000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2022,2021,0,2021-12-31,INR,201140363400000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2022,2021,0,2021-12-31,INR,510454050500
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2022,2021,0,2021-12-31,INR,149758234000000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2021,2020,0,2021-03-31,INR,140502784010000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2021,2020,0,2021-03-31,INR,19951201090000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2021,2020,0,2021-03-31,INR,27518284540000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2021,2020,0,2021-03-31,INR,473507880000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2021,2020,0,2021-03-31,INR,188445777530000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2021,2020,0,2021-01-15,INR,425913471999.99994
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2021,2020,0,2021-01-15,INR,182397306328000.03
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2021,2020,0,2021-01-15,INR,27170227176000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2021,2020,0,2021-01-15,INR,16961843150000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2021,2020,0,2021-01-15,INR,137839322530000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2021,2020,0,2020-07-31,INR,16487974053000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2021,2020,0,2020-07-31,INR,176258030429000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2021,2020,0,2020-07-31,INR,397065731000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2021,2020,0,2020-07-31,INR,25762934988000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2021,2020,0,2020-07-31,INR,133610055657000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2020,2019,0,2020-03-31,INR,126740155771000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2020,2019,0,2020-03-31,INR,23497483748000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2020,2019,0,2020-03-31,INR,167999634542144.97
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2020,2019,0,2020-03-31,INR,17376923307000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2020,2019,0,2020-03-31,INR,385071717000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2020,2019,0,2020-01-31,INR,126168092928000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2020,2019,0,2020-01-31,INR,338559717000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2020,2019,0,2020-01-31,INR,164186245011000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2020,2019,0,2020-01-31,INR,22187762015000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2020,2019,0,2020-01-31,INR,15491830351000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2019,2018,0,2019-03-31,INR,16265123643000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2019,2018,0,2019-03-31,INR,117216032965000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2019,2018,0,2019-03-31,INR,317419179000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2019,2018,0,2019-03-31,INR,154320668561000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2019,2018,0,2019-03-31,INR,20522092774000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2019,2018,0,2019-03-15,INR,277629179000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2019,2018,0,2019-03-15,INR,115906731927000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2019,2018,0,2019-03-15,INR,150870877944000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2019,2018,0,2019-03-15,INR,14048634026000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2019,2018,0,2019-03-15,INR,20637882813000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2019,2018,0,2019-02-15,INR,14012650970999.998
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2019,2018,0,2019-02-15,INR,20294506697000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2019,2018,0,2019-02-15,INR,114829006291000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2019,2018,0,2019-02-15,INR,262019179000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2019,2018,0,2019-02-15,INR,149398183138000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2019,2018,0,2018-08-31,INR,110578501505000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2019,2018,0,2018-08-31,INR,18468438637000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2019,2018,0,2018-08-31,INR,142714079311000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2019,2018,0,2018-08-31,INR,246704143000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2019,2018,0,2018-08-31,INR,13420435026000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2018,2017,0,2018-03-31,INR,239066479546.68
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2018,2017,0,2018-03-31,INR,106952551951620
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2018,2017,0,2018-03-31,INR,17597123160523.6
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2018,2017,0,2018-03-31,INR,139625865001470
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2018,2017,0,2018-03-31,INR,14837123409780
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2018,2017,0,2017-09-15,INR,101714165966000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2018,2017,0,2017-09-15,INR,12289422336000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2018,2017,0,2017-09-15,INR,185698024000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2018,2017,0,2017-09-15,INR,15048038936000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2018,2017,0,2017-09-15,INR,129237325261000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2017,2016,0,2017-03-31,INR,127919399288000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2017,2016,0,2017-03-31,INR,13967414246000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2017,2016,0,2017-03-31,INR,101099830979000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2017,2016,0,2017-03-31,INR,210911155000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2017,2016,0,2017-03-31,INR,12641242908000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2017,2016,0,2016-09-30,INR,16564778921000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2017,2016,0,2016-09-30,INR,124899935089000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2017,2016,0,2016-09-30,INR,11534714195000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2017,2016,0,2016-09-30,INR,186011155000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2017,2016,0,2016-09-30,INR,96614430818000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2017,2016,0,2016-04-15,INR,91720577312000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2017,2016,0,2016-04-15,INR,138926648000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2017,2016,0,2016-04-15,INR,10078414851000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2017,2016,0,2016-04-15,INR,118470886610000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2017,2016,0,2016-04-15,INR,16532967797999.998
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2016,2015,0,2016-03-31,INR,90150767973000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2016,2015,0,2016-03-31,INR,154506648000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2016,2015,0,2016-03-31,INR,9898337486000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2016,2015,0,2016-03-31,INR,15972538844000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2016,2015,0,2016-03-31,INR,116176150952000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2016,2015,0,2015-05-15,INR,107807916822000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2016,2015,0,2015-05-15,INR,84303782331000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2016,2015,0,2015-05-15,INR,97849638000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2016,2015,0,2015-05-15,INR,14619275165000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2016,2015,0,2015-05-15,INR,8787009689000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2015,2014,0,2015-03-31,INR,8916322821000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2015,2014,0,2015-03-31,INR,145899918000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2015,2014,0,2015-03-31,INR,13861815568000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2015,2014,0,2015-03-31,INR,82577639522000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2015,2014,0,2015-03-31,INR,105501677829000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2015,2014,0,2014-10-31,INR,79709201113000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2015,2014,0,2014-10-31,INR,80659482000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2015,2014,0,2014-10-31,INR,13005174524999.998
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2015,2014,0,2014-10-31,INR,8407222502000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2015,2014,0,2014-10-31,INR,101202257622000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2014,2013,0,2014-03-31,INR,95173861740479.98
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2014,2013,0,2014-03-31,INR,19651191480
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2014,2013,0,2014-03-31,INR,74576242202000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2014,2013,0,2014-03-31,INR,12458193039000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2014,2013,0,2014-03-31,INR,8119775307999.999
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2014,2013,0,2013-11-15,INR,39871962000
