DATAFLOW,AUDST,COM_CSUR_RN,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1201,N_A,F,2014,2013,0,2013-05-31,INR,27931624245000.004
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12011,N_A,F,2014,2013,0,2013-05-31,INR,3562419910000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1202,N_A,F,2014,2013,0,2013-05-31,INR,34138651855000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS2,N_A,F,2014,2013,0,2013-05-31,INR,2163844400000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1,N_A,F,2014,2013,0,2013-11-15,INR,71756807800000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS11,N_A,F,2014,2013,0,2013-11-15,INR,6483186600000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12,N_A,F,2014,2013,0,2013-11-15,INR,65273621200000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1201,N_A,F,2014,2013,0,2013-11-15,INR,29373129540000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12011,N_A,F,2014,2013,0,2013-11-15,INR,3258643600000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1202,N_A,F,2014,2013,0,2013-11-15,INR,35900491660000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS2,N_A,F,2014,2013,0,2013-11-15,INR,2567928500000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1,N_A,F,2015,2014,0,2014-10-31,INR,79615054990000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS11,N_A,F,2015,2014,0,2014-10-31,INR,7480355500000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12,N_A,F,2015,2014,0,2014-10-31,INR,72134699490000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1201,N_A,F,2015,2014,0,2014-10-31,INR,32460614770000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12011,N_A,F,2015,2014,0,2014-10-31,INR,2727012260000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1202,N_A,F,2015,2014,0,2014-10-31,INR,39674084720000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS2,N_A,F,2015,2014,0,2014-10-31,INR,1854179900000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1,N_A,F,2016,2015,0,2015-05-15,INR,84053777300000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS11,N_A,F,2016,2015,0,2015-05-15,INR,7788504300000.001
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12,N_A,F,2016,2015,0,2015-05-15,INR,76265273000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1201,N_A,F,2016,2015,0,2015-05-15,INR,34319372850000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12011,N_A,F,2016,2015,0,2015-05-15,INR,2657268930000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1202,N_A,F,2016,2015,0,2015-05-15,INR,41945900150000
