DATAFLOW,AUDST,DENOMITIN_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,1995,1994,0,1995-03-31,INR,8810000000
RBI:NOT_COIN_RN(1.0),N_A,NCC02,AFY,1995,1994,0,1995-03-31,INR,3200000000
RBI:NOT_COIN_RN(1.0),N_A,NCC03,AFY,1995,1994,0,1995-03-31,INR,7950000000
RBI:NOT_COIN_RN(1.0),N_A,NCC04,AFY,1995,1994,0,1995-03-31,INR,1590000000
RBI:NOT_COIN_RN(1.0),N_A,NCC05,AFY,1995,1994,0,1995-03-31,INR,1150000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,1995,1994,0,1995-03-31,INR,6020000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,1995,1994,0,1995-03-31,INR,17650000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,1995,1994,0,1995-03-31,INR,69430000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,1995,1994,0,1995-03-31,INR,11200000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,1995,1994,0,1995-03-31,INR,285370000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,1995,1994,0,1995-03-31,INR,464570000000
RBI:NOT_COIN_RN(1.0),N_A,NCC14,AFY,1995,1994,0,1995-03-31,INR,168820000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,1996,1995,0,1996-03-31,INR,9400000000
RBI:NOT_COIN_RN(1.0),N_A,NCC02,AFY,1996,1995,0,1996-03-31,INR,3220000000
RBI:NOT_COIN_RN(1.0),N_A,NCC03,AFY,1996,1995,0,1996-03-31,INR,8480000000
RBI:NOT_COIN_RN(1.0),N_A,NCC04,AFY,1996,1995,0,1996-03-31,INR,2260000000
RBI:NOT_COIN_RN(1.0),N_A,NCC05,AFY,1996,1995,0,1996-03-31,INR,1830000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,1996,1995,0,1996-03-31,INR,5150000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,1996,1995,0,1996-03-31,INR,16510000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,1996,1995,0,1996-03-31,INR,92180000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,1996,1995,0,1996-03-31,INR,7180000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,1996,1995,0,1996-03-31,INR,316590000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,1996,1995,0,1996-03-31,INR,551050000000
RBI:NOT_COIN_RN(1.0),N_A,NCC14,AFY,1996,1995,0,1996-03-31,INR,208730000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,1997,1996,0,1997-03-31,INR,9910000000
RBI:NOT_COIN_RN(1.0),N_A,NCC02,AFY,1997,1996,0,1997-03-31,INR,3160000000
RBI:NOT_COIN_RN(1.0),N_A,NCC03,AFY,1997,1996,0,1997-03-31,INR,9000000000
RBI:NOT_COIN_RN(1.0),N_A,NCC04,AFY,1997,1996,0,1997-03-31,INR,2860000000
RBI:NOT_COIN_RN(1.0),N_A,NCC05,AFY,1997,1996,0,1997-03-31,INR,4400000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,1997,1996,0,1997-03-31,INR,5270000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,1997,1996,0,1997-03-31,INR,15540000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,1997,1996,0,1997-03-31,INR,110630000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,1997,1996,0,1997-03-31,INR,7030000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,1997,1996,0,1997-03-31,INR,336230000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,1997,1996,0,1997-03-31,INR,626000000000
RBI:NOT_COIN_RN(1.0),N_A,NCC14,AFY,1997,1996,0,1997-03-31,INR,242700000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,1998,1997,0,1998-03-31,INR,10550000000
RBI:NOT_COIN_RN(1.0),N_A,NCC02,AFY,1998,1997,0,1998-03-31,INR,3190000000
RBI:NOT_COIN_RN(1.0),N_A,NCC03,AFY,1998,1997,0,1998-03-31,INR,9690000000
RBI:NOT_COIN_RN(1.0),N_A,NCC04,AFY,1998,1997,0,1998-03-31,INR,3520000000
RBI:NOT_COIN_RN(1.0),N_A,NCC05,AFY,1998,1997,0,1998-03-31,INR,6720000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,1998,1997,0,1998-03-31,INR,5500000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,1998,1997,0,1998-03-31,INR,14270000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,1998,1997,0,1998-03-31,INR,124120000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,1998,1997,0,1998-03-31,INR,9790000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,1998,1997,0,1998-03-31,INR,342450000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,1998,1997,0,1998-03-31,INR,701590000000
RBI:NOT_COIN_RN(1.0),N_A,NCC14,AFY,1998,1997,0,1998-03-31,INR,279750000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,1999,1998,0,1999-03-31,INR,11160000000
RBI:NOT_COIN_RN(1.0),N_A,NCC02,AFY,1999,1998,0,1999-03-31,INR,3160000000
RBI:NOT_COIN_RN(1.0),N_A,NCC03,AFY,1999,1998,0,1999-03-31,INR,10760000000
RBI:NOT_COIN_RN(1.0),N_A,NCC04,AFY,1999,1998,0,1999-03-31,INR,4970000000
RBI:NOT_COIN_RN(1.0),N_A,NCC05,AFY,1999,1998,0,1999-03-31,INR,8560000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,1999,1998,0,1999-03-31,INR,5300000000
