DATAFLOW,AUDST,FREQ,LIAB_ITEMS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LIA,2026,2025,0,2025-05-30,INR,39373350000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI31,2026,2025,0,2025-05-30,INR,1010000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI3,2026,2025,0,2025-05-30,INR,18246260000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI2,2026,2025,0,2025-05-30,INR,130000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI32,2026,2025,0,2025-05-30,INR,0.0
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI38,2026,2025,0,2025-04-25,INR,3751757500000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI3,2026,2025,0,2025-04-25,INR,14832430000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI35,2026,2025,0,2025-04-25,INR,83981100000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI36,2026,2025,0,2025-04-25,INR,53240300000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LIA,2026,2025,0,2025-04-25,INR,38144858800000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI1,2026,2025,0,2025-04-25,INR,37606189700000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI32,2026,2025,0,2025-04-25,INR,0.0
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI33,2026,2025,0,2025-04-25,INR,424700000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI39,2026,2025,0,2025-04-25,INR,993110700000.0001
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI34,2026,2025,0,2025-04-25,INR,9473509800000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI31,2026,2025,0,2025-04-25,INR,1009700000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI4,2026,2025,0,2025-04-25,INR,23312421000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI2,2026,2025,0,2025-04-25,INR,136700000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,NT_ISSU_TTL,2026,2025,0,2025-04-25,INR,37606326400000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI37,2026,2025,0,2025-04-25,INR,475404000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI35,2025,2024,0,2025-03-28,INR,77760000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LIA,2025,2024,0,2025-03-28,INR,38597930000000
