DATAFLOW,AUDST,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,SOR_MSUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR5,0,2008-02-29,INR,2513840000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR1,0,2008-03-31,INR,36638120000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR11,0,2008-03-31,INR,8995180000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR1101,0,2008-03-31,INR,-1132090000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR1102,0,2008-03-31,INR,10127270000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR12,0,2008-03-31,INR,27642940000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR1201,0,2008-03-31,INR,17880000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR1202,0,2008-03-31,INR,27625060000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR12021,0,2008-03-31,INR,1795720000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR12022,0,2008-03-31,INR,25829340000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR2,0,2008-03-31,INR,92240000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR3,0,2008-03-31,INR,11659350000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR31,0,2008-03-31,INR,12361310000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR32,0,2008-03-31,INR,-701960000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR4,0,2008-03-31,INR,4759730000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR5,0,2008-03-31,INR,2955730000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR1,0,2008-08-15,INR,37956860000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR11,0,2008-08-15,INR,9672720000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR1101,0,2008-08-15,INR,-741090000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR1102,0,2008-08-15,INR,10413810000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR12,0,2008-08-15,INR,28284150000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR1201,0,2008-08-15,INR,15900000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR1202,0,2008-08-15,INR,28268250000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR12021,0,2008-08-15,INR,1698380000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR12022,0,2008-08-15,INR,26569870000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR2,0,2008-08-15,INR,95130000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR3,0,2008-08-15,INR,11998700000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR31,0,2008-08-15,INR,12658860000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR32,0,2008-08-15,INR,-660160000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR4,0,2008-08-15,INR,6021310000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR5,0,2008-08-15,INR,1772490000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR1,0,2009-03-31,INR,45084420000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR11,0,2009-03-31,INR,12773330000000
