DATAFLOW,AUDST,FREQ,MON_AGG_ITM,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CCS,1993,1992,0,1993-03-31,PT,18.35968
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CG,1993,1992,0,1993-03-31,PT,21.078027
RBI:MON_AG_RN(1.0),N_A,AFY,RBI_CCS,1993,1992,0,1993-03-31,PT,-14.325069
RBI:MON_AG_RN(1.0),N_A,AFY,RES_MON,1993,1992,0,1993-03-31,PT,11.330084
RBI:MON_AG_RN(1.0),N_A,AFY,TIM_DE,1993,1992,0,1993-03-31,PT,18.410209
RBI:MON_AG_RN(1.0),N_A,AFY,BRD_MON,1994,1993,0,1994-03-31,PT,18.424542
RBI:MON_AG_RN(1.0),N_A,AFY,CUR_PUB,1994,1993,0,1994-03-31,PT,20.546922
RBI:MON_AG_RN(1.0),N_A,AFY,DD,1994,1993,0,1994-03-31,PT,21.057269
RBI:MON_AG_RN(1.0),N_A,AFY,NAR_MON,1994,1993,0,1994-03-31,PT,21.530298
RBI:MON_AG_RN(1.0),N_A,AFY,NET_RBI_CCG,1994,1993,0,1994-03-31,PT,0.269366
RBI:MON_AG_RN(1.0),N_A,AFY,NFEABS,1994,1993,0,1994-03-31,PT,123.42593
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CCS,1994,1993,0,1994-03-31,PT,8.140617
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CG,1994,1993,0,1994-03-31,PT,34.489452
RBI:MON_AG_RN(1.0),N_A,AFY,RBI_CCS,1994,1993,0,1994-03-31,PT,3.617363
RBI:MON_AG_RN(1.0),N_A,AFY,RES_MON,1994,1993,0,1994-03-31,PT,25.17896
RBI:MON_AG_RN(1.0),N_A,AFY,TIM_DE,1994,1993,0,1994-03-31,PT,16.818504
RBI:MON_AG_RN(1.0),N_A,AFY,BRD_MON,1995,1994,0,1995-03-31,PT,22.388065
RBI:MON_AG_RN(1.0),N_A,AFY,CUR_PUB,1995,1994,0,1995-03-31,PT,22.332657
RBI:MON_AG_RN(1.0),N_A,AFY,DD,1995,1994,0,1995-03-31,PT,33.723011
RBI:MON_AG_RN(1.0),N_A,AFY,NAR_MON,1995,1994,0,1995-03-31,PT,27.5104
RBI:MON_AG_RN(1.0),N_A,AFY,NET_RBI_CCG,1995,1994,0,1995-03-31,PT,2.2008
RBI:MON_AG_RN(1.0),N_A,AFY,NFEABS,1995,1994,0,1995-03-31,PT,44.715447
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CCS,1995,1994,0,1995-03-31,PT,23.690069
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CG,1995,1994,0,1995-03-31,PT,15.602478
RBI:MON_AG_RN(1.0),N_A,AFY,RBI_CCS,1995,1994,0,1995-03-31,PT,2.296354
RBI:MON_AG_RN(1.0),N_A,AFY,RES_MON,1995,1994,0,1995-03-31,PT,22.074391
RBI:MON_AG_RN(1.0),N_A,AFY,TIM_DE,1995,1994,0,1995-03-31,PT,19.63283
RBI:MON_AG_RN(1.0),N_A,AFY,BRD_MON,1996,1995,0,1996-03-31,PT,13.570052
RBI:MON_AG_RN(1.0),N_A,AFY,CUR_PUB,1996,1995,0,1996-03-31,PT,17.45811
RBI:MON_AG_RN(1.0),N_A,AFY,DD,1996,1995,0,1996-03-31,PT,5.714739
RBI:MON_AG_RN(1.0),N_A,AFY,NAR_MON,1996,1995,0,1996-03-31,PT,11.743291
RBI:MON_AG_RN(1.0),N_A,AFY,NET_RBI_CCG,1996,1995,0,1996-03-31,PT,20.073196
RBI:MON_AG_RN(1.0),N_A,AFY,NFEABS,1996,1995,0,1996-03-31,PT,3.93385
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CCS,1996,1995,0,1996-03-31,PT,18.055366
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CG,1996,1995,0,1996-03-31,PT,12.806244
RBI:MON_AG_RN(1.0),N_A,AFY,RBI_CCS,1996,1995,0,1996-03-31,PT,3.973912
RBI:MON_AG_RN(1.0),N_A,AFY,RES_MON,1996,1995,0,1996-03-31,PT,14.870956
RBI:MON_AG_RN(1.0),N_A,AFY,TIM_DE,1996,1995,0,1996-03-31,PT,14.61749
RBI:MON_AG_RN(1.0),N_A,AFY,BRD_MON,1997,1996,0,1997-03-31,PT,16.158651
RBI:MON_AG_RN(1.0),N_A,AFY,CUR_PUB,1997,1996,0,1997-03-31,PT,11.693923
RBI:MON_AG_RN(1.0),N_A,AFY,DD,1997,1996,0,1997-03-31,PT,12.97931
RBI:MON_AG_RN(1.0),N_A,AFY,NAR_MON,1997,1996,0,1997-03-31,PT,11.99991
RBI:MON_AG_RN(1.0),N_A,AFY,NET_RBI_CCG,1997,1996,0,1997-03-31,PT,1.628385
RBI:MON_AG_RN(1.0),N_A,AFY,NFEABS,1997,1996,0,1997-03-31,PT,28.432817
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CCS,1997,1996,0,1997-03-31,PT,9.5523
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CG,1997,1996,0,1997-03-31,PT,20.530826
RBI:MON_AG_RN(1.0),N_A,AFY,RBI_CCS,1997,1996,0,1997-03-31,PT,-8.869438
RBI:MON_AG_RN(1.0),N_A,AFY,RES_MON,1997,1996,0,1997-03-31,PT,2.842788
RBI:MON_AG_RN(1.0),N_A,AFY,TIM_DE,1997,1996,0,1997-03-31,PT,18.483125
RBI:MON_AG_RN(1.0),N_A,AFY,BRD_MON,1998,1997,0,1998-03-31,PT,18.005407
RBI:MON_AG_RN(1.0),N_A,AFY,CUR_PUB,1998,1997,0,1998-03-31,PT,10.21448
RBI:MON_AG_RN(1.0),N_A,AFY,DD,1998,1997,0,1998-03-31,PT,12.712894
RBI:MON_AG_RN(1.0),N_A,AFY,NAR_MON,1998,1997,0,1998-03-31,PT,11.316509
RBI:MON_AG_RN(1.0),N_A,AFY,NET_RBI_CCG,1998,1997,0,1998-03-31,PT,10.699906
RBI:MON_AG_RN(1.0),N_A,AFY,NFEABS,1998,1997,0,1998-03-31,PT,30.900698
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CCS,1998,1997,0,1998-03-31,PT,14.879749
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CG,1998,1997,0,1998-03-31,PT,18.850759
RBI:MON_AG_RN(1.0),N_A,AFY,RBI_CCS,1998,1997,0,1998-03-31,PT,31.038899
