DATAFLOW,AUDST,COMP_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RMC_M_RN(1.0),N_A,COM12,M,2025,2024,0,2024-07-31,INR,912245808800
RBI:RMC_M_RN(1.0),N_A,COM11,M,2025,2024,0,2024-07-31,INR,35371803210000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2025,2024,0,2024-07-31,INR,10390586800000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2025,2024,0,2024-07-31,INR,46674635818800
RBI:RMC_M_RN(1.0),N_A,COM13,M,2025,2024,0,2024-06-30,INR,10363684500000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2025,2024,0,2024-06-30,INR,46951369308800
RBI:RMC_M_RN(1.0),N_A,COM12,M,2025,2024,0,2024-06-30,INR,957661208800
RBI:RMC_M_RN(1.0),N_A,COM11,M,2025,2024,0,2024-06-30,INR,35630023600000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2025,2024,0,2024-05-31,INR,35713712400000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2025,2024,0,2024-05-31,INR,46766742422100
RBI:RMC_M_RN(1.0),N_A,COM13,M,2025,2024,0,2024-05-31,INR,10141342700000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2025,2024,0,2024-05-31,INR,911687322100
RBI:RMC_M_RN(1.0),N_A,COM12,M,2025,2024,0,2024-04-30,INR,863519505500
RBI:RMC_M_RN(1.0),N_A,COM13,M,2025,2024,0,2024-04-30,INR,10071738500000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2025,2024,0,2024-04-30,INR,35665682220000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2025,2024,0,2024-04-30,INR,46600940225500
RBI:RMC_M_RN(1.0),N_A,COM11,M,2024,2023,0,2024-03-31,INR,35114611020000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2024,2023,0,2024-03-31,INR,945362405500
RBI:RMC_M_RN(1.0),N_A,COM13,M,2024,2023,0,2024-03-31,INR,10254487300000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2024,2023,0,2024-03-31,INR,46314460725500
RBI:RMC_M_RN(1.0),N_A,COM1,M,2024,2023,0,2024-02-29,INR,45113191864399.99
RBI:RMC_M_RN(1.0),N_A,COM11,M,2024,2023,0,2024-02-29,INR,34564629589999.996
RBI:RMC_M_RN(1.0),N_A,COM13,M,2024,2023,0,2024-02-29,INR,9710377200000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2024,2023,0,2024-02-29,INR,838185074400
RBI:RMC_M_RN(1.0),N_A,COM13,M,2024,2023,0,2024-01-31,INR,9942014600000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2024,2023,0,2024-01-31,INR,804109574400
RBI:RMC_M_RN(1.0),N_A,COM11,M,2024,2023,0,2024-01-31,INR,34192072450000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2024,2023,0,2024-01-31,INR,44938196624400
RBI:RMC_M_RN(1.0),N_A,COM1,M,2024,2023,0,2023-12-31,INR,44453269964400
RBI:RMC_M_RN(1.0),N_A,COM11,M,2024,2023,0,2023-12-31,INR,33629952990000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2024,2023,0,2023-12-31,INR,10012806900000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2024,2023,0,2023-12-31,INR,810510074400
RBI:RMC_M_RN(1.0),N_A,COM11,M,2024,2023,0,2023-11-30,INR,33557997080000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2024,2023,0,2023-11-30,INR,9730050400000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2024,2023,0,2023-11-30,INR,743642640500
RBI:RMC_M_RN(1.0),N_A,COM1,M,2024,2023,0,2023-11-30,INR,44031690120500
RBI:RMC_M_RN(1.0),N_A,COM1,M,2024,2023,0,2023-10-31,INR,43555098260699.9
RBI:RMC_M_RN(1.0),N_A,COM11,M,2024,2023,0,2023-10-31,INR,33040612059999.9
RBI:RMC_M_RN(1.0),N_A,COM12,M,2024,2023,0,2023-10-31,INR,729399400700
RBI:RMC_M_RN(1.0),N_A,COM13,M,2024,2023,0,2023-10-31,INR,9785086800000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2024,2023,0,2023-09-30,INR,33018626130000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2024,2023,0,2023-09-30,INR,43959202278700
RBI:RMC_M_RN(1.0),N_A,COM13,M,2024,2023,0,2023-09-30,INR,10213167100000
