DATAFLOW,AUDST,BASE_PER,FREQ,REPYEAREND,REPYEARSTART,TERM_EXT_TRD_RN,TYP_COMD_RN,TIME_PERIOD,TYP_INDX_RN,OBS_VALUE
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_05,2021-03-31,INDX_QUANT,123.575526
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_05,2021-03-31,INDX_UNT_VAL,168.906264
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_054,2021-03-31,INDX_QUANT,94.666457
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_054,2021-03-31,INDX_UNT_VAL,182.039784
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_056,2021-03-31,INDX_QUANT,119.892347
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_056,2021-03-31,INDX_UNT_VAL,197.302669
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_057,2021-03-31,INDX_QUANT,87.91319
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_057,2021-03-31,INDX_UNT_VAL,149.887956
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_058,2021-03-31,INDX_QUANT,318.787473
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_058,2021-03-31,INDX_UNT_VAL,175.171516
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_059,2021-03-31,INDX_QUANT,79.791254
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_059,2021-03-31,INDX_UNT_VAL,192.714417
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_06,2021-03-31,INDX_QUANT,247.537505
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_06,2021-03-31,INDX_UNT_VAL,95.501063
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_061,2021-03-31,INDX_QUANT,248.476774
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_061,2021-03-31,INDX_UNT_VAL,94.408752
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_062,2021-03-31,INDX_QUANT,220.682442
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_062,2021-03-31,INDX_UNT_VAL,126.731813
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_07,2021-03-31,INDX_QUANT,122.140359
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_07,2021-03-31,INDX_UNT_VAL,152.528635
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_071,2021-03-31,INDX_QUANT,98.842942
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_071,2021-03-31,INDX_UNT_VAL,117.597197
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_072,2021-03-31,INDX_QUANT,224.972218
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_072,2021-03-31,INDX_UNT_VAL,237.053242
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_073,2021-03-31,INDX_QUANT,189.286228
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_073,2021-03-31,INDX_UNT_VAL,188.323454
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_074,2021-03-31,INDX_QUANT,82.80967
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_074,2021-03-31,INDX_UNT_VAL,144.250298
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_075,2021-03-31,INDX_QUANT,160.730629
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_075,2021-03-31,INDX_UNT_VAL,179.451856
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_08,2021-03-31,INDX_QUANT,66.783234
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_08,2021-03-31,INDX_UNT_VAL,128.951323
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_081,2021-03-31,INDX_QUANT,66.783234
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_081,2021-03-31,INDX_UNT_VAL,128.951323
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_09,2021-03-31,INDX_QUANT,194.871351
