DATAFLOW,AUDST,BASE_PER,FREQ,REPYEAREND,REPYEARSTART,TYP_INDX_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1991,1990,INDX_UNT_VAL,1991-03-31,IX,560.2
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1991,1990,TERM_TRD,1991-03-31,IX,443.8816212178
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1991,1990,TERM_TRD_GROSS,1991-03-31,IX,122.5
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1991,1990,TERM_TRD_INC,1991-03-31,IX,212.081621217781
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1991,1990,TERM_TRD_NET,1991-03-31,IX,109.3
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1992,1991,EXP,1992-03-31,IX,369.5
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1992,1991,EXP1,1992-03-31,IX,208.6
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1992,1991,IMP,1992-03-31,IX,309.1
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1992,1991,IMP2,1992-03-31,IX,228.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1992,1991,INDX_QUANT,1992-03-31,IX,436.6
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1992,1991,INDX_UNT_VAL,1992-03-31,IX,678.6
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1992,1991,TERM_TRD,1992-03-31,IX,478.1616952443
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1992,1991,TERM_TRD_GROSS,1992-03-31,IX,109.3
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1992,1991,TERM_TRD_INC,1992-03-31,IX,249.361695244258
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1992,1991,TERM_TRD_NET,1992-03-31,IX,119.5
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1993,1992,EXP,1993-03-31,IX,421.5
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1993,1992,EXP1,1993-03-31,IX,222.9
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1993,1992,IMP,1993-03-31,IX,331.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1993,1992,IMP2,1993-03-31,IX,282.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1993,1992,INDX_QUANT,1993-03-31,IX,504.9
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1993,1992,INDX_UNT_VAL,1993-03-31,IX,752.5
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1993,1992,TERM_TRD,1993-03-31,IX,537.643958
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1993,1992,TERM_TRD_GROSS,1993-03-31,IX,126.5
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1993,1992,TERM_TRD_INC,1993-03-31,IX,283.843958
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1993,1992,TERM_TRD_NET,1993-03-31,IX,127.3
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1994,1993,EXP,1994-03-31,IX,474.1
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1994,1993,EXP1,1994-03-31,IX,257.5
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1994,1993,IMP,1994-03-31,IX,327.2
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1994,1993,IMP2,1994-03-31,IX,329.1
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1994,1993,INDX_QUANT,1994-03-31,IX,586.6
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1994,1993,INDX_UNT_VAL,1994-03-31,IX,801.3
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1994,1993,TERM_TRD,1994-03-31,IX,645.807427
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1994,1993,TERM_TRD_GROSS,1994-03-31,IX,127.8
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1994,1993,TERM_TRD_INC,1994-03-31,IX,373.107427
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1994,1993,TERM_TRD_NET,1994-03-31,IX,144.9
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1995,1994,EXP,1995-03-31,IX,494.6
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1995,1994,EXP1,1995-03-31,IX,292.7
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1995,1994,IMP,1995-03-31,IX,324.6
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1995,1994,IMP2,1995-03-31,IX,408.3
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1995,1994,INDX_QUANT,1995-03-31,IX,701.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1995,1994,INDX_UNT_VAL,1995-03-31,IX,819.2
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1995,1994,TERM_TRD,1995-03-31,IX,737.893284
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1995,1994,TERM_TRD_GROSS,1995-03-31,IX,139.5
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1995,1994,TERM_TRD_INC,1995-03-31,IX,445.993284
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1995,1994,TERM_TRD_NET,1995-03-31,IX,152.4
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1996,1995,EXP,1996-03-31,IX,484.2
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1996,1995,EXP1,1996-03-31,IX,384.3
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1996,1995,IMP,1996-03-31,IX,351.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1996,1995,IMP2,1996-03-31,IX,514.8
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1996,1995,INDX_QUANT,1996-03-31,IX,899.1
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1996,1995,INDX_UNT_VAL,1996-03-31,IX,835.2
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1996,1995,TERM_TRD,1996-03-31,IX,802.036923
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1996,1995,TERM_TRD_GROSS,1996-03-31,IX,134.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1996,1995,TERM_TRD_INC,1996-03-31,IX,530.136923
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1996,1995,TERM_TRD_NET,1996-03-31,IX,137.9
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1997,1996,EXP,1997-03-31,IX,504.7
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1997,1996,EXP1,1997-03-31,IX,411.8
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1997,1996,IMP,1997-03-31,IX,399.8
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1997,1996,IMP2,1997-03-31,IX,511.8
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1997,1996,INDX_QUANT,1997-03-31,IX,923.6
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1997,1996,INDX_UNT_VAL,1997-03-31,IX,904.5
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1997,1996,TERM_TRD,1997-03-31,IX,770.348574
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1997,1996,TERM_TRD_GROSS,1997-03-31,IX,124.3
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1997,1996,TERM_TRD_INC,1997-03-31,IX,519.848574
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1997,1996,TERM_TRD_NET,1997-03-31,IX,126.2
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1998,1997,EXP,1998-03-31,IX,589.4
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1998,1997,EXP1,1998-03-31,IX,386.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1998,1997,IMP,1998-03-31,IX,404.2
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1998,1997,IMP2,1998-03-31,IX,562.1
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1998,1997,INDX_QUANT,1998-03-31,IX,948.1
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1998,1997,INDX_UNT_VAL,1998-03-31,IX,993.6
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1998,1997,TERM_TRD,1998-03-31,IX,854.26096
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1998,1997,TERM_TRD_GROSS,1998-03-31,IX,145.6
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1998,1997,TERM_TRD_INC,1998-03-31,IX,562.86096
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1998,1997,TERM_TRD_NET,1998-03-31,IX,145.8
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1999,1998,EXP,1999-03-31,IX,611.7
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1999,1998,EXP1,1999-03-31,IX,399.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1999,1998,IMP,1999-03-31,IX,407.8
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1999,1998,IMP2,1999-03-31,IX,644.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1999,1998,INDX_QUANT,1999-03-31,IX,1043.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1999,1998,INDX_UNT_VAL,1999-03-31,IX,1019.5
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1999,1998,TERM_TRD,1999-03-31,IX,909.9
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1999,1998,TERM_TRD_GROSS,1999-03-31,IX,161.4
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1999,1998,TERM_TRD_INC,1999-03-31,IX,598.5
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1999,1998,TERM_TRD_NET,1999-03-31,IX,150.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,2000,1999,EXP,2000-03-31,IX,604.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,2000,1999,EXP1,2000-03-31,IX,461.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,2000,1999,IMP,2000-03-31,IX,450.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,2000,1999,IMP2,2000-03-31,IX,705.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,2000,1999,INDX_QUANT,2000-03-31,IX,1166.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,2000,1999,INDX_UNT_VAL,2000-03-31,IX,1054.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,2000,1999,TERM_TRD,2000-03-31,IX,905.864444
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,2000,1999,TERM_TRD_GROSS,2000-03-31,IX,152.9
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,2000,1999,TERM_TRD_INC,2000-03-31,IX,618.764444
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,2000,1999,TERM_TRD_NET,2000-03-31,IX,134.2
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1999_2000,AFY,2000,1999,EXP,2000-03-31,IX,100.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1999_2000,AFY,2000,1999,EXP1,2000-03-31,IX,100.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1999_2000,AFY,2000,1999,IMP,2000-03-31,IX,100.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1999_2000,AFY,2000,1999,IMP2,2000-03-31,IX,100.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1999_2000,AFY,2000,1999,INDX_QUANT,2000-03-31,IX,200.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1999_2000,AFY,2000,1999,INDX_UNT_VAL,2000-03-31,IX,200.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1999_2000,AFY,2000,1999,TERM_TRD,2000-03-31,IX,300.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1999_2000,AFY,2000,1999,TERM_TRD_GROSS,2000-03-31,IX,100.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1999_2000,AFY,2000,1999,TERM_TRD_INC,2000-03-31,IX,100.0
