DATAFLOW,ACT_CAT_RN,AUDST,COMP_COUNT,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_SRC_FNDS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_NON_CURR_LIB,0,2014-03-31,INR,817306000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_SHR_APP_MON_PEN_ALT,0,2014-03-31,INR,-742000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_SHR_CAP_PRM,0,2014-03-31,INR,246857000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES__NCL_OTH_LTA,0,2014-03-31,INR,30267000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,EXT_SRC,0,2014-03-31,INR,1664449000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,INT_SRC,0,2014-03-31,INR,564758000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,IS_PRV,0,2014-03-31,INR,250010000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,IS_PRV_DEP,0,2014-03-31,INR,206732000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,IS_PRV_OCP,0,2014-03-31,INR,12826000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,IS_PRV_ONCP,0,2014-03-31,INR,30452000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,IS_PU_CAP,0,2014-03-31,INR,88506000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,IS_RES_CAP_RES,0,2014-03-31,INR,-12296000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,IS_RES_DEB_RED,0,2014-03-31,INR,-15000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,IS_RES_OTH,0,2014-03-31,INR,238555000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,IS_RES_SRPLS,0,2014-03-31,INR,226242000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,STBR_LROD_BNK,0,2014-03-31,INR,-49812000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,STBR_LROD_OTH,0,2014-03-31,INR,64009000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,TTL_INT_EXT_SRC,0,2014-03-31,INR,2229207000000
