DATAFLOW,ACT_CAT_RN,AUDST,BAL_SHT_ITMS_RN,COMP_COUNT,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_STB_USEC,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,774818000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_STB_USEC,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,947484000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_STB_USEC,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,782385000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_STB_USEC_DEP,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,91790000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_STB_USEC_DEP,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,100107000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_STB_USEC_DEP,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,62762000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_STB_USEC_LA,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,234756000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_STB_USEC_LA,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,256408000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_STB_USEC_LA,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,252477000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_STB_USEC_LRD,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,931189000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_STB_USEC_LRD,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,872397000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_STB_USEC_LRD,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,858200000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_STB_USEC_LRDB,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,669951000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_STB_USEC_LRDB,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,658939000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_STB_USEC_LRDB,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,708751000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_STB_USEC_LRD_OTH,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,261238000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_STB_USEC_LRD_OTH,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,213458000000
