DATAFLOW,ACT_CAT_RN,AUDST,BAL_SHT_ITMS_RN,COMP_COUNT,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_TA_VEC_OTHS,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,36373000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_TS,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,652340000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_TS,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,598669000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_TS,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,409561000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_LTLA,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,5661577000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_LTLA,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,4707123000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_LTLA,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,3637253000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_NCI,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,2195731000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_NCI,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,2107912000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_NCI,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,1853543000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_NCI_FS,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,15929000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_NCI_FS,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,8071000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_NCI_FS,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,7909000000
