DATAFLOW,ACT_CAT_RN,AUDST,COMP_COUNT,FREQ,GRWT_RT_RATIOS_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_EMP_REM,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,6.6
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_EMP_REM,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,16.1
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_FIN_INC,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,15.2
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_FIN_INC,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,31.6
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_FI_DIV_RCV,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,39.0
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_FI_DIV_RCV,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,-85.6
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_FI_INT_RCV,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,16.2
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_FI_INT_RCV,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,38.2
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_INT_PYT,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,18.2
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_INT_PYT,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,29.1
